Attempt Regex,DeepSeek Output
00*|01*|10*|11*,"positive example: [0, 00, 01, 1, 10, 11, 000, 011, 100, 111], negative example: [2, 20, 21, 02, 12, 101, 110, 001, 010, 1000]"
((a*)|(baa(a)*)),"positive example: ["""", ""a"", ""aa"", ""baa"", ""baaa"", ""baaaa""],  
negative example: [""b"", ""ba"", ""aba"", ""aab"", ""baab"", ""baaba""]"
0*|(11)+0*|0*(11)+|10*1|(1010)*|(0101)*|(0110)*,"positive example: ["""", ""0"", ""000"", ""11"", ""110"", ""0011"", ""101"", ""1010"", ""0101"", ""0110"", ""10101010"", ""01010101"", ""01100110""],  
negative example: [""1"", ""01"", ""10"", ""100"", ""1101"", ""1011"", ""111"", ""0001"", ""010"", ""011"", ""10101"", ""01010"", ""01101""]"
((aa)|(bb)|(ab)|(ba))+(aaa)+,"positive example: [aaa, aaaaa, aabaaa, bbaaaa, abbaaaa, baaaabaaa], negative example: [aa, bb, ab, ba, aab, bba, aba, baa, aabb, bbaa]"
(0?10*10*)*,"positive example: [""01010"", ""1010"", ""010010"", ""101010"", ""10""],  
negative example: [""0110"", ""1001"", ""0011"", ""1100"", ""000""]"
(00*1*|10*1*),"positive example: [001, 0001, 101, 1001, 01, 1], negative example: [0, 00, 10, 11, 000, 111]"
(aa|bb|ba|ab)+aaa,"positive example: [aaa, bbaaa, ababaaa, aabbaaa], negative example: [aa, bb, ba, ab, aaba, bbab]"
[a]*b([a]b{2})[a],"positive example: [abbba, aabbbaa, bbbaa], negative example: [abab, aaab, bbaab]"
0(10)*0|1(01)*1?,"positive example: [00, 01010, 101, 10101], negative example: [0, 1, 010, 0110, 1010]"
(0+1*(0*1+)*0+)*|(1+(0*1+))*|0*,"positive example: [""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""010"", ""100"", ""101"", ""110"", ""111"", ""0010"", ""0101"", ""1010"", ""1111""],  
negative example: [""2"", ""3"", ""a"", ""b"", ""012"", ""102"", ""1102"", ""abc"", ""10a"", ""0b1""]"
(baa)|a*,"positive example: [baa, a, aa, aaa, baa, aaaa], negative example: [b, ab, ba, aab, baaa, aba]"
b(a*ba*b)*,"positive example: [bb, babab, baaaabaaab, baaabaaab, baaaaab],  
negative example: [a, b, aba, bba, baaaabaaa]"
aba(a+b)*,"positive example: [aba, abaa, abab, abaaa, ababa, ababb, ababaa, ababab], negative example: [ab, aab, baa, abb, aaba, baba, aaab, bbba]"
0*(01*0)*0*|1*(10*1)*1*,"positive example: [0, 000, 010, 00100, 111, 101, 11011, 000111000], negative example: [01, 10, 0110, 1001, 0101, 1010, 0011, 1100]"
(a*(bb+bbb)*a*)+(a*),"positive example: [""aa"", ""aabba"", ""bbba"", ""aabbbba"", ""aaaabbbbaa""], negative example: [""b"", ""ab"", ""ba"", ""aaba"", ""abbb""]"
([a]*(b)(bba|abb|bab|bb|a*|baab)*),"positive example: [ab, abb, bbba, bab, baab, aabba], negative example: [bb, aaa, baba, abab, bbaa, aabb]"
(a|b)a*b(a|(a(a|b)a*b)*)?,"positive example: [aba, baba, aabba, aaba, baaab, baaaaab], negative example: [aa, bb, ab, ba, aab, baa, abab, babaab]"
((a|b)a*ba)*((b|a)a*b),"positive example: [ ""aaba"", ""baab"", ""aababaa"", ""baabab"", ""aabaaaba"" ],  
negative example: [ ""aa"", ""bb"", ""aba"", ""baa"", ""aababab"" ]"
(0*(11)*0*10*(11)*),"positive example: [0, 11, 010, 11011, 001100], negative example: [1, 101, 1110, 0111, 1001]"
(bba*)+(a*bb),"positive example: [bb, bba, bbaa, bbaaa, aabbaa, bbaabb, bbaaabbaa], negative example: [a, ba, b, aab, baba, baaab, bbaabba]"
(a|b)+(a|b)+aaaa(a)*,"positive example: [baaaaa, aabaaaaa, bbaaaaaa, abbaaaaaa], negative example: [aaaa, baaa, aabaa, bbaa]"
(0*|(11)*)(0*|(11)*)*,"positive example: ["""", ""0"", ""11"", ""0011"", ""1100"", ""000"", ""1111"", ""011011"", ""00001111""], negative example: [""1"", ""01"", ""10"", ""101"", ""0110"", ""1101"", ""1011"", ""11101""]"
(((1+0*1+)*)|((0+1*0+)*))?,"positive example: [""1"", ""0"", ""10"", ""01"", ""110"", ""001"", ""1010"", ""0101"", ""1110"", ""0001"", ""11010"", ""00101"", ""101010"", ""010101"", ""111010"", ""000101"", ""1101010"", ""0010101"", ""10101010"", ""01010101""], negative example: [""2"", ""11"", ""00"", ""100"", ""011"", ""1100"", ""0011"", ""10100"", ""01011"", ""11100"", ""00011"", ""110100"", ""001011"", ""1010100"", ""0101011"", ""1110100"", ""0001011"", ""11010100"", ""00101011"", ""101010100"", ""010101011""]"
(a)*(abb+bba+bb)*,"positive example: [a, abb, bba, aabb, bbaa, aabba, aaabb, bbaabb],  
negative example: [ab, ba, aba, baba, abab, bbb, aab, baa]"
(a|b)*(baa)+a*b+,"positive example: [baabaaab, baaab, abbaaaab, bbaaab, aabbaaab], negative example: [aba, bba, aab, baaa, ababaa]"
(a)*|(baa)+,"positive example: [a, aa, aaa, baa, baabaa, baaabaa], negative example: [b, ab, aab, baaa, baba, aba]"
(a(bbb*))*,"positive example: [a, abbb, abbbbb, aabbb, aabbbabbb], negative example: [abb, ab, aa, bbb, abab]"
(a+|b+)a*,"positive example: [aa, bba, aaa, baaa, a], negative example: [ab, ba, aba, baba, abaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010, 1010111, 1010100],  
negative example: [11, 110, 101, 1001, 1010, 1100, 1111, 0000, 0011, 0101, 0110, 10001, 10100, 11000, 11101, 00000, 00101, 01001, 01100, 100001, 101000, 110000, 1110000, 000000, 0010000, 0100000, 1000000, 10100000, 10100001, 10100010, 10100011]"
(a*)baa+(a*),"positive example: [baa, aabaa, aaaaaabaa, baaaaa, baaa], negative example: [ba, ab, aab, aaaa, b]"
(baa+)*a*(baa)*,"positive example: [""baaa"", ""baaaaa"", ""a"", ""baabaa"", ""baaaabaa""],  
negative example: [""ba"", ""baab"", ""baaab"", ""aba"", ""baabaaaab""]"
((aaa|bbb)|(aa|bb))+aaa,"positive example: [aaa, bbbaaa, aaaaaa, bbbbbbaaa, aabbaaa],  
negative example: [aa, bb, aabb, bbaa, aabbbb]"
(a*ba*ba*)*(ba|ab|b|baa),"positive example: [abaab, baaab, abab, baba, baa],  
negative example: [a, aa, abba, bbba, aaaa]"
(a+)|(b*a+),"positive example: [a, aa, aaa, ba, bba, baa, bbaa], negative example: [b, bb, bbb, ab, abb, abbb]"
a*bb*aaa*(b|a)*b,"positive example: [""bbaaaab"", ""aabbaaab"", ""bbbbaaaab"", ""aaaaaaab"", ""bbaaaab""], negative example: [""abab"", ""baa"", ""aabba"", ""bbaa"", ""aabab""]"
baa|a*,"positive example: [baa, a, aa, aaa, aaaa], negative example: [b, ba, ab, aab, baaa]"
(0+(0*1*)*0+)|(1+(0*1*)*1+),"positive example: [000, 111, 0010, 1101, 000100, 111011], negative example: [01, 10, 0011, 1100, 0101, 1010]"
a*|(bb)*|(bbb)*|a*,"positive example: ["""", ""a"", ""aa"", ""bb"", ""bbb"", ""aaaa"", ""bbbb"", ""bbbbbb"", ""bbbbbbbbb"", ""aabbb""],  
negative example: [""b"", ""ab"", ""ba"", ""aba"", ""baba"", ""bbab"", ""bbba"", ""abbbab""]"
(a*bab)*b,"positive example: [bab, ababb, aababbab, b, aabababab], negative example: [aa, aba, abab, aababa, ababa]"
(a(baa+)*)*,"positive example: [ab, abaa, abaabaa, abaabaabaa, a], negative example: [aa, abba, abaab, b, aab]"
(0((0*1*)*)0)|(1((0*1*)*)1)?,"positive example: [00, 11, 010, 101, 001100, 110011], negative example: [0, 1, 01, 10, 001, 110, 0001, 1110]"
(0+1+0+)*,"positive example: [""010"", ""01010"", ""010010"", ""0101010"", ""010101010""], negative example: [""0"", ""1"", ""00"", ""11"", ""101"", ""1001"", ""1100""]"
0*(10*10*)0*,"positive example: [""0100"", ""00100"", ""10010"", ""010010"", ""0001000""], negative example: [""0"", ""00"", ""000"", ""1"", ""11"", ""101"", ""0101"", ""1001""]"
(0+|0(1+0)*)|(1+|1(0+1)*),"positive example: [0, 00, 01, 10, 11, 010, 101, 0010, 1101, 000, 111],  
negative example: [2, 012, 102, 0012, 1102, 20, 21, 201, 210]"
a*b*(a*b*(baa)a*b*a*b*(b)),"positive example: [aabbaabbaabbaa, bbaabbaa, aabbaabbaa], negative example: [aabba, bbaab, aabbaabba]"
0*(01)*0|1*(10)*1,"positive example: [0, 1, 00, 11, 010, 101, 000, 111, 01010, 10101],  
negative example: [01, 10, 001, 110, 0110, 1001, 0011, 1100, 0101, 1010]"
a*(baa+)+|baa+,"positive example: [baa, baaaa, abaa, aabaa, baaabaa], negative example: [b, aa, aba, baaaab, aaba]"
(a+bb)*a*(a+bb)*,"positive example: [a, bb, aaa, bba, aabba, bbaa, aabbaa], negative example: [b, ab, ba, aba, baba, abab, bbaab]"
(a|b)*(baa)+b+,"positive example: [baab, bbaaab, abbaaab, aabbaaab, bbaaabb], negative example: [a, b, ab, ba, baaa, bba, baba, abab, bbaa, aabaa]"
(a|(bb))*,"positive example: [a, bb, aabb, bba, aaa, bbbb, abba, aabbaa], negative example: [b, aba, baba, abab, bbbba, aabab, bbbab]"
(a|(baa+)),"positive example: [a, baa, baaa, baaaa], negative example: [ba, ab, aaa, baaaaa]"
aaa(a+b)*|aba(a+b)*,"positive example: [aaaa, aaab, abaa, abab, aaaab, abaab], negative example: [aa, ab, aab, abb, aaba, abba]"
(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*),"positive example: [""0"", ""1"", ""11"", ""101"", ""01"", ""001"", ""10"", ""110"", ""1110"", ""10101""],  
negative example: [""2"", ""00"", ""111"", ""100"", ""0111"", ""1010"", ""1101"", ""0011"", ""0000"", ""11111""]"
"ba{3,}","positive example: [baaa, baaaa, baaaaa], negative example: [ba, baa, baaaab]"
(a*ba*b)*b,"positive example: [b, abaab, aabbaaab, baaab, ababab], negative example: [a, aa, ab, aab, aaaab]"
((baa)+)b,"positive example: [baaab, baaabaaab, baaabaaabaaab], negative example: [baab, baaa, baaaba]"
(01?)+(1?0)+,"positive example: [ ""010"", ""0110"", ""1010"", ""01110"", ""01010"" ], negative example: [ ""0"", ""1"", ""00"", ""11"", ""1001"" ]"
a*(baa)*a*(baa)*a*,"positive example: [""a"", ""baa"", ""abaa"", ""baaa"", ""abaaa"", ""baabaa"", ""aabaa"", ""baabaaa"", ""aabaaa"", ""baabaabaa""],  
negative example: [""b"", ""aba"", ""ba"", ""aab"", ""baaba"", ""aaba"", ""baab"", ""aababaa"", ""baababa"", ""aababa""]"
b(a|bb)*,"positive example: [b, ba, bbb, bab, bbba, babbb], negative example: [a, bb, aba, baba, bbbba, bbbab]"
a*b*baaa*b+,"positive example: [bbaaaab, aabbaaaab, bbaaaab, aaaabbaaaab], negative example: [abab, aabab, bbaaab, aabbaaab]"
((bb)*(a)*)*,"positive example: [bb, a, bba, bbaa, bbbba, bbbbaa, aabb, bbabba, bbbbbaaaa], negative example: [b, ab, ba, aba, baba, abab, bbbab, aabba, baaab]"
0+((10)*(01)*|(01)*(10)*)0+,"positive example: [000, 010100, 001010, 00010010, 0100100], negative example: [01, 10, 0011, 1100, 010101]"
((0+1+)*0+)|((1+0+)*1+),"positive example: [0, 1, 00, 11, 010, 101, 0000, 1111, 01010, 10101], negative example: [01, 10, 001, 110, 0101, 1010, 0001, 1110, 01001, 10110]"
((a*bbb*a*)+a*)*,"positive example: [abbba, aabbbaa, aabbbaabbba, aaabbbaaa], negative example: [abab, bbba, aabba, aabbbab]"
(b*(aa)*)*,"positive example: [b, aa, bbaa, baa, bbbaaa], negative example: [a, ab, aba, baba, aab]"
ab(aaa),"positive example:[abaaa, abaaaaa, abaaaaaa], negative example:[ab, aba, abaa]"
(b)*baa(b|a)*b,"positive example: [baab, bbaab, baaab, bbaaab, bbaaabb], negative example: [ba, bba, baaa, bbaa, bbaaaa]"
0*1,"positive example: [""1"", ""01"", ""001"", ""0001""], negative example: ["""", ""0"", ""10"", ""000"", ""111""]"
(a+b+)(a+b+)aaa(a)*,"positive example: [aabbaaa, aabbbaaa, abbaaaa, aabaaaa], negative example: [abbaa, aabbaa, aabbbaa, abaaa]"
(aa|bb+)aaa+,"positive example: [aaaaa, bbaaa, bbbaaa, aaaaaa], negative example: [a, b, aa, bb, aaa, bbba, abaa, baaab]"
(b*(aa))*,"positive example: [""aa"", ""baabaa"", ""bbbaa"", ""bbbaabbaa"", ""aaabaa""],  
negative example: [""b"", ""ab"", ""ba"", ""bba"", ""aab""]"
bb,"positive example: [bb, bbb, bbbb], negative example: [b, a, ab]"
(0*(11)+0*)*,"positive example: [""0"", ""11"", ""0110"", ""110"", ""001100"", ""00011000"", ""1111"", ""0110110""],  
negative example: [""1"", ""101"", ""010"", ""1001"", ""001010"", ""1110"", ""01110"", ""00100100""]"
[a]*([b]{1}a{2}),"positive example: [baa, baaaa, aabaa], negative example: [a, b, aa, bb, aba, bba, aaba]"
(baaa*),"positive example: [baa, baaa, baaaa], negative example: [ba, b, aaa]"
00|01|11|000|001|010|100|011|101|110|111,"positive example: [00, 01, 11, 000, 001, 010, 100, 011, 101, 110, 111],  
negative example: [0, 1, 10, 1010, 0000, 1111, 0101, 0011, 1100]"
0*1(10*1)*(0*|(11)*),"positive example: [01, 011, 0101, 01111, 01101, 010101, 011011], negative example: [0, 1, 10, 111, 001, 110, 0110]"
(0*10*|(10*1)*1|1(10*1)*|1(11)0*|0*1(11)*),"positive example: [""0"", ""1"", ""01"", ""10"", ""11"", ""001"", ""100"", ""101"", ""110"", ""111"", ""0001"", ""1000"", ""1001"", ""1011"", ""1101"", ""1111"", ""10101"", ""11011"", ""11111"", ""00001"", ""10000"", ""10001"", ""10111"", ""11001"", ""11101"", ""11111""],  
negative example: [""00"", ""000"", ""0000"", ""0010"", ""0100"", ""0110"", ""0111"", ""10000"", ""10100"", ""10110"", ""11000"", ""11010"", ""11100"", ""11110"", ""00000"", ""00100"", ""01000"", ""01100"", ""01110"", ""100000"", ""101000"", ""101100"", ""110000"", ""110100"", ""111000"", ""111100""]"
a*ba*ba*ba*,"positive example: [baaaabaaaabaaaab, ababab, bbb, aabaaabaaabaa],  
negative example: [aabaaabaa, baba, aaaabaaaabaaaab, abababa]"
(a*ba*ba*)*b,"positive example: [bab, ababab, aabaaabaaabaab], negative example: [aba, bba, aaabaaa]"
(a*)b(b(a*)b)*(a*),"positive example: [ ""ab"", ""aab"", ""abab"", ""aabb"", ""aaabaaab"" ], negative example: [ ""b"", ""ba"", ""aba"", ""aaba"", ""baab"" ]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110],  
negative example: [0, 00, 000, 0000, 00000, 11, 110, 011, 101, 1100, 1010, 1001, 11000, 10100, 10010, 101000, 101101, 100010, 110000]"
a*bba*bb,"positive example: [""abbb"", ""aabbaabb"", ""bbaabb"", ""abbaabbb""],  
negative example: [""abb"", ""aabba"", ""bbab"", ""aabbaa""]"
0*|(0+1+0+)*|(1+0+1+)*,"positive example: ["""", ""0"", ""00"", ""000"", ""010"", ""101"", ""01010"", ""10101"", ""001010"", ""101010""],  
negative example: [""1"", ""01"", ""10"", ""0110"", ""1001"", ""1100"", ""0011"", ""111"", ""000111"", ""111000""]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110],  
negative example: [11, 110, 101, 1001, 1010, 1100, 1111, 0000, 0110, 0101, 10100, 10111, 10010, 11011, 11101, 00000, 00101, 01100, 01010, 101000, 101011, 101101, 100100, 110101, 111010, 111100, 00011, 00110, 01111, 01001]"
"(a*[b]?a{2,})*","positive example: [aa, aaba, aaaaa, aabaa, aabaaaa], negative example: [b, ab, a, aab, ba]"
(a)*(bb)*(bab)*(b)(a)*(bb)*(bab)*,"positive example: [abbbab, abbbabab, aabbbab, bbab, bbabab], negative example: [a, bb, bab, abab, baba]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000],  
negative example: [11, 110, 101, 1001, 000, 011, 1010, 1111, 11110, 10000, 1100]"
(010|0110)*,"positive example: [""010"", ""0110"", ""010010"", ""01100110"", ""0100110""],  
negative example: [""0"", ""01"", ""011"", ""0101"", ""01100""]"
(aa+|ab+|bb+|ba+)+aaa+,"positive example: [aaa, aaaaa, aabbaaa, abbaaa, bbaaaa], negative example: [aa, ab, bb, ba, aabbaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100],  
negative example: [0, 11, 101, 110, 1001, 1010, 1100, 0000, 0110, 10001, 10100, 11000, 11110, 00001, 00101, 01010, 01101, 10010, 10111, 11011, 11101, 11110]"
bb+,"positive example: [bb, bbb, bbbb], negative example: [b, ab, ba, bbaa]"
(0*|1*)|((0+1+0+)*|(1+0+1+)*),"positive example: [""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""000"", ""111"", ""01010"", ""10101""],  
negative example: [""01"", ""10"", ""011"", ""100"", ""0011"", ""1100"", ""0101"", ""1010"", ""0110"", ""1001""]"
(abab|bb|aa)*b,"positive example: [b, ababb, bbaab, aab, bbb], negative example: [a, aba, bba, aaa, ababa]"
0*10*10*(11)*,"positive example: [""0101"", ""001001"", ""010011"", ""0001000111"", ""101011""],  
negative example: [""00"", ""11"", ""100"", ""0100"", ""1111""]"
(01+)*(010)(1+0)*|(10+)*(101)(0+1)*,"positive example: [""01010"", ""0101010"", ""101010"", ""10101010"", ""010"", ""101""],  
negative example: [""0110"", ""1001"", ""0011"", ""1100"", ""000"", ""111""]"
"((a)*ba{2,})|a*","positive example: [baa, aabaa, aaa, baa, a], negative example: [b, ab, aab, aba, aaaaab]"
((a|b)a*ba)*|((a|b)a*b),"positive example: [aba, aaba, baba, aaaba, ababa, bbaaba, aabba, abababa], negative example: [a, b, aa, bb, ab, ba, aab, bba, aaa, bbb, abba, babaab]"
(0*)(10*1)*(0*),"positive example: [0, 00, 010, 101, 01010, 00010100, 1001, 11011],  
negative example: [1, 11, 0110, 1010, 001100, 111, 0101, 10001]"
(a*)*(baa)*,"positive example: [a, aa, aaa, baa, abaabaa, aabaa, baaaa], negative example: [b, ab, ba, aab, baba, aaba, baaaab]"
0*10*,"positive example:[""10"", ""010"", ""00100"", ""0001000"", ""1""],  
negative example:["""", ""0"", ""00"", ""000"", ""01""]"
(0(1*0)*)|(1(0*1)*),"positive example: [0, 01, 010, 0110, 1, 10, 101, 1001], negative example: [00, 11, 011, 100, 0101, 1010]"
a*b*baa(a|b)*b,"positive example: [baab, aabbaab, bbaaab, aabbaaab, bbaaabb], negative example: [ba, aab, bba, aabba, bbaa]"
a*(bb+bbb)*a*,"positive example: [ ""a"", ""bb"", ""bbb"", ""aabba"", ""bbbaa"", ""aaa"", ""bbbb"", ""aabbbbaa"" ],  
negative example: [ ""b"", ""ab"", ""ba"", ""bab"", ""abab"", ""aab"", ""bbaab"", ""abba"" ]"
(aa|ab|ba|bb)aaa,"positive example: [aaaaaa, aabaaa, baaaaa, bbaaaa], negative example: [aaa, aaba, baa, bbaa]"
b(bb)*(a)*,"positive example: [b, bbb, bbba, bbbaa, bba, bbaa], negative example: [a, aa, ab, bbaab, baba, bbbbaaa]"
(0*)|((0*10*1)*),"positive example:["""", ""0"", ""00"", ""1"", ""0101"", ""001001"", ""00010001""], negative example:[""01"", ""001"", ""100"", ""1010"", ""01001""]"
1((0|1)*1)*|0((0|1)*0)*,"positive example: [1, 0, 11, 00, 101, 010, 1111, 0000, 10101, 01010],  
negative example: [01, 10, 011, 100, 0110, 1001, 01110, 10001, 0101, 1010]"
(b*aa+b*)|(b*a+ab*)|b*|(b*aa+b*aa+b*)|(b*a+ab*aa+b*)|b*|(b*aa+b*a+ab*)|(b*a+ab*a+ab*)|b*,"positive example: [""aa"", ""baa"", ""aab"", ""baab"", ""bbaa"", ""aabb"", ""baaab"", ""bbaab"", ""aabab"", ""baaabb"", ""bbaabb"", ""aababb"", ""baaabab"", ""bbaabab"", ""aababab"", ""b"", ""bb"", ""bbb"", ""bbbb"", ""bbbbb""],  
negative example: [""ab"", ""ba"", ""aba"", ""bab"", ""abab"", ""baba"", ""ababa"", ""babab"", ""ababab"", ""a"", ""aaa"", ""aaaa"", ""aaaaa"", ""aaaaaa""]"
a*(bb+)*a*|a*|(bb+)*a*(bb+)*|(bb+)*a*(bb+)a*,"positive example: [""a"", ""bb"", ""aa"", ""bbbb"", ""abba"", ""aabbaa"", ""bbaa"", ""aabb"", ""bba"", ""bbbba""], negative example: [""b"", ""aba"", ""bab"", ""abab"", ""ba"", ""ab"", ""baba"", ""abbb"", ""baab"", ""bbab""]"
a*baa(a*),"positive example: [baa, abaa, baaaa, aabaa, aaaaaabaa], negative example: [a, b, aba, baaa, aaab]"
a*(ba*(bb)*)a*,"positive example: [""a"", ""ba"", ""bba"", ""abba"", ""aabaa"", ""bbbaa"", ""aabbaa""],  
negative example: [""b"", ""ab"", ""bab"", ""bbab"", ""aba"", ""abab"", ""bbaba""]"
(11)*|0(11)*|(11)*0,"positive example: [11, 1111, 0, 011, 110, 01111, 11110], negative example: [1, 101, 1101, 0110, 11101, 0011]"
a*b+aa+b+,"positive example: [aaabbaaab, aabbaaabb, bbaaabbb], negative example: [aabbaa, bbaa, aaab]"
a*|(baa)*,"positive example: [a, aa, aaa, baa, baabaa, baabaabaa], negative example: [b, ab, aba, ba, aab, aaba, baaba]"
(b(abb|bab|bba|a)*)|((abb|bab|bba|a)*b),"positive example: [b, bab, bba, abb, babb, bbab, bbba, abbb, babab, bbbab, abbba],  
negative example: [a, aa, aba, aab, aaa, abab, abba, aabb, baa, baab, baaa]"
((a|b)(a|b))(a*|b*)aaa,"positive example: [aabaaa, bbaaaa, abbaaa, baaaaa], negative example: [aaa, bbaa, abab, bbbaaa]"
((a{2})|(b{2}))a*b*(a{3}),"positive example: [aabbaaa, bbaaaa, aaaabbaaa, bbaaabbaaa], negative example: [abbaaa, bbaa, aabbaa, bbaabbaa]"
(ba)*,"positive example: [ba, baba, bababa], negative example: [b, a, bb, aa, ab, bba]"
(a)*(bb+ab+b)*(bb+ba+a+bba)*(bb)*,"positive example: [a, bb, ab, bba, bbb, aba, aab, bbba, bbab, aabb],  
negative example: [ba, aa, bab, baa, abba, baba, aaba, bbaa, abab, bbaab]"
((a*bbb*a*)+(a*)+(bbb*))*,"positive example: [""abbba"", ""abbbba"", ""abbbbbba"", ""aaabbba"", ""aaabbbba"", ""abbbaaa"", ""bbba"", ""bbbba"", ""bbb"", ""a"", ""aaa"", ""abbb"", ""abbbbb"", ""abbbbbbb"", ""abbbaaabbb""],  
negative example: [""abab"", ""bab"", ""bba"", ""bbab"", ""ababba"", ""aabab"", ""abbbab"", ""abbbabbb"", ""abbbabbba"", ""abbbaab"", ""abbbbaaab"", ""abbbbaab""]"
a*bbb*a*|a*,"positive example: [""aabbbaa"", ""bbba"", ""aaa"", ""bbb"", ""aabbb"", ""bbbaa""], negative example: [""abab"", ""baab"", ""aabab"", ""bbab"", ""aabba"", ""bab""]"
b*a*(bab)(a|b)*,"positive example: [baab, bbbab, aaabab, baba, babab], negative example: [abba, aabb, bbaa, abab, baaab]"
(0(1*0*1*)0),"positive example: [010, 0110, 00100], negative example: [00, 10, 101]"
((0((0|1)*1(0|1)*)0)|(1((0|1)*0(0|1)*)1))?,"positive example:[""00"", ""11"", ""010"", ""101"", ""0010"", ""1101"", ""000100"", ""111011""],  
negative example:[""0"", ""1"", ""01"", ""10"", ""001"", ""110"", ""0001"", ""1110""]"
a*b+aa+a*b+,"positive example: [""aa"", ""aab"", ""aaaab"", ""baa"", ""baab""], negative example: [""a"", ""b"", ""aba"", ""aaba"", ""abaa""]"
(a)*(b)((a)*(bb))*,"positive example: [b, ab, aab, bbb, abbb, aabbb, aababbb], negative example: [a, aa, aba, abab, abba, aaba, aabba]"
(a)*(baa)*(a)*,"positive example: [a, baa, aaa, abaa, baaaa, aabaa], negative example: [b, ab, aba, ba, aab, baaaab]"
1*|0*|(1+(0*1*)1+)|(0+(1*0*)0+),"positive example: [""1"", ""0"", ""11"", ""00"", ""111"", ""000"", ""101"", ""010"", ""1101"", ""0010"", ""11101"", ""00010""],  
negative example: [""01"", ""10"", ""011"", ""100"", ""0110"", ""1001"", ""1010"", ""0101"", ""11001"", ""00101"", ""10101"", ""01010""]"
0*|(0*|11)*,"positive example: [0, 00, 000, 11, 0011, 1100, 000011, 1111, 000000], negative example: [1, 01, 10, 011, 101, 1101, 0110, 1010, 11101]"
a*|a*bb,"positive example: ["""", ""a"", ""aa"", ""aaa"", ""bb"", ""aabb"", ""aabbb""], negative example: [""b"", ""ab"", ""ba"", ""aba"", ""bab"", ""aab"", ""abab""]"
(a|b)*baa(a|b)b,"positive example: [baaab, bbaaab, abaaab, aabaaab], negative example: [baab, bbaa, abab, aabaa]"
