Short Description,regex,Attempt Regex,ChatGPT Output
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{2}aa*,"positive example: [aaa, bbaa, aabaa, baaa, aaaaa], negative example: [a, b, ab, ba, aba]"
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aabb+bbaa+ab+ba)*,"positive example: [ab, ba, aabb, bbaa, abba, bbaaab, aabbba, ababba, bbaabbaa, abbaaabb],  
negative example: [a, b, aa, bb, aba, bab, aab, bba, abab, baba, aabbb, bbaab, aaabbb, bbaaa]"
even prefix,(ab|ba)*,((a|b)|((a|b)(a|b)(a|b)))*|(ab|ba)*,"positive example: [a, b, aa, ab, ba, bb, aaa, aab, aba, abb, baa, bab, bba, bbb, abab, baba, abba, baab],  
negative example: [c, ac, bc, abc, aac, bbc, aaac, bbbc, abac, babaac]"
even prefix,(ab|ba)*,(bb|aa|(abab|aabb)*)*((aa)|(bb)|(ab)|(ba))*,"positive example: [""bb"", ""aa"", ""abab"", ""aabb"", ""bbaa"", ""abababab"", ""aabbaabb"", ""aaab"", ""bbba"", ""abba""],  
negative example: [""a"", ""b"", ""aba"", ""bab"", ""abbaa"", ""bbaab"", ""abbba"", ""baaab"", ""ababba"", ""aabbaa""]"
even prefix,(ab|ba)*,(ab)*((a|b)(a|b))*,"positive example: [ab, abab, aabb, abaa, baba, ababab, aabbaa], negative example: [a, b, aa, bb, aba, bab, aab, bba, abba, baab]"
non isolated 'b',(a|(b*bb))*,(a*(b+a*b+)*a*)*,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aba"", ""aab"", ""baa"", ""abba"", ""aaabaa""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bac"", ""abac"", ""aabbc"", ""aabca"", ""abbac""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)*aaa*,"positive example: [aaabaaa, bbbaaa, abbaaa, aabaaaaa], negative example: [abab, bbba, aabba, aabaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)*b,"positive example: [ab, b, baab, baaaab, baaab, baaaab, baaab, baaaab, baaab],  
negative example: [a, aa, baa, ba, baaa, baaaa, baaaaa, baaaaaa, baaaaaaa]"
even prefix,(ab|ba)*,(bb?|aa|(ab|ba)*)*((aa)?|(bb)|(ab)|(ba))*,"positive example: [""aa"", ""bb"", ""ab"", ""ba"", ""aab"", ""bba"", ""abab"", ""baba"", ""aabb"", ""bbaa"", ""abba"", ""baab"", ""aabbaa"", ""bbaabb"", ""ababab"", ""bababa""],  
negative example: [""a"", ""b"", ""aba"", ""bab"", ""aaba"", ""bbab"", ""abaa"", ""babb"", ""aabab"", ""bbaba"", ""abbaa"", ""babbb""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)+(a|b)*aaa,"positive example: [a, b, aa, ab, ba, bb, aaa, baa, aba, bba, aaaa, abaa, bbaa, aabaa, bbbaa], negative example: [ε, aab, bbb, aabb, bbbb, aabbb, bbbbb, aabbbb, bbbbbb]"
At least one a followed by one b,a+b,[a]*[b]*,"positive example: [""a"", ""b"", ""aa"", ""bb"", ""aab"", ""abb"", ""aabb"", """"],  
negative example: [""abab"", ""ba"", ""aba"", ""bab"", ""aabba"", ""bbaab""]"
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)((a|b)(a|b))*,"positive example: [""ab"", ""ba"", ""abab"", ""baba"", ""a"", ""b"", ""aa"", ""bb"", ""aaa"", ""bbb"", ""abba"", ""baab""],  
negative example: [""aba"", ""bab"", ""abc"", ""bac"", ""aab"", ""bba"", ""abaa"", ""babb""]"
even prefix,(ab|ba)*,(ab(a|b)*)*((a|b)(a|b))*,"positive example: [abab, abba, abaa, abbb, abaab, ababb, abbaa, abbbb, ababab, ababba],  
negative example: [a, b, aa, bb, aba, abb, baa, bab, aab, bba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]|[ab]+a{3},"positive example: [a, b, aa, ba, aaa, baaa, aaaaa], negative example: [ab, aba, aab, baa, abaa, aaba, baaaaa]"
non isolated 'b',(a|(b*bb))*,((a|b)*b?)*,"positive example: [ab, abb, aab, b, abab, aaabbb], negative example: [ac, bca, abc, aabbc, bbaa, abac]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+)aaa,"positive example: [baaaa, aaaaa, bbaaaa], negative example: [aaa, baa, abba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)*(a*b*)b,"positive example: [ ""aabbaaab"", ""baaab"", ""abbaaab"", ""aabbaaab"", ""baab"" ], negative example: [ ""aabba"", ""baa"", ""abbaa"", ""aabbaa"", ""baaabb"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*,"positive example: ["""", ""0"", ""1"", ""000"", ""111"", ""1010"", ""0101"", ""101010"", ""010101"", ""001100"", ""110011""],  
negative example: [""01"", ""10"", ""0110"", ""1001"", ""0011"", ""1100"", ""010"", ""101"", ""01010"", ""10101""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+(aaa+)),"positive example: [baaa, aaaa, bbaaaa], negative example: [ab, aab, bbaa]"
At least one a followed by one b,a+b,(a|a*)b,"positive example: [ab, aab, b], negative example: [aa, a, aba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a)|(b))+)+(aaa)+,"positive example: [aaa, aaaa, baaa, abaaa, bbaaa, aabaaa, abbaaa, bbaaaa],  
negative example: [a, b, aa, ab, ba, bb, aab, abb, baa, bba, aaba, abba, baaaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa(a|b)*,"positive example: [baaaa, aabaaa, bbaaaab, aaaaab, baaaab], negative example: [aa, bba, abba, aab, baba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa,"positive example: [aaa, baaa, abaaa, bbaaa, aabaaa], negative example: [aa, bb, aba, bab, abba]"
non isolated 'b',(a|(b*bb))*,(a*|(b*b)*)*,"positive example: ["""", ""a"", ""aa"", ""b"", ""bb"", ""ab"", ""aab"", ""ba"", ""bba"", ""bbab"", ""bbbb"", ""aaabbb"", ""abab"", ""abba""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bbc"", ""abababcc"", ""aabbcc"", ""bbca""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))+)?,"positive example: [ab, aab, bba, aabba, abab, baab, baba, abba, aabbaab], negative example: [aa, bb, aba, baa, aaa, bbb, ababab, bbaa, aabb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*,"positive example: [""a"", ""b"", ""aaa"", ""aaaa"", ""baaa"", ""abaaa"", ""bbaaa""], negative example: [""aa"", ""bb"", ""ab"", ""ba"", ""aab"", ""bba"", ""aba"", ""bab""]"
Length 1 or More,(0|1)(0|1)*,[01]*,"positive example: [0, 1, 01, 10, 000, 111, 0101, 1010], negative example: [2, 3, 12, 20, 021, 102, 0012, 1102]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b)*,"positive example: [ ""aaba"", ""baab"", ""aababaa"", ""bababaa"", ""aababab"" ],  
negative example: [ ""aab"", ""baa"", ""aba"", ""bb"", ""aabba"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa(a)*,"positive example: [aaa, aaaaa, baaa, abaaa, bbaaa], negative example: [aa, aab, aba, bba, abab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*,"positive example: [abbaa, bbaaaa, aabaaa, abbaaa, bbbaaaa], negative example: [a, b, ab, ba, bbaa]"
At least one a followed by one b,a+b,[a]*[b],"positive example: [ab, aab, aaab, b], negative example: [a, ba, aba, aaa]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*(ab|ba)*,"positive example: [ab, ba, aa, bb, abab, baba, aabb, bbaa, abba, baab, abbaab, bbaaba],  
negative example: [a, b, aba, bab, aab, bba, abaa, babb, abbba, baaba, ababab, bababa]"
At least one a followed by one b,a+b,(a*b),"positive example: [ab, aab, aaab, b], negative example: [ba, aba, a, aa, aaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baa*b*(a*bb*)*,"positive example: [ba, bba, baaa, aabaa, aabbaa, aabbbaa, aabbbbaa, aabbaaabbaa],  
negative example: [ab, aab, baba, aabab, aabbaab, aabbaaab, aabbbba, aabbaaabab]"
even prefix,(ab|ba)*,((ab)*(ba)*)*(a|b)?,"positive example: [""ab"", ""ba"", ""aba"", ""abba"", ""baba"", ""a"", ""b"", ""abab"", ""babaab"", ""ababab"", ""abbaa"", ""babab"", ""ababba""],  
negative example: [""aa"", ""bb"", ""abb"", ""baa"", ""ababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababab"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b+a*)*,"positive example: [abba, aabbaa, baba, aabbbaa, aabba], negative example: [abab, bbaa, aabb, bba, aaabbb]"
4 | #0,1*(01*01*01*01*)*,(0|1)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""110"", ""0000"", ""1111"", ""0101"", ""1010""],  
negative example: [""2"", ""a"", ""01a"", ""10b"", ""0012"", ""110c"", ""0000d"", ""1111e"", ""0101f"", ""1010g""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[b][aa][ab]*[b],"positive example: [abbb, aabab, bbaab, aaabab, abaaab], negative example: [aba, baaa, abab, aabb, bbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)(a|b)(a|b)*(a{3,})*","positive example: [aaa, bbaaa, aabaaaa, bbabbbaaa], negative example: [a, b, aa, bb, aab, bba, aabba, bbaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b|aa|bb|ab|ba)*a{3,}","positive example: [aaa, aaaaa, bbaaa, ababaaa, bbaaaaa], negative example: [a, b, aa, bb, ab, ba, abab, baba]"
Odd number of 1s,0*10*(10*10*)*,((0|1)*),"positive example: [0, 1, 01, 10, 0011, 1100, 000, 111, 0101], negative example: [2, 3, 12, 20, 0112, 101a, abc, 00x, 1y0]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*,"positive example: ["""", ""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""000"", ""111"", ""010"", ""101"", ""0011"", ""1100"", ""0101"", ""1010"", ""0000"", ""1111"", ""001100"", ""110011"", ""010101"", ""101010""],  
negative example: [""2"", ""a"", ""01a"", ""1b0"", ""00c1"", ""110d"", ""e010"", ""f1010"", ""0g1"", ""h11"", ""i00"", ""j0101"", ""k10101"", ""l0011"", ""m1100""]"
even prefix,(ab|ba)*,(ab|ba)*(aabb+bbaa+ab+ba)*,"positive example: [abab, baba, aabbaa, bbaabb, abba, baab, ababab, babaabba],  
negative example: [aa, bb, aab, bba, ababba, babaabb, aabba, bbaabaa]"
At least one a followed by one b,a+b,(a*(b))*,"positive example: [""ab"", ""aab"", ""aabb"", ""aaaab"", ""b"", ""bb""], negative example: [""ba"", ""aba"", ""aaabba"", ""a"", ""ababababba"", ""aabbaa""]"
At least one a followed by one b,a+b,(a)+(b)*,"positive example: [a, aa, aaa, ab, aab, aabb, aaaab], negative example: [b, bb, bbb, ba, baa, bab, bba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1)|(0*10*)|(1*01*))*,"positive example: [ ""010"", ""101"", ""0101"", ""0010"", ""1101"", ""01010"", ""10101"", ""00010"", ""11101"", ""010101"" ],  
negative example: [ ""00"", ""11"", ""000"", ""111"", ""0011"", ""1100"", ""00011"", ""11100"", ""0110"", ""1001"" ]"
Odd number of 1s,0*10*(10*10*)*,(0*10*)*,"positive example: [""10"", ""010"", ""1010"", ""00100"", ""1001""],  
negative example: ["""", ""0"", ""1"", ""11"", ""000""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1?|0|1+(0*1*)*1+|0+(0*1*)*0+,"positive example: [""1"", ""0"", ""11"", ""00"", ""101"", ""010"", ""1110"", ""0001"", ""11011"", ""00100""],  
negative example: ["""", ""2"", ""01a"", ""10b"", ""abc"", ""0112"", ""100a"", ""11111a"", ""00000b"", ""10101c""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)+a+a+a,"positive example: [aaa, aabbaaa, bbaaa, aabbaa, abbaaa], negative example: [bb, aab, abab, baba, aaabbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa,"positive example: [aaa, baaa, aaaaa, bbaaa, abaaa], negative example: [a, b, aa, ab, ba, bb, aab, abb, bba, bbb]"
non isolated 'b',(a|(b*bb))*,a*|((a|b)*bb(a*b*)),"positive example: [""a"", ""aa"", ""aaa"", ""bb"", ""abb"", ""aabbb"", ""baabbb"", ""ababbb"", ""babbb""],  
negative example: [""b"", ""ba"", ""aba"", ""abab"", ""bab"", ""baba""]"
Length 1 or More,(0|1)(0|1)*,(0*1+)*(1*0+)*,"positive example: [""01"", ""110"", ""00110"", ""111000"", ""0101010""], negative example: ["""", ""0"", ""1"", ""000"", ""111"", ""001001"", ""110011""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(0|1)*1*|0*(0|1)*0*,"positive example: [ ""1"", ""0"", ""11"", ""00"", ""101"", ""110"", ""0110"", ""1111"", ""0000"", ""1001"" ],  
negative example: [ ""2"", ""01a"", ""b10"", ""12"", ""a"", ""b"", ""abc"", ""10a1"", ""0b1"", ""1c0"" ]"
non isolated 'b',(a|(b*bb))*,(a*(bb)*b*a*)*,"positive example: ["""", ""a"", ""bb"", ""abba"", ""aaabbba"", ""aabbaa"", ""bbaa"", ""aabbbaa""],  
negative example: [""b"", ""aba"", ""abab"", ""ba"", ""aabab"", ""bbaab"", ""abbbaab""]"
even number of 1's,(0*10*10*)*|0*,0*(0*1*)*0*,"positive example: [""0"", ""01"", ""001"", ""0001"", ""010"", ""0010"", ""00010"", ""000"", ""0000"", ""00000""], negative example: [""1"", ""10"", ""100"", ""110"", ""101"", ""011"", ""0011"", ""111"", ""1010"", ""1100""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*,"positive example: [ ""1"", ""0"", ""10"", ""01"", ""110"", ""001"", ""1010"", ""0101"", ""111000"", ""000111"", ""101010"", ""010101"", ""11001100"", ""00110011"", ""11110000"", ""00001111"", ""10101010"", ""01010101"" ], negative example: [ """", ""2"", ""a"", ""11a"", ""00b"", ""1a0"", ""0b1"", ""101a0"", ""010b1"", ""110a011"", ""001b100"", ""111a000"", ""000b111"", ""1010a1010"", ""0101b0101"" ]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba))*,"positive example: [ab, aba, ba, baba, abab, ababa, baaab, aabaa, aabbaa, ababab],  
negative example: [a, b, aa, bb, aaa, bbb, abba, baaa, aabb, bbaa]"
even prefix,(ab|ba)*,((aa|bb|ab|ba)?)*,"positive example: [aa, bb, ab, ba, aabb, abba, baba, abab, aaaa, bbbb], negative example: [a, b, aab, bba, aba, bab, abc, aabba, bbaab]"
At least one a followed by one b,a+b,a*b,"positive example: [ab, aab, aaab, b], negative example: [ba, aba, aaa, bb]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*b+|a*)*,"positive example: [ab, aab, baba, aabba, aababaa], negative example: [ba, bba, a, b, aaabbb]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*|(a|bab)*(b|aba)*,"positive example: [a, b, aa, ab, ba, bb, bab, aba, aab, baa, baba, abab, aaba, baab, bbab, abaa, babaab, abaaba],  
negative example: [ac, bc, abc, bac, bca, abac, babaac, abaaac, bbaa, aabab, baabac, abaabb, bbaab, aabac, babac, abaabc]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0+1+)*|0+(1+0+)*,"positive example: [""1"", ""0"", ""11"", ""00"", ""101"", ""010"", ""1110"", ""0001"", ""111010"", ""000101""],  
negative example: ["""", ""01"", ""10"", ""011"", ""100"", ""1010"", ""0101"", ""1100"", ""0011"", ""10101""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa+,"positive example: [abaaa, aaaaa, baaaaa, abbaaaaa], negative example: [a, b, aa, bb, aab, bba, aabba, bbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa*,"positive example: [aa, baa, abaaa, bbaaa, aaaaa], negative example: [a, b, aba, bba, abba]"
Odd number of b's,(a*ba*b)*a*ba*,((a|(bb))*b[a]*)*,"positive example: [a, b, aa, bb, aba, bba, abba, aabba, baaa, bbaaa], negative example: [ab, ba, baba, aabb, bbaa, abab, bbaab, aabab]"
even prefix,(ab|ba)*,(a|b)*(ab|ba|aa|ab)*,"positive example: [a, b, aa, ab, ba, aab, baa, aba, bba, aabb, bbaa, abab, baba, aaa, bbb, aaba, baab],  
negative example: [ac, bc, abc, bac, aac, bbc, cab, cba, ccc, aabbc, bbaac, ababc, babac, aaac, bbbc]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0|(0|1)*|0,"positive example: [0, 00, 01, 000, 010, 001, 10, 11, 101, 110], negative example: [2, 3, 12, 20, 21, 22, 102, 120, 201]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)?,"positive example: [ab, ba, abab, baba, aa, bb, abaa, babb, ababaa], negative example: [a, b, aba, baa, abb, bba, abba, baab, aab, bbaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))+(a*),"positive example: [""ab"", ""aab"", ""abab"", ""aabb"", ""aaabbb"", ""ba"", ""bbaa"", ""bab"", ""bbab""],  
negative example: [""a"", ""b"", ""baa"", ""abba"", ""babab"", ""aaa"", ""bbb"", ""aba"", ""bba""]"
Odd number of b's,(a*ba*b)*a*ba*,a*(b(a*ba*b)*)*a*,"positive example: [""a"", ""aa"", ""b"", ""aba"", ""aabaa"", ""baab"", ""aaabaaa"", ""babab"", ""aababaa""],  
negative example: [""abab"", ""ba"", ""aaba"", ""bb"", ""abba"", ""baa"", ""aabbaa"", ""baba"", ""aabba""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*(1+0+)*|1*(0+1+)*,"positive example: [0, 1, 00, 11, 01, 10, 000, 111, 010, 101, 0011, 1100],  
negative example: [2, 3, 012, 102, 0012, 1103, 0110, 1001, 00011, 11100]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+|0+)*,"positive example: [1, 0, 11, 00, 101, 010, 1111, 0000, 1100, 0011],  
negative example: [2, 01a, b10, 123, abc, 1a0, 0b1, 10c, a1b, c0d]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b*a*)+,"positive example: [""a"", ""aa"", ""ba"", ""ab"", ""bba"", ""aab"", ""b"", ""bb"", ""baba"", ""aaab""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""bac"", ""aac"", ""bbca"", ""aabbc"", ""bca"", ""abca""]"
even prefix,(ab|ba)*,(aa|ab|ba|bb)*,"positive example: [aa, ab, ba, bb, aaaa, abab, baba, bbbb, aabbaa, abbabb], negative example: [a, b, aab, bba, abbaa, baaab, aabab, bbbaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a|(ba*b))*b+a*,"positive example: [ab, b, baab, baaa, aab, baabab, baaaaa], negative example: [a, aa, aba, baba, baaab, abab, aaba]"
Odd number of b's,(a*ba*b)*a*ba*,a*b+(bb*|a*)*,"positive example: [""ab"", ""aab"", ""bb"", ""abb"", ""aabb"", ""bbbb"", ""aabbb"", ""abbb"", ""aabbbbb"", ""aabbaa""],  
negative example: [""ba"", ""a"", ""b"", ""aba"", ""bab"", ""aaba"", ""baab"", ""bbba"", ""abab"", ""baba""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*|b*)*(a)(a)(a)(a*),"positive example: [aaaa, aaaaa, bbaaaa, aaa, aaaabaaa], negative example: [bbb, aaab, bbaa, aab, baa]"
non isolated 'b',(a|(b*bb))*,((b(b*))|a)*,"positive example: [""a"", ""bb"", ""ab"", ""bba"", ""abba"", ""aaaa"", ""bbbb"", ""abab"", ""baba""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aab"", ""bac"", ""bbca"", ""abac"", ""baaac""]"
At least one a followed by one b,a+b,(a|b)*a*b,"positive example: [ab, aab, babb, aaab, bbab], negative example: [ba, aba, bba, aaba, abab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba*)*,"positive example: [aba, baba, aabba, ababab, bbaaabba], negative example: [aa, bb, aab, bbb, ababbaa]"
non isolated 'b',(a|(b*bb))*,((bb*)*a*)*,"positive example: [bb, a, bba, bbbaa, bbaaa], negative example: [baa, ab, baba, aab, bbaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa)*,"positive example: [aaa, baa, aab, bba, aaaa, baaa, aabaa, bbaaa], negative example: [aa, bb, ab, ba, aab, bba, aaaaab, bbbaaa]"
