shortdescription,regex,attemptregex
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb)+(a|b)*aaa
non isolated 'b',(a|(b*bb))*,(a?)*(bb+bbb)*(a?)*
first and third,a(a|b)a(a|b)*,(aba+aaa)(a+b)*
non isolated 'a',(b|(a*aa))*,(b*aa+b*)|(b*a+ab*)|b*|(b*aa+b*aa+)|(b*a+ab*aa+)|b*|(b*aa+b*a+a)|(b*a+ab*a+a)|b*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ba|ab|aa|bb)+(aaa+a*)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a(a|b)b)*(a?))?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab{2}(ab)*a{3}
non isolated 'b',(a|(b*bb))*,(a?)*(bb+bbb)*(a)*(bb+bbb)*(a?)*
even number of 1's,(0*10*10*)*|0*,0*|(11)+0*|0*(11)+10*1
Odd number of 1s,0*10*(10*10*)*,(0*(11)*0*10*)|(0*)1
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(ab|ba|bb|aa)a{3,}"
Odd number of b's,(a*ba*b)*a*ba*,ba*(ba*b)*
Odd number of b's,(a*ba*b)*a*ba*,(a*)b(b(a*)b(a*))*
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*(bab)(a+b)*
non isolated 'b',(a|(b*bb))*,(a)*(a+bb)*(bb)*
An even number of 1's,(0|10*1)*,(0*10*1)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1(0|1)*1|0(0|1)*0
non isolated 'b',(a|(b*bb))*,(a*bba*)*
non isolated 'b',(a|(b*bb))*,(a*(bb|bbb?))*
even prefix,(ab|ba)*,((a)(b))*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)
Odd number of b's,(a*ba*b)*a*ba*,(aa|bb|(ab|ba)(aa|bb)*(ba|ab))*(b|(ab|ba)(bb|aa)*a)
Every b followed by two or more a's,(a|baa)*,a*(baa)*a*(baa)*a*(baa)*
Every b followed by two or more a's,(a|baa)*,(a|baa)
even number of 1's,(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1
Every b followed by two or more a's,(a|baa)*,(a*(baa)*a*)
even number of 1's,(0*10*10*)*|0*,0*(10*1)*0*(10*1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|bb|ba)(a*|b*)(aaa)(a*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(ab|ba|bb|aa){2,}a{3,}"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|(101)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)
Odd number of 1s,0*10*(10*10*)*,(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*|10*(11)*)
Odd number of b's,(a*ba*b)*a*ba*,b(b{2})*
even number of 1's,(0*10*10*)*|0*,0*(10*10)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01+0)*|(10+1)*
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)a*)+(a*)
contains 'bab',(a|b)*(bab)(a|b)*,(b+a)*(bab)(b+a)*
Odd number of b's,(a*ba*b)*a*ba*,b(abb|bab|bba|a)*|(abb|bab|bba|a)*b|(aba|baa|aab|bbb)
Odd number of 1s,0*10*(10*10*)*,(0*(11)*0*10*)|1011
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(010|0110)*0*|1*(101|1001)*1*
Every b followed by two or more a's,(a|baa)*,"ba{2,}"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|abb|bab|bba|bb)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)
contains 'bab',(a|b)*(bab)(a|b)*,bab
Odd number of b's,(a*ba*b)*a*ba*,a*(b(a*b{2})*)a*
non isolated 'b',(a|(b*bb))*,a((a*bb*ba*)+(a)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)+b+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)
even prefix,(ab|ba)*,((ab)|(ba))?
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*ba*)*a
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001)
Odd number of b's,(a*ba*b)*a*ba*,a*(b)a*(bb)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(01))*|(0+(10)*)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*ba*ba*
Does not contain aba as a substring,b*a*b*|(a*bb+a*)*,a*|b*|(a+bb+)*|ab|ba|(bb+a+)*|(aa*b*)?
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)
Odd number of 1s,0*10*(10*10*)*,(0)*(1)(0)*
Every b followed by two or more a's,(a|baa)*,(a*)*baa
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(10)*0+
Odd number of b's,(a*ba*b)*a*ba*,a*(ba*(ba*b)*)a*
4 | #0,1*(01*01*01*01*)*,1*(01*01*01*0)*1*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b+a*)
Length 1 or More,(0|1)(0|1)*,0(01)*|1(01)*
non isolated 'b',(a|(b*bb))*,a*(bbb*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0+)*)|(1+(0+1+)*))
Length 1 or More,(0|1)(0|1)*,10*|01*
Every b followed by two or more a's,(a|baa)*,"(b{1}a{2,})|a+"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,000(0|1)*000
non isolated 'b',(a|(b*bb))*,(aabbabb)*(aabbaa)*(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*(aabbaa)*(aabbabb)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)a*
non isolated 'b',(a|(b*bb))*,a*bbb*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*(bb)*a*)*b(a*(bb)*a*)
Odd number of b's,(a*ba*b)*a*ba*,a*(ab)|(b)a*|(a*ba*ba*)*ba*
non isolated 'b',(a|(b*bb))*,(a?bb|a?|a?bbb)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa+b+
non isolated 'b',(a|(b*bb))*,a*b*bb+a*
Odd number of 1s,0*10*(10*10*)*,0*10*(10*1)*0*(10*1)*
even number of 1's,(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*|(0101)*
Odd number of b's,(a*ba*b)*a*ba*,(bb)*a*(b(bb)*)a*(bb)*
non isolated 'b',(a|(b*bb))*,(bb+bbb)*
Length 1 or More,(0|1)(0|1)*,1+|0+
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(100)|(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(010)*0*
Length 1 or More,(0|1)(0|1)*,00*|01*|10*|11*
Every b followed by two or more a's,(a|baa)*,((a*)|(baa(a)*))
even number of 1's,(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1|(1010)*|(0101)*|(0110)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aa)|(bb)|(ab)|(ba))+(aaa)+
even number of 1's,(0*10*10*)*|0*,(0?10*10*)*
Length 1 or More,(0|1)(0|1)*,(00*1*|10*1*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)+aaa
Odd number of b's,(a*ba*b)*a*ba*,[a]*b([a]b{2})[a]
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(10)*0|1(01)*1?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1*(0*1+)*0+)*|(1+(0*1+))*|0*
Every b followed by two or more a's,(a|baa)*,(baa)|a*
Odd number of b's,(a*ba*b)*a*ba*,b(a*ba*b)*
first and third,a(a|b)a(a|b)*,aba(a+b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0)*0*|1*(10*1)*1*
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)*a*)+(a*)
Odd number of b's,(a*ba*b)*a*ba*,([a]*(b)(bba|abb|bab|bb|a*|baab)*)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a|(a(a|b)a*b)*)?
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((b|a)a*b)
Odd number of 1s,0*10*(10*10*)*,(0*(11)*0*10*(11)*)
non isolated 'b',(a|(b*bb))*,(bba*)+(a*bb)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+aaaa(a)*
An even number of 1's,(0|10*1)*,(0*|(11)*)(0*|(11)*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((1+0*1+)*)|((0+1*0+)*))?
non isolated 'b',(a|(b*bb))*,(a)*(abb+bba+bb)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+a*b+
Every b followed by two or more a's,(a|baa)*,(a)*|(baa)+
non isolated 'b',(a|(b*bb))*,(a(bbb*))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b+)a*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)
Every b followed by two or more a's,(a|baa)*,(a*)baa+(a*)
Every b followed by two or more a's,(a|baa)*,(baa+)*a*(baa)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aaa|bbb)|(aa|bb))+aaa
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)*(ba|ab|b|baa)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)|(b*a+)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*bb*aaa*(b|a)*b
Every b followed by two or more a's,(a|baa)*,baa|a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(0*1*)*0+)|(1+(0*1*)*1+)
non isolated 'b',(a|(b*bb))*,a*|(bb)*|(bbb)*|a*
Odd number of b's,(a*ba*b)*a*ba*,(a*bab)*b
Every b followed by two or more a's,(a|baa)*,(a(baa+)*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0((0*1*)*)0)|(1((0*1*)*)1)?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1+0+)*
An even number of 1's,(0|10*1)*,0*(10*10*)0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+|0(1+0)*)|(1+|1(0+1)*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(a*b*(baa)a*b*a*b*(b))
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01)*0|1*(10)*1
Every b followed by two or more a's,(a|baa)*,a*(baa+)+|baa+
non isolated 'b',(a|(b*bb))*,(a+bb)*a*(a+bb)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+b+
non isolated 'b',(a|(b*bb))*,(a|(bb))*
Every b followed by two or more a's,(a|baa)*,(a|(baa+))
first and third,a(a|b)a(a|b)*,aaa(a+b)*|aba(a+b)*
Odd number of 1s,0*10*(10*10*)*,(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*)
Every b followed by two or more a's,(a|baa)*,"ba{3,}"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b)*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((baa)+)b
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(01?)+(1?0)+
Every b followed by two or more a's,(a|baa)*,a*(baa)*a*(baa)*a*
Odd number of b's,(a*ba*b)*a*ba*,b(a|bb)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baaa*b+
non isolated 'b',(a|(b*bb))*,((bb)*(a)*)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+((10)*(01)*|(01)*(10)*)0+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+)*0+)|((1+0+)*1+)
non isolated 'b',(a|(b*bb))*,((a*bbb*a*)+a*)*
non isolated 'a',(b|(a*aa))*,(b*(aa)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab(aaa)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b)*baa(b|a)*b
Odd number of 1s,0*10*(10*10*)*,0*1
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b+)(a+b+)aaa(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb+)aaa+
non isolated 'a',(b|(a*aa))*,(b*(aa))*
non isolated 'b',(a|(b*bb))*,bb
even number of 1's,(0*10*10*)*|0*,(0*(11)+0*)*
Every b followed by two or more a's,(a|baa)*,[a]*([b]{1}a{2})
Every b followed by two or more a's,(a|baa)*,(baaa*)
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|11|000|001|010|100|011|101|110|111
Odd number of 1s,0*10*(10*10*)*,0*1(10*1)*(0*|(11)*)
Odd number of 1s,0*10*(10*10*)*,(0*10*|(10*1)*1|1(10*1)*|1(11)0*|0*1(11)*)
3 | #b,a*(ba*ba*ba*)*,a*ba*ba*ba*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)*b
Odd number of b's,(a*ba*b)*a*ba*,(a*)b(b(a*)b)*(a*)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)
non isolated 'b',(a|(b*bb))*,a*bba*bb
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|(0+1+0+)*|(1+0+1+)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)
Every b followed by two or more a's,(a|baa)*,"(a*[b]?a{2,})*"
Odd number of b's,(a*ba*b)*a*ba*,(a)*(bb)*(bab)*(b)(a)*(bb)*(bab)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(010|0110)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|ab+|bb+|ba+)+aaa+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)
non isolated 'b',(a|(b*bb))*,bb+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*)|((0+1+0+)*|(1+0+1+)*)
Odd number of b's,(a*ba*b)*a*ba*,(abab|bb|aa)*b
even number of 1's,(0*10*10*)*|0*,0*10*10*(11)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01+)*(010)(1+0)*|(10+)*(101)(0+1)*
Every b followed by two or more a's,(a|baa)*,"((a)*ba{2,})|a*"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*|((a|b)a*b)
An even number of 1's,(0|10*1)*,(0*)(10*1)*(0*)
Every b followed by two or more a's,(a|baa)*,(a*)*(baa)*
Odd number of 1s,0*10*(10*10*)*,0*10*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0)*)|(1(0*1)*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baa(a|b)*b
non isolated 'b',(a|(b*bb))*,a*(bb+bbb)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa
Odd number of b's,(a*ba*b)*a*ba*,b(bb)*(a)*
An even number of 1's,(0|10*1)*,(0*)|((0*10*1)*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1((0|1)*1)*|0((0|1)*0)*
non isolated 'a',(b|(a*aa))*,(b*aa+b*)|(b*a+ab*)|b*|(b*aa+b*aa+b*)|(b*a+ab*aa+b*)|b*|(b*aa+b*a+ab*)|(b*a+ab*a+ab*)|b*
non isolated 'b',(a|(b*bb))*,a*(bb+)*a*|a*|(bb+)*a*(bb+)*|(bb+)*a*(bb+)a*
Every b followed by two or more a's,(a|baa)*,a*baa(a*)
Odd number of b's,(a*ba*b)*a*ba*,a*(ba*(bb)*)a*
even number of 1's,(0*10*10*)*|0*,(11)*|0(11)*|(11)*0
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b+aa+b+
Every b followed by two or more a's,(a|baa)*,a*|(baa)*
Odd number of b's,(a*ba*b)*a*ba*,(b(abb|bab|bba|a)*)|((abb|bab|bba|a)*b)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))(a*|b*)aaa
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a{2})|(b{2}))a*b*(a{3})
even prefix,(ab|ba)*,(ba)*
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a+bba)*(bb)*
non isolated 'b',(a|(b*bb))*,((a*bbb*a*)+(a*)+(bbb*))*
non isolated 'b',(a|(b*bb))*,a*bbb*a*|a*
contains 'bab',(a|b)*(bab)(a|b)*,b*a*(bab)(a|b)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0(1*0*1*)0)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0((0|1)*1(0|1)*)0)|(1((0|1)*0(0|1)*)1))?
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b+aa+a*b+
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)((a)*(bb))*
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*(a)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*|0*|(1+(0*1*)1+)|(0+(1*0*)0+)
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*
non isolated 'b',(a|(b*bb))*,a*|a*bb
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa(a|b)b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,bbb*aaaa*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ba+|ab+)+aaa
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*)ba)*)|((a|b)(a*)b)
non isolated 'a',(b|(a*aa))*,(b+aa+aaa)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)+b
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)*a*ba
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)(baa)+b
Every b followed by two or more a's,(a|baa)*,"((ba{2,}){1,2}|a{1,}){1,}"
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*a*(baa)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)(0|1)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(0|1)*0+)*)|((1+(0|1)*1+)*)
"Starts with a, ends with b",a(a|b)*b,a(a|b)+b
first and third,a(a|b)a(a|b)*,(aaa)|(aba)a*b*
Contains aaa regex,(a|b)*aaa(a|b)*,aaa
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|10|11|111|110|100|000|001|011|101
Odd number of b's,(a*ba*b)*a*ba*,b(abb|bab|bba|a)*|(abb|bab|bba|a)*b|(aba|baa|aab)
Odd number of b's,(a*ba*b)*a*ba*,(a)*(aa*)(bb)*b
Odd number of 1s,0*10*(10*10*)*,((11)*10*)
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1+(0+1)*1*|0+(1+0)*0*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baba)*b(a|bb|abab|bab|baba)*
non isolated 'b',(a|(b*bb))*,(a*(bbb*))*
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*1(10*1)*0*)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba)*)
Odd number of 1s,0*10*(10*10*)*,(0*1|1(11)*|10*|1(101)*)
Odd number of 1s,0*10*(10*10*)*,((11)*1)
even number of 1's,(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1|(1010)*|(0101)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)a*b*b
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0(0(0|1)*0)*0
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|(010)*|(10101)*
non isolated 'b',(a|(b*bb))*,a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)+(baa)a*b
even number of 1's,(0*10*10*)*|0*,0*|(11)+0*|0*(11)+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)
Every b followed by two or more a's,(a|baa)*,(baa)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(((0+)1(0+))*)
non isolated 'b',(a|(b*bb))*,a*b*bb
non isolated 'b',(a|(b*bb))*,a*b+ba*b+b
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,00*(0+1)*0*0
non isolated 'b',(a|(b*bb))*,a*|(bb)*|a*(bb)*a*
