Regex,Attempt Regex,ChatGPT Output
(a|b)*baa(a|b)*b,[ab]*[b][aa][ab]*[b],"positive example: [baab, baaabb, babaaab]
negative example: [aab, abbba, aaabab]"
(a|b)(a|b)+aaa+,"(a|b)(a|b)(a|b)*(a{3,})*","positive example: [baa, aba, aaa, aaaa, babb, aaab]  
negative example: [a, b, ab, baaab, bbb, abbb]"
(a|b)(a|b)+aaa+,"(a|b|aa|bb|ab|ba)*a{3,}","positive example:[aaaa, aaaaab, baaabaaa, ababaaa, bbaaabaa], negative example:[aba, abba, baa, babb]"
0*10*(10*10*)*,((0|1)*),"positive example:[, 0, 1, 11, 00, 0101],negative example:[2, a, 101a, *]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*,"positive example: [0, 1, 00, 11, 010, 101, 0110, 1001, 1100, 0011, 10101],
negative example: [01, 1101, 0010, 1010, 0101, 110, 01001]"
(ab|ba)*,(ab|ba)*(aabb+bbaa+ab+ba)*,"positive example: [abba, ba, abababab, bbaa, abbaaabb, baabba, abbaab]

negative example: [abbb, aabble, aabbaab, bbba, aaabba]"
a+b,(a*(b))*,"positive example: ["""", ""b"", ""bb"", ""ab"", ""abb"", ""aaab"", ""abbb"", ""aab"", ""aabb""]
negative example: [""a"", ""ba"", ""c"", ""abbc"", ""aacb"", ""aba"", ""baba""]"
a+b,(a)+(b)*,"positive example:[a, aa, aaaabb, aabbb]  
negative example:[b, ab, aba, baa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1)|(0*10*)|(1*01*))*,"positive example: [0, 11, 01, 10, 010, 101, 0011, 1100]  
negative example: [111, 000, 1001, 0101, 1110, 0001]"
0*10*(10*10*)*,(0*10*)*,"positive example:[, 101, 0101, 110, 1001], negative example:[0, 011, 001, 10, 1100]"
(0(0*|1+0)*)|(1(1*|0+1)*),1?|0|1+(0*1*)*1+|0+(0*1*)*0+,"positive example: [0, , 01010, 10101, 1, 11, 001, 1001, 111, 00, 100, 1011, 0010, 1100]

negative example: [01, 10, 1111, 011, 1010, 110, 010, 1101, 0110, 000]"
(a|b)(a|b)+aaa+,(a*b*)+a+a+a,"positive example: [ababaaa, aaaaa, aaaaaa, abbaa, bbaaa]  
negative example: [bbbaa, baaaa, aa, abab, baa]"
(a|b)(a|b)+aaa+,(a|b)*aaa,"positive example: [aaaa, baa, aba, aaaa, abaaa, baaaa], negative example: [aab, baaab, bb, aabb, abab, bbb]"
(a|(b*bb))*,a*|((a|b)*bb(a*b*)),"positive example:[, bb, aa, abbbab, babbaa, a, abbbbb, abb, bbb, aaaa]
negative example:[b, ba, ab, baab, bbab, bab, aab]"
(0|1)(0|1)*,(0*1+)*(1*0+)*,"positive example: [1, 0, 10, 111, 100, 1010, 001, 110]
negative example: [011, 00, 000, 010, 1011, 1000, 1110, 0100]"
(0(0*|1+0)*)|(1(1*|0+1)*),1*(0|1)*1*|0*(0|1)*0*,"Positive examples: [1, 11, 111, 10, 101, 110, 1001, 00, 000, 010, 0010, 011, 001]

Negative examples: [0, 01, 10, 0001, 1110, 1010, 0110, 1011, 0101, 00001]"
(a|(b*bb))*,(a*(bb)*b*a*)*,"positive example:[bab, b, aab, ab, abb, abba, bba, aabb, aa, bb], negative example:[baab, abab, bbb, a, aaa, bbbb]"
(0*10*10*)*|0*,0*(0*1*)*0*,"Positive example: [0, 10, 1001, 111, 11]
Negative example: [110, 100, 011, 1110, 01]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*,"positive example:[, 10, 11, 00, 1101, 0011, 10101, 01010, 111000, 000111],negative example:[01, 110, 001, 100, 0100, 1010, 011, 0010, 1111, 0000]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba))*,"positive example:[, abab, ababba, abba, abaaabb, abbbababba, babaaab]
negative example:[abbabb, baa, aab, baab, bbaab]"
(ab|ba)*,((aa|bb|ab|ba)?)*,"positive example: [aa, bb, ab, ba, aaabb, abbaba]
negative example: [a, b, aaa, bbb, abababa]"
a+b,a*b,"Positive example: [ab, aab, b, a, aaab, aaaaaaaaaab]  
Negative example: [bb, ba, baa, bba, bab, abb]"
(a*ba*b)*a*ba*,a*b(ba*b+|a*)*,"positive example:[ab, aaab, abab, bab, aabab, abb, aabbb], negative example:[aaa, baaa, baa, bbb, aba, aaabb, bbaa]"
(a|b)*(bab)(a|b)*,(a|b)*|(a|bab)*(b|aba)*,"positive example: [ba, abaa, a, b, abab, babab, aba, ababab, aabab, ababa]
negative example: [abababab, bababa, bbab, aa, abba, bababaaba, bba, ababababab, aabb, baaa]"
(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0+1+)*|0+(1+0+)*,"positive example: [1, 0, 11, 00, 1110, 0011, 101010, 0101010, 110101, 001010]

negative example: [11, 00, 101, 010, 1100, 1001]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa+,"positive example:[baaa, aabaaa, abaaaa, bbaaa, aabaa, aaabaaa], negative example:[aaa, aa, bba, abaa, bab]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa*,"positive example:[aaa, abaaa, baaab, abaaaa, baba, baaa],negative example:[b, ab, ba, abaa, bba, aa]"
(a*ba*b)*a*ba*,((a|(bb))*b[a]*)*,"positive example:[, bab, aba, ababab, bbbbb, bbba, bbb, aabab, b, ba]  
negative example:[bbbba, abbbb, bbab, aabaa, bbaaa, aabb, aab, abbba]"
(ab|ba)*,(a|b)*(ab|ba|aa|ab)*,"positive example: [abb, aaa, aabab, babba, abaa]
negative example: [b, ab, ba, bbb, a]"
0(0|1)*0,0|(0|1)*|0,"positive example: [0, 10, 01, 00, 11]
negative example: [1, 11, 111, 101, 110]"
(ab|ba)*,(ab|ba)*(aa|bb)?,"positive example: [ab, ba, abba, bbaa, abbaa, abab, babb, bb, aa,]

negative example: [b, aaaa, a, aaab, bbb, aaa, baaab, abbb, bab,]"
(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))+(a*),"positive example:[bbaa, ababbaa, aaabbabbaa], negative example:[bba, abba, baab]"
(a*ba*b)*a*ba*,a*(b(a*ba*b)*)*a*,"positive example: [a, aa, ab, aababbbaa, abab, aabaa, baa, bbaaba, aabbaa]
negative example: [baba, ba, bababa, abb, aba, bab, abba, bbaba, ababaa]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*(1+0+)*|1*(0+1+)*,"positive example: [00, 0, 110101, 1010, 1, 01], negative example: [10, 011, 100110, 1100, 101101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+|0+)*,"positive examples: ["""", ""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""010"", ""101"", ""001"", ""110"", ""111000"", ""000111""], negative examples: [""10"", ""0110"", ""1010"", ""1101"", ""00110"", ""10101""]"
b*a*,(a+|b*a*)+,"Positive example: [bab, baa, baaab, aab, aba, a, aaa]
Negative example: [bb, bbb, bba, abbb, bbbbbb, abb]"
(ab|ba)*,(aa|ab|ba|bb)*,"positive example: [aa, ab, ba, bb, aaabbabb, aabb, abab, baba, bbaa, abba, bbbb, aaaa, abababab, bababababa, bbbaaa]
negative example: [a, b, aaa, abb, baa, b, aab, bababa]"
(a*ba*b)*a*ba*,(a|(ba*b))*b+a*,"Positive example: [baa, ababba, b, baaabab, abab, bbba, babbba]
Negative example: [bab, baaa, ab, baaababab, bba]"
(a*ba*b)*a*ba*,a*b+(bb*|a*)*,"positive example: [ab, abb, aab, aa, bbb, ababb, aababbb], negative example: [ba, bba, aaaba, bbbaa, ababa]"
(a|b)(a|b)+aaa+,(a*|b*)*(a)(a)(a)(a*),"Positive examples: [aaaaaa, baaaa, abaaaa, aaaab, bbaaaa, aaaaa, aabaa]

Negative examples: [baaa, bbbaa, abaaba, aaab, aa, aaa, baa]"
(a|(b*bb))*,((b(b*))|a)*,"positive example: [ba, """", ""aa"", ""b"", ""bbb"", ""bab"", ""bbbbba"", ""abab"", ""bbbbaaa"", ""aabbb"", ""bbaa""]
negative example: [""bbab"", ""c"", ""ac"", ""xyz"", ""bbac"", ""abbab"", ""ababababa""]"
a+b,(a|b)*a*b,"positive example: [aaab, abb, ab, b, aab]
negative example: [aaa, bb, ba, abba, a]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba*)*,"positive example:[, ababb, abba, abab, aba, ababab, abb]
negative example:[a, aa, ba, bab, bb, b, ab, aaa]"
(a|(b*bb))*,((bb*)*a*)*,"positive example: [a, ab, bb, bbbbb, aabbb, bbbbbaa, aa, bbbaa]
negative example: [b, aaa, bba, baa, bbbba, bab, bbbab]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa)*,"positive example: [baa, abaaa, baaabaa]  
negative example: [a, bbbb, bbbaaa]"
b*a*,a+b*a*|b*a*,"positive example:[a, b, aa, bb, ab, ba, aab, abb, aabb, bba, bbaa, aabbb, abbaa]
negative example:[aba, bab, baab, abab, bbaaab]"
(a*ba*b)*a*ba*,(a|b(bb)*)*,"positive example:[, a, b, ab, ba, bbb, abab, babb], negative example:[aaa, bbab, baba, aa, babbb]"
(a*ba*b)*a*ba*,(a*ba*b*)*,"positive example:[, aba, bab, abba, bbaab, abb, baab], negative example:[a, aa, baa, ab]"
(ab|ba)*,(ab|ba)*(aa|bb)*,"positive example: [abbabbaa, ababab, babbaa, baaabb]
negative example: [aaabaa, aababa, bbaaab, abbaaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1),"positive example: [101, 0110, 00, 10, 011, 1000, 0010, 01, 11, 1100, 11001, 00111]

negative example: [1, 1010, 0, 0101]"
(a|(b*bb))*,(b(b*)|a)*,"positive example: [ba, , aa, b, abb, aab, ab, bb]
negative example: [bab, aba, aaba, aabb, baa, bbb, abba]"
(a|(b*bb))*,(a*|(b*bb*)*)*,"positive example: [a, b, aa, bb, abb, aab, abba, bbb, baa]
negative example: [c, abc, bba, abab, bbbc, babac]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)*(0*1*0*)*,"positive example: ["""", ""101"", ""11001"", ""010"", ""1000100""]
negative example: [""111"", ""000"", ""1010"", ""0101"", ""0011""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)+(0*1*0*),"positive example: [101, 010101, 110, 0110, 001100],  
negative example: [00, 111, 000, 110011, 010]"
(a|baa)*,(a)*(b|aa|a*)*,"positive example:[b, aa, aab, baa, aaaa], negative example:[bab, aba, aabaa, bb, aaaaab]"
a+b,(a|b)*,"positive example:[, a, b, aa, bb, ab, ba, aaa, bbb, aba], negative example:[c, d, ac, ad, abc, abd]"
(ab|ba)*,((a|b)(a|b))*,"positive example:[, aabb, ab, abab, aa, bbaa, baba],negative example:[a, b, aaa, bbb, abba, ba]"
a+b,[ab]*[a][b][ab]*,"positive example: [ab, aab, bab, abab, baaab]  
negative example: [b, a, baa, aaa, bb]"
(a*ba*b)*a*ba*,(a|b|bb)+,"positive example: [b, ab, bb, a, aba, bab, bbb, abb, bba, baa]  
negative example: [c, bc, ac, abc, cb, ca, aab, bbc, bcb, cac]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)*(0|1)*(0|1)*,"Positive example: ['0', '1', '00', '11', '01', '10', '001', '010', '100', '110', '101', '111', '000', '011', '1111', '1010', '0101']

Negative example: []"
a(a|b)a(a|b)*,a(a|b)+a(a|b)*,"positive example: [aabbaa, abaa, abaaba], negative example: [a, ab, aaa]"
(a|b)*(bab)(a|b)*,(bab)*(a|b)*(bab)*,"Positive example: [bab, abab, babbab, ababab, b]

Negative example: [aabab, bbb, baab, abba, aa]"
(a|(b*bb))*,(((b*bb*)|a)?)*,"positive example: ['', 'a', 'b', 'ab', 'aa', 'bb', 'ba', 'abab', 'baba']
negative example: ['c', 'ac', 'bc', 'abc', 'bac', 'cab', 'aab', 'aba']"
(a|baa)*,(a)*((b|aa)*a*)*,"positive example: [bab, a, aa, b, aba, baaa, aab, baa, abaa, aaa]
negative example: [bb, ababab, aabba, baaab, babbb, ab, aaba, bbaa, aaabaa, bbb]"
a+b,a+b+,"positive example: [aab, abb, aaabb, aabbb]  
negative example: [abab, b, a, ba, aa, bb]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*aaa*,"positive example:[bbbaaa, babaabaa, abaabaa, baaabaa, baaabaaa],negative example:[ab, bba, aab, bbaa, ba]"
(a|b)(a|b)+aaa+,"(a|b)*(a|b)*a{3,}","Positive example: [aaa, baa, baaabaa, abaa, aabaa, babaaa, abababaaa]
Negative example: [aa, baa, abab, aab, abba, babab, bbb]"
(a*ba*b)*a*ba*,b*((a|b)*(a|b)*)*,"positive example: [b, bb, bbb, ab, ba, bab, baba, abab, bababab]

negative example: [a, aa, aab, baa, aba, bba, abba, aabba, abbab]"
(0|1)(0|1)*,(1|0)*|(0|1)*,"positive example: [""""]
negative example: [""1"", ""0"", ""01"", ""10"", ""110"", ""001"", ""101""]"
(a*ba*b)*a*ba*,(a|ab)*(a|ba)*(b|a)*,"positive example:[bba, ababb, aba]
negative example:[bbb, baa, abc]"
a+b,a*b+,"positive example:[ab, aabb, aabbb], negative example:[baa, abba, b]"
(a|baa)*,(a|b(aa*))*,"positive example: [a, baa, ababaa, baaa, abaa]
negative example: [bb, aab, baaaa, abb, baaab]"
a+b,a*b*,"positive example:[, a, b, aa, bb, aab, abb, aabb, aaa, bbb], negative example:[bab, abba, ba, ababab, baba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*1*,"positive example: [10, 110, 0001, 011, 10101]  
negative example: [01100, 11111, 000, 00110, 100]"
(ab|ba)*,((ab)|(ba))*|(a|b)(a|b)*,"positive example: ["""", ""ab"", ""ba"", ""bba"", ""aab"", ""a"", ""b"", ""abba"", ""abab"", ""baba"", ""bb"", ""aa""],
negative example: [""c"", ""abc"", ""bbbc"", ""aabbc"", ""acb"", ""baaac"", ""bca"", ""abac"", ""cab""]"
(a|(b*bb))*,(a|(b*bb*))*,"positive example: [ε, a, b, ab, aa, bb, aab, abb, baa, bbb, abab, bbaa, aabb]
negative example: [c, ba, abc, bba, aaab, bbba, baaabb, abba]"
(a|(b*bb))*,(ab|ba|b|a)*,"positive example:[, bbaa, ab, ba, abab, b, a, aa, bb], negative example:[c, abc, bac, acb, cab]"
0*10*(10*10*)*,((0|1))*,"positive example: [00, 11, 0101, 1010]
negative example: [2, 012, 1102]"
(a|b)(a|b)+aaa+,(a|b)*(aaa),"positive example:[baaaa, aaa, abaaa], negative example:[bbaaa, aabaa, abba]"
(a|(b*bb))*,(bb)*(a|b)*(bb)*,"positive example:[, ab, bb, abab, bbab, bbb, bbbab, abb, bba],
negative example:[a, b, aab, ba, bab, abbb, bbaaa]"
(ab|ba)*,(a+b|b+a)*,"positive example: [ab, ba, abab, baba, aabb, bbaa, abbaba]
negative example: [a, b, baa, abbb, baaa]"
a+b,(a|b)*(ab),"positive example: [baab, abab, ab, aab, ababab, babaab, abbab], negative example: [baa, bba, aa, a, b, baaabab, bbb]"
(ab|ba)*,(aa|ab|ba|ba)*,"positive example:[, aa, ab, ba, baa, aba, aaab, bababa], negative example:[a, aaa, abab, bbaa]"
a+b,(aa*b)*,"positive example:[, abab, ab, aaab, b, aab, aabab], negative example:[a, bb, ba, baa, aaaa, aba, aa]"
(a|(b*bb))*,(a|((b|bb)+))*|a*,"positive example:[b, ab, a, bb, aab, aa, abb], negative example:[c, ba, bba, ac, baa, aaa]"
0(0|1)*0,0*(0*1*)*0*,"positive example: [0, 00, 011, 100, 101, 00010, 1100, 0011]  
negative example: [11, 10, 111, 010, 110, 1011, 1101, 0002, abcd]"
a+b,(a*)+b,"Positive example: [b, ab, aab, aaab, ...]  
Negative example: [a, aa, aaa, ba, baa, aba, ...]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01)*1*0)*|(1*(10)*0*1)*,"positive example: [010, 00110, 110, 1110, 01110]

negative example: [000, 111, 101, 0101, 1001]"
(0*10*10*)*|0*,0*(0*1+)*0*,"positive example:[, 10100, 1, 001, 110, 0110], negative example:[10, 111, 00110, 1101, 100]"
(a|b)(a|b)+aaa+,(a|b)*(aaa)+,"positive example: [aaa, abaaa, baaa, aaaa, baaabaaa]  
negative example: [a, ab, b, abab, abba, aaab, abaa]"
(a|b)(a|b)+aaa+,(a|b)*(aaa)*,"positive example: [aaa, baaa, aaaa, abaaa, bbaaa]  
negative example: [ab, aab, bab, bbb, bb]"
(ab|ba)*,(bb|aa|(ab|ba)*)*((aa)*|(bb)*|(ab)*|(ba)*)*,"positive example: ["""", ""bb"", ""aa"", ""abab"", ""baba""],
negative example: [""a"", ""b"", ""b"", ""aaa"", ""baa""]"
(ab|ba)*,(ab)*(ab|ba|aa|ab)*,"positive example:[, aaba, abab, abba, abaa, abaabab, ababbaa], negative example:[a, ab, b, ba, aa, bba]"
(a|b)*baa(a|b)*b,([ab]*(baa)*[ab]*)*b,"positive example: [b, baa, abaa, abab, abaabbaa, bbaa, ababb, abb]

negative example: [a, aa, bab, aabb, abbba, ba, abba, bbab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*|1*(0+1+)*,"positive example:[0, 10, 110101, 001010, 01, 1],negative example:[011, 1010, 110, 00011, 1100]"
b*a*,(a|b)*,"positive example:[, a, b, aa, bb, ab, ba, aab, bba], negative example:[c, ac, bc, abc, aac]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa*,"positive example: [baaa, abaabaa, baa, abaaa, babaaa]

negative example: [aaa, aabaa, aa, bba, bbb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|1*(0*1*)*1+|0*(1*0*)*0+,"positive example:[0, 1, 11, 1001, 0010, 1110], negative example:[101, 011, 100, 010]"
(a*ba*b)*a*ba*,b|(b|bbb|bbab|babb|a)*,"positive example:[b, a, bbb, babb, bbab, ba, aba, bab, baa, aab],
negative example:[c, bb, abba, abab, aa]"
001|1010|110,1*0*01*0*,"positive example:[10010, 00100, 1100, 00110],negative example:[01000, 1010, 01110, 000110]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)|0)*|1((00*1)|1)*,"positive example: [0, 000, 1100, 111, 00100, 1, 011, 1001]   
negative example: [01, 101, 010, 10, 1110, 0011]"
0*10*(10*10*)*,((0*)1(0*))+,"positive example: [1, 101, 1001, 110, 11011]  
negative example: [0, 011, 0010, 10, 111]"
b*a*,a+|(a|b)*,"positive example:[a, aa, ab, bb, baa, aab], negative example:[abc, ca, ac, bba, c]"
(a|b)(a|b)+aaa+,b|(a*b*)*aaa,"positive example:[baaaa, b, aaabaaa, aaa, baaab, aaabaaab]
negative example:[a, ab, abab, aab, aa, bb]"
(a*ba*b)*a*ba*,(a*ba*a*)*,"positive example: [ab, aababaa, baba, baa, aabbaa], negative example: [aa, ba, abab, baaab, a]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*,"positive example:[aa, bb, ba, ab, aaaa, bbbb, bababa, ababab, baab, abbaba],
negative example:[a, b, aaa, bba, aaaab, abababa]"
a(a|b)a(a|b)*,(a)(a|b)*,"positive example: [a, aa, ab, aab, aba, aaaa]  
negative example: [b, ba, bb, abb, baa, bbab]"
a+b,(a|b)*b,"positive example: [ab, bb, aab, bab, abab, b]  
negative example: [a, aa, aabb, baaa, aaa]"
(a|b)*baa(a|b)*b,[ab]*[baa][ab]*b,"positive example: [baab, abaab, bbabaaab, baaab, abbab]
negative example: [b, a, baa, ab, aa]"
(a|b)*baa(a|b)*b,(a|ba*)+b,"positive example: [abb, ab, abab, baaab, bab, baab]  
negative example: [b, a, ba, aaa, abaa]"
(ab|ba)*,((ab)|(ba))*((a|b)(a|b))*,"positive example:[, aabb, abba, baab, abab, baba, aabbba, bbaa, ababab, bbaabb],negative example:[a, b, abb, baa, abababa, aab, bab]"
(ab|ba)*,(ab|aa|bb|ba)*(a+b)*,"positive example:[abba, baaa, bbaba, ababba, aabbb], negative example:[b, abbbaa, abbb]"
a+b,a+b*,"positive example: [a, ab, aab, abb, aabb, abbb]  
negative example: [b, ba, bb, baaa, bbb, aba]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b))|((a|b)a*ba))*,"positive example:[, abab, abba, abababba, abbba, abbaaba],  
negative example:[aa, ababab, abbab, bba, aab, bab]"
0*10*(10*10*)*,0*1(11)*(0|1)*,"positive example: [1, 001, 0111, 01011, 00011, 0111110, 0111111, 011001, 111, 0001111]
negative example: [0, 01, 10, 111, 011, 110, 101, 000, 10011, 111111, 10111]"
((a|b)a*ba)*(((a|b)a*b)?),(a?)|((a|b)a*b(a?))*,"positive example: [a, ab, aba, abba, abaa, abbb, aa]
negative example: [b, ba, bb, abaaab, baa]"
b*a*,a(a)*|(ab)*b*a*,"positive example: [a, ababbbaa, ab, aa, abba, abababba, abbba, ab]
negative example: [abc, baa, abababa, bbab, aab, c, abababa]"
(a|baa)*,a*(b+aaa*)*,"positive example: [aa, baabaa, b, baa, aaa, baaab, aabaaa]
negative example: [ab, baab, abb, abab, aaaaab, aabb]"
(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*(aa|bb|ab|ba)*,"positive example: [bbba, aabbaabbab, ababab, babaab, aabbababba, aaabab, abbaaa]

negative example: [b, baa, aaa, bbb, ab, ba, aaaa]"
(a|b)(a|b)+aaa+,(((a|b)+)+)aaa,"positive example: [baaaa, abbaaaa, bbaaaa, ababaaa, abbbaaa]  
negative example: [aa, baa, aaaa, bbb, aba]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(b|ba))*,"positive example:[, ababb, abab, ba, baba, ababba]  
negative example:[a, b, aba, bba, aa, bb]"
(a|(b*bb))*,(a|b|bb)*,"positive example:[, a, b, ab, bb, abb, baa, bbb, abab], negative example:[c, ac, bc, abc, bcb, acc, bbbc]"
(0*10*10*)*|0*,(0*(1+0*1+)*0*)*,"positive example:[111, 000, 1001, 11011, 10110], negative example:[0110, 101, 100, 0011, 010]"
1?(01)*0?,((1)?(0)?)*,"positive example: [0, 1, 01, 10, 1010, 0101, 1100, 1001]
negative example: [00, 11, 001, 011, 111, 000, 101, 0100]"
(ab|ba)*,((ab)*(ba)*)*|abb*a*b*ba,"positive example:[ab, abbba, baab, baba, abbaab]
negative example:[abbaababa, a, aabb]"
a+b,a|b*a*b,"positive example: [a, bbaab, b, baab, bbbaab], negative example: [abab, bab, baa, bbabaa, bbb]"
b*a*,(a|b)*a(a|b)*|b*a*,"positive example:[, bb, abb, bbab, a, ba, aba, baa, abba, baba, aab, bba, aa]
negative example:[b, bbb, abbb, bab, ab, baab, babb, bbba, bbaa]"
(a|(b*bb))*,(a|bb*)*,"positive example:[, a, ab, bb, abb, bbb, abbb], negative example:[b, ba, baa, bbaa]"
(a*ba*b)*a*ba*,(a*)b((a*)|(b+(a*)+b))+(a*),"positive example:[b, ababab, abaab, baaaab, bbbbb], negative example:[aa, baaabba, bbabb, aba, baab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1+)*|(0*1+0+)*,"positive example: [00, 01011, 11, 10, 10100, 010, 101, 01, 000, 111, 10101, 0100, 10110, 0, 1]  
negative example: [0110, 1100, 1101, 0011, 1011, 01001, 11100, 11001, 0010, 1000]"
(ab|ba)*,(ab(ab)*)*((a|b)(a|b))*,"positive example:[, aabb, ababab, abab, abaabb, ababba, baba, ab, ba],  
negative example:[aa, bbb, abaa, abb, baab, babaabb, aab, bbaa]"
(a|b)(a|b)+aaa+,aaa(a)*|(a|b)*baaa(a)*,"positive example:[aaa, aaaaa, babaaa, abbaaa, baaaaa, baaa, bbaaaa, baa, abaaa, aaaa],  
negative example:[a, b, ab, bb, bbaa, aba, baaab, baaaab]"
(a|baa)*,(a|(a*b*(aa)a*)*)*,"positive example: [baa, a, aa, bbbaa, aaa, abbaa, abaa, aba]
negative example: [b, babaa, bbb, ab, baab, babaaabab]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*aaa,"positive example: [aaa, baaa, aaaa, abaaa, bbbaa, baba, baaab, bbbbaaa]  
negative example: [bb, aab, abaa, ba, b, abbb, baa]"
(a|baa)*,a*|(a|b)*aa,"positive example: [aa, a, abaa, baa, aabaa, aba, aaa, abaaaa, aaaa]
negative example: [b, ab, abb, bb, bab, baaab, bbaa, bbb]"
a+b,a|a*b,"positive example:[a, b, ab, aab, aaab]  
negative example:[aa, abb, ba, bb, aaa]"
(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)*,"positive example:[, ab, aba, ababb, babbaa, abbaabaabb]
negative example:[aabaa, aaaa, baa, abbbaa]"
001|1010|110,001|110|10101|1010,"positive example:[10101, 110, 001, 1010], negative example:[0, 111, 11, 10, 000]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)|((a|b)a*b))*,"positive example:[, ababb, abbbababba, abba, bbab, abab, abbb, ababab, ababa]  
negative example:[ba, bab, a, b, aa, bb, baab, abbaab, baabba]"
(a*ba*b)*a*ba*,(a*b+a*)*,"positive example:[, a, b, ab, bab, aa, aab, abb, ababab], negative example:[ba, bb, baab, baa, bba, bbb]"
(a*ba*b)*a*ba*,([ab](a)*(bb)*)*,"positive example: [ab, aba, abb, ababbb, abbaabb]
negative example: [a, b, ba, bbb, aabb]"
/#(/|a|b|##*(a|b))*##*/,/#*(a|b|/|(#*(a|b)))*#*/,"positive example: [//, ///, ////, /a/, /b/, ###///, #/a#/], negative example: [a, b, #/, a//, b/b/]"
(a|b)(a|b)+aaa+,(a|b)+aaa,"positive example: [baaa, abaaa, aaaaa, baaabaaa, babaaaa]

negative example: [aaa, aa, abaa, aab, bba]"
(ab|ba)*,((aa)*|(bb)*)(aa|bb|ab|ba)*,"positive example:[aaaa, bbbb, aaabba, bbabab, ababaa], negative example:[abb, bba, aab, ba]"
(a*ba*b)*a*ba*,(a*|b?)+,"positive example: [a, aa, b, ab, aab, aabb, baa],  
negative example: [bb, aba, bab, c, ac]"
(a|b)(a|b)+aaa+,(a|b)+(aaa)+,"positive example: [aaaa, baaaa, abaaa, bbaaaa, abbaaa]  
negative example: [aaa, bbaaa, aba, bbbaaaa, aabaaa]"
(ab|ba)*,(aa|bb|ab|ba)*,"positive example:[, aaabbabb, bbaa, abab, aabba, bbabab, aaaa, bbbb],
negative example:[a, aaaab, b, abababa, ababa, abbaa, baababa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*)|((0+1*0+)*)|(0|1)*,"positive example: [01, 10, 110, 100, 111, 000, 001, 101, 1, 0, 101010, 1100]
negative example: [11, 0011, 1001, 010010, 11100, 00011, 10001]"
(a*ba*b)*a*ba*,a*b+(a|ba*b)*,"positive example: [ab, bba, aabab, bbbaa, aabb]
negative example: [aa, aaaa, bbbb, abba, ba]"
0(0|1)*0,(0*)(0*1*)*(0*),"positive example: [0, 1, 01, 101, 001, 000, 011, 1010, 000111, 110]
negative example: [111, 100, 010, 10, 1110, 0110, 1101, 1001, 0010, 01]"
(a|baa)*,[a]*[baa]*,"positive example: [, ba, b, baa, a, aaa, aabaa]  
negative example: [abab, baba, bb, ab]"
(a*ba*b)*a*ba*,(((a*)*(b*))*(b*))+b+(((a*)*(b*))*(b*)),"Positive example: [bb, babbb, abb, ababbb]

Negative example: [a, ab, ba, aaa]"
