Attempt Regex,DeepSeek Output
[ab]|[ab]+a{3},"positive example:[a, aaaa, b, baaa, baaaa, bbaaa],negative example:[aaa,baa]"
((a|b)*b?)*,"positive example: [, a, aab, ab, abab, abb, b, bb], negative example: [c, aaac, aba1, bbbx, ab#]"
((a|b)+)aaa,"positive example:[aaaa, aaaaa, baaa],negative example:[aaa]"
(a*b*)*(baa)*(a*b*)b,"positive example: [aabbaaabb, abaaabb, ababb, ababbaaabb, abbaaaabb, abbaaab, abbaaabb, abbaaabbb, abbaabaaabb, abbaabb, abbbaaabb, b, baaabb, bbaaabb], negative example: [aa, aab, aaba, aabba, ab, aba, abaa, abba, abbaa, abbaaa, abbaab, abbab, abbbb, baaa, baba, bba, bbaa, bbaaa, bbaab, bbab, bbb]"
0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*,"positive example: [, 0, 00, 0010, 001010, 0100, 010010, 0101, 01010, 010100, 0101001010, 010110, 0110, 011010, 1, 1001, 100101, 1010, 101001, 10101, 101011, 1010110101, 1011, 101101, 11, 1101, 110101], negative example: [01, 10, 0011, 1100, 01001, 10110, 000111, 111000, 010011, 101100]"
((a|b)+(aaa+)),"positive example:[aaaa, aaaaa, baaa],negative example:[aaa]"
(a|a*)b,"positive example:[aab, ab, b], negative example:[aa, a, ba]"
(((a)|(b))+)+(aaa)+,"positive example:[aaaa, aaaaa, aaaaaaa, baaa],negative example:[a,aaa]"
(a|b)(a|b)+aaa(a|b)*,"positive example: [aaaaa, aaaaaa, aaaaaaa, aaaaab, abaaa, abaaaa, baaaa, baaaaa], negative example: [aa, aab, aba, abab, baa, baba, bb, bbb]"
(a|b)(a|b)*aaa,"positive example: [aaaa, aaaaa, aaaaaa, abaaa, baaa, baaaa], negative example: [a, b, aa, ab, ba, bb, aaa, aba, bba, aab, bab, bbb]"
(a*|(b*b)*)*,"positive example:["""", ""a"", ""aa"", ""b"", ""bb"", ""bbb"", ""bbbb""], negative example:[""ab"", ""ba"", ""aba"", ""bab"", ""aab"", ""bba""]"
(((a|b)a*(b|ba))+)?,"positive example: [, aaab, aab, aaba, aabaab, ab, bab], negative example: [baa, bba, aaa, bbb, abaabba, aabbaa]"
(a|b)|(a|b)*(aaa)a*,"positive example:[a, aaa, aaaa, aaaaa, aaaaaa, b, baaaa],negative example:[aa, ab, ba, bb, aab, aba, abb, baa, bab, bba, bbb]"
[01]*,"positive example:["""", ""0"", ""1"", ""11""], negative example:[""2"", ""a"", ""01a"", ""10b""]"
((a|b)a*ba)*((a|b)a*b)*,"positive example: [, aaabaaab, aab, aaba, aabaaaab, aabaaab, aabaaabaaab, aabaaabaab, aabaab, aababab, abaaab, babaaab], negative example: [aa, ab, ba, bb, aaa, aba, abb, baa, bab, bba, bbb, aaaa, aaab, aaba, aabb, abaa, abab, abba, abbb, baaa, baab, baba, babb, bbaa, bbab, bbba, bbbb]"
(a|b)*aaa(a)*,"positive example:[aaa, aaaa, aaaaa, aaaaaa, baaaa],negative example:[aa, ab, ba, bb, aab]"
(a|b)+(a|b)*aaa*,"positive example:[aaa, aaaa, aaaaa, aaaaaa, abaaa, baa, baaaa], negative example:[a, b, aa, ab, ba, bb, aab, aba, abb, bba, bbb]"
[a]*[b],"positive example:[aab, ab, b], negative example:[aa, a, ba]"
(ab|ba)*(aa|bb)*(ab|ba)*,"positive example: [, aaab, abaa, abaaaaab, abaaab, abaaabab, abaaba, abab, ababaaab, abbbab, baaaab], negative example: [a, b, aba, abb, baa, bab, abba, baab, ababababab, bbbaaa]"
(a*b),"positive example:[aab, ab, b], negative example:[aa, a, ba]"
a*b*baa*b*(a*bb*)*,"positive example:[aabbaababb, abaababb, abbaaababb, abbaaabb, abbaab, abbaabaabb, abbaabab, abbaababb, abbaababbabb, abbaababbb, abbaabbabb, abbaabbb, abbababb, abbbaababb, ba, bbaababb],negative example:[a, b, aa, bb, ab, baab, baba, abab, aabb, bbaa, ababab, bbbaaa, aabbaa, bbaabb, aabab, bbbaa]"
((ab)*(ba)*)*(a|b)?,"positive example:[, a, aba, ababbaa, abba, abbaa, abbaabbaa, abbab, abbabaa, baa],negative example:[abbaaa]"
((a|b)a*b+a*)*,"positive example:[, aaaba, aab, aaba, aabaa, aabaaaba, aabba, aba, baba],negative example:[aaa]"
(0|1)*,"positive example:[, 0, 00, 1], negative example:[2, 01a, a, 10b]"
[ab]*[b][aa][ab]*[b],"positive example:[ababb, bab, babb, bbaab, bbab, bbabb, bbabbb, bbbabb],negative example:[bbbbb]"
"(a|b)(a|b)(a|b)*(a{3,})*","positive example:[aa, aaa, aaaaa, aaaaaa, aaaaaaa, aaaaaaaaa, aabaaa, ab, abaaaa, ba, baaaaa], negative example:[a, b, aba, abab, baba, aab, baa, aabb, bbaa, abba]"
"(a|b|aa|bb|ab|ba)*a{3,}","positive example:[aaa, aaaa, aaaaa, abaaa, baaa, baaaa, bbaaa],negative example:[a, aa, ab, ba, bb, aba, bab, bba, aab, bbb]"
((0|1)*),"positive example:[, 0, 00, 1], negative example:[2, 01a, 10b]"
(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*,"positive example: [, 0, 00, 0010, 01, 010, 0100, 010010, 0110, 1, 10, 1001, 101, 1011, 101101, 11, 1101], negative example: [001, 011, 100, 110, 0101, 1010, 1100, 0011]"
(ab|ba)*(aabb+bbaa+ab+ba)*,"positive example:[, aabbbbaaabba, ab, abaabbbbaaaabba, abaabbbbaaabba, abaabbbbaaabbaaabbbbaaabba, abaabbbbaaabbba, abaabbbbbaaabba, ababaabbbbaaabba, baaabbbbaaabba],negative example:[abaabbbaaabba, abaabbbbaaaba, abaabbbbaabba]"
(a*(b))*,"positive example: [, aab, ab, abab, b], negative example: [aa, ba, bb, aba, aaba]"
(a)+(b)*,"positive example:[a, aab, ab, abb],negative example:[b]"
((01+0)|(10+1)|(0*10*)|(1*01*))*,"positive example:["""", ""00"", ""0010"", ""01"", ""010"", ""0100"", ""010010"", ""0110"", ""10"", ""1001"", ""101"", ""1011"", ""11"", ""1101""], negative example:[""0"", ""1"", ""000"", ""111"", ""011"", ""110"", ""001"", ""100"", ""0101"", ""1010"", ""1100"", ""0011""]"
(0*10*)*,"positive example:[, 0010, 01, 010, 0100, 010010, 10], negative example:[0, 1, 00, 11, 000, 101, 1001]"
1?|0|1+(0*1*)*1+|0+(0*1*)*0+,"positive example:[, 0, 00, 000, 00010, 0010, 00100, 001010, 00110, 010, 1, 10011, 101, 101011, 1011, 10111, 11, 11011, 111],negative example:[001,011]"
(a*b*)+a+a+a,"positive example:[aaa, aaaa, aabaaa, abaaa, abaaaa, ababaaa, abbaaa, baaa],negative example:[abaa]"
(a|b)*aaa,"positive example:[aaa, aaaa, aaaaa, baaa], negative example:[aa, aab, aba, bba, abab]"
a*|((a|b)*bb(a*b*)),"positive example: [, a, aa, aabbab, abba, abbaab, abbab, abbabb, abbb, bb, bbab, bbbab], negative example: [b, ab, aba, abab, abb, abbba, ba, bab, baba, babb, bba]"
(0*1+)*(1*0+)*,"positive example:["""", ""00110"", ""01"", ""010"", ""010110"", ""011"", ""0110"", ""01100"", ""011010"", ""01110"", ""10"", ""110""],  
negative example:[""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""001"", ""100"", ""0101"", ""1010"", ""0111"", ""1100""]"
1*(0|1)*1*|0*(0|1)*0*,"positive example: [, 00, 000, 0000, 01, 010, 10, 1001, 101, 1011, 11, 1101, 111], negative example: []"
(a*(bb)*b*a*)*,"positive example: [, aabbba, aba, abba, abbb, abbba, abbbaa, abbbaabbba, abbbba, abbbbba, bbba], negative example: [abab, aabbaa, baba, aaabbb, ababab, bbaaab, aababba, ababba, bbaabba, aaabab]"
0*(0*1*)*0*,"positive example:["""", ""00"", ""000"", ""00010"", ""001"", ""0010"", ""00100"", ""001010"", ""00110"", ""010""], negative example:[""1"", ""01"", ""011"", ""0110"", ""0111"", ""101"", ""1010"", ""110"", ""1100"", ""111""]"
(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*,"positive example: [, 0, 00, 000, 00100, 010, 0100, 01000, 010100, 011, 01100, 1, 100, 10011, 101, 101011, 1011, 10111, 11, 11011, 111], negative example: [2, 01a, 1010b, 0002, 1c, 0d, e, f11, 1g0, 0h1, 00i]"
(((a|b)a*b)|((a|b)a*ba))*,"positive example: [, aaab, aaaba, aab, aaba, aabaab, ab, aba, bab, baba], negative example: [aa, aaa, ba, bb, baa, bba, abaa, abba, babb, bbbb]"
((aa|bb|ab|ba)?)*,"positive example: [, aa, aaaa, ab, ba, bb], negative example: [a, b, aab, aba, bba, bbb]"
a*b,"positive example:[aab, ab, b], negative example:[aa, ba, a]"
a*b(ba*b+|a*)*,"positive example:[aabbab, ab, aba, abaa, abbaab, abbab, abbabb, abbabbab, abbb, b, bbab],negative example:[abba]"
(a|b)*|(a|bab)*(b|aba)*,"positive example: [, a, aa, aab, aaba, ab, abb, b, babb], negative example: [ba, bb, baba, abaa, abab, abaab, abba, bba]"
1*|0*|1+(0+1+)*|0+(1+0+)*,"positive example: [, 0, 00, 0010, 010, 0100, 01010, 0110, 1, 1001, 101, 10101, 1011, 11, 1101], negative example: [01, 10]"
(a|b)(a|b)*aaa+,"positive example: [aaaa, aaaaa, aaaaaa, abaaa, baaa, baaaa], negative example: [aaa, aaab, baba, abab, bba, aab]"
(a|b)(a|b)*aaa*,"positive example: [aaa, aaaa, aaaaa, aaaaaa, abaaa, baa, baaaa], negative example: [a, b, aa, ab, ba, bb, aab, aba, abb, bba, bbb]"
((a|(bb))*b[a]*)*,"positive example: [, aaba, ab, aba, abaa, abaaba, ba, bbba], negative example: [aab, bb, baaab, abab, baba, aabba, bbbaa]"
(a|b)*(ab|ba|aa|ab)*,"positive example:[, a, aaa, aaab, aab, aabab, ab, aba, bab], negative example:[b, bb, bbb, bbba, baab, abb, baba]"
0|(0|1)*|0,"positive example:[, 0, 00, 1], negative example:[01, 10, 011]"
(ab|ba)*(aa|bb)?,"positive example: [, aa, ab, abaa, ababaa, abbb, baaa], negative example: [abaaaa]"
(a*)b+((a*)|(b(a*)b))+(a*),"positive example:[aabaa, aba, abaa, abaaa, abbaa, abbaaba, abbaba, abbba, b, baa, bbb],negative example:[aaa]"
a*(b(a*ba*b)*)*a*,"positive example: [, aa, aabababa, aba, abaababa, ababaaba, ababab, abababa, abababaa, abababababa, abababbababa, ababba, abbaba, bababa],  
negative example: [b, bb, bbb, ab, aab, ba, baa, abab, abba, baba, bbaa, ababbaa, abbb, bbaab, aabba]"
0*(1+0+)*|1*(0+1+)*,"positive example: [, 0, 00, 0010, 01, 010, 0100, 01010, 0110, 1, 10, 1001, 101, 10101, 1011, 11, 1101], negative example: [2, 012, 102, 1102, 0002, 1112, 0102, 1012, 0012, 0112]"
(1+|0+)*,"positive example:["""", ""0"", ""00"", ""1"", ""11""], negative example:[""01"", ""10"", ""010"", ""101""]"
(a+|b*a*)+,"positive example: [, a, aa, b, ba, baa, bba], negative example: [ab, aba, abb, aab, bab, baba, babb]"
(aa|ab|ba|bb)*,"positive example: [, aa, aaaa, ab, ba, bb], negative example: [a, b, aab, aba, baa, bab, bba, abb]"
(a|(ba*b))*b+a*,"positive example:[aaba, ab, aba, abaa, abba, b, ba, baabba, babba, bbba],negative example:[aa]"
a*b+(bb*|a*)*,"positive example:[aabbb, ab, aba, abaa, abb, abbb, abbbb, abbbbb, b, bbb], negative example:[aa, aaaa, ba, baba, bba, bbba, bbbba, bbbbbba, ababab, aabba]"
(a*|b*)*(a)(a)(a)(a*),"positive example:[aaa, aaaa, aaaaa, aaaaaa, baaaa, bbaaaa], negative example:[aa, a, b, bb, bbb, abaa]"
((b(b*))|a)*,"positive example:["""", ""a"", ""b"", ""bb"", ""bbb"", ""bbbb""], negative example:[""ab"", ""ba"", ""aba"", ""bab"", ""aa"", ""bbab""]"
(a|b)*a*b,"positive example: [aaab, aab, ab, b, bab], negative example: [ba, aaa, bb, aba, bba]"
((a|b)a*ba*)*,"positive example: [, aaaba, aab, aaba, aabaa, aabaaaba, aba, baba], negative example: [abab, bba, aabb, abba, baaa, aaab, bbaa]"
((bb*)*a*)*,"positive example: [, a, ba, bb, bba, bbaa, bbabba, bbba, bbbba], negative example: [ab, aaab, baba, abbb, aabba, baa, abab, bbbab]"
(a|b)(a|b)(a|b)*(aaa)*,"positive example:[aa, aaa, aaaaa, aaaaaa, aaaaaaa, aaaaaaaaa, aabaaa, ab, abaaaa, ba, baaaaa], negative example:[a, b, aaaa, baaa, abab, baba, aaab, bbaa, abba, bbba]"
a+b*a*|b*a*,"positive example:[, a, aa, aaba, ab, aba, abaa, abba, b, ba, baa, bba], negative example:[abab, bb, aab, baaa, abb, aabb, baba, aaab]"
(a|b(bb)*)*,"positive example: [, a, aa, b, bbb, bbbbb], negative example: [ab, ba, bb, bbba, abbb, aab]"
(a*ba*b*)*,"positive example: [, aabab, aba, abaab, abab, abababab, ababb, abb, bab], negative example: [aa, aaa, b, ba, baa, bb, bba]"
(ab|ba)*(aa|bb)*,"positive example: [, aa, ab, abaa, abaaaa, ababaa, abbb, baaa], negative example: [a, b, aba, abb, baa, bab, bba, bbba]"
(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1),"positive example:[00, 000, 0000, 0001, 001, 0010, 0011, 01, 010, 011, 0110, 0111, 10, 100, 1000, 1001, 101, 11, 110, 1100, 1101, 111, 1110, 1111], negative example:[0,1]"
(b(b*)|a)*,"positive example:["""", ""a"", ""b"", ""bb"", ""bbb"", ""bbbb""], negative example:[""ab"", ""ba"", ""aba"", ""bab"", ""aaab"", ""bbba""]"
(a*|(b*bb*)*)*,"positive example: [, a, aa, bb, bbb, bbbb, bbbbbb], negative example: [ab, ba, aab, bba, baba, abab]"
(1*0*1*)*(0*1*0*)*,"positive example:["""", ""010"", ""01010"", ""10010"", ""1001010"", ""101"", ""10100"", ""1010010"", ""10101"", ""101010"", ""1010100"", ""101010010"", ""1010110"", ""10110"", ""1011010"", ""101101010"", ""11010"", ""1101010""], negative example:[""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""0011"", ""1100"", ""0110"", ""1001"", ""000111"", ""111000"", ""010101"", ""1010101"", ""0101010"", ""10101010""]"
(1*0*1*)+(0*1*0*),"positive example:["""", ""010"", ""01010"", ""10010"", ""1001010"", ""10100"", ""1010010"", ""10101"", ""101010"", ""1010100"", ""1010110"", ""10110"", ""1011010"", ""101101010"", ""11010"", ""1101010""],  
negative example:[""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""001"", ""011"", ""100"", ""110"", ""0011"", ""0110"", ""1001"", ""1100"", ""000111"", ""111000""]"
(a)*(b|aa|a*)*,"positive example: [, a, aa, aaa, aab, ab, abb, b], negative example: [ba, aba, bba, aaba]"
(a|b)*,"positive example:[, a, aa, b], negative example:[ab, ba, aab, bba]"
((a|b)(a|b))*,"positive example: [, aa, aaaa, ab, ba], negative example: [a, b, aab, aba, bbb]"
[ab]*[a][b][ab]*,"positive example:[aabb, ab, abb, bab, baba, babb, babbb, bbabb],negative example:[aa, bb, bba, aaa, bbbb, ababab, bbbaa, aabba]"
(a|b|bb)+,"positive example:[a, aa, b, bb, ab, abb, bba, bbb], negative example:[c, ac, bc, abc, aab, bab, bbc, abbc]"
(0|1)*(0|1)*(0|1)*,"positive example:["""", ""00"", ""000"", ""0000"", ""001"", ""010"", ""100""], negative example:[]"
a(a|b)+a(a|b)*,"positive example: [aaa, aaaa, aaaaa, aaab, aba, abaa], negative example: [a, b, aa, ab, ba, bb, aab, abb, baa, bab]"
(bab)*(a|b)*(bab)*,"positive example:[, abab, baba, babaabab, bababab, babababbab, babbab, babbababab, babbbab],negative example:[a, b, aa, bb, abba, baab, ababab, bbbaaa, abababa]"
(((b*bb*)|a)?)*,"positive example: [, a, bb, bbb, bbbb, bbbbbb], negative example: [b, ab, ba, bba, aba, baba]"
(a)*((b|aa)*a*)*,"positive example: [, a, aa, aaaa, aaba, ab, aba, abaa, ababa, abba, ba], negative example: [b, bb, aab, aabab, baaa, baba, babb, bba, bbb]"
a+b+,"positive example:[aab, ab, abb],negative example:[a,b]"
(a|b)(a|b)(a|b)*aaa*,"positive example:[aaaa, aaaaa, aaaaaa, aaaaaaa, aabaaa, abaa, abaaaa, baaa, baaaaa],negative example:[a, b, aa, ab, ba, bb, aab, aba, abb, baa, bab, bba, bbb, aaba, abab, abba, babb, bbba, bbbb]"
"(a|b)*(a|b)*a{3,}","positive example:[aaa, aaaa, aaaaa, aaaaaa, abaaa, baaaa],negative example:[a, aa, ab, ba, bb, aba]"
b*((a|b)*(a|b)*)*,"positive example: [, aa, b, ba, baa, baaa, baaaa, bab, bba, bbaa], negative example: []"
(1|0)*|(0|1)*,"positive example:[, 0, 00, 1, 11], negative example:[]"
(a|ab)*(a|ba)*(b|a)*,"positive example: [, aa, aaa, aaab, aab, aabb, ab, abab], negative example: [baa, baba, bb, bba, bab, baaa, aaba, abaab]"
a*b+,"positive example:[aab, ab, abb, b],negative example:[a]"
(a|b(aa*))*,"positive example:[, a, aa, ba, baa, baaa], negative example:[b, ab, bb, aab, bab]"
a*b*,"positive example:[, a, aab, ab, abb, b], negative example:[ba, aba, bab, aabba, bbaa]"
0*(1+0+)*1*,"positive example: [, 001, 00101, 01, 010, 01001, 0101, 010101, 01011, 011, 01101, 101], negative example: [0, 00, 000, 1, 11, 111, 10, 100, 1000, 110, 1100, 1010]"
((ab)|(ba))*|(a|b)(a|b)*,"positive example:["""", ""a"", ""aa"", ""aaa"", ""ab"", ""abab"", ""b"", ""ba""], negative example:[""aba"", ""abb"", ""baa"", ""bab"", ""aab"", ""bba""]"
(a|(b*bb*))*,"positive example: [, a, aa, bb, bbb, bbbb], negative example: [b, ab, ba, aba, bba]"
(ab|ba|b|a)*,"positive example: [, a, ab, abab, b, ba], negative example: [aa, bb, aba, bab, abba, baba]"
((0|1))*,"positive example:[, 0, 00, 1], negative example:[]"
(a|b)*(aaa),"positive example:[aaa, aaaa, aaaaa, baaa], negative example:[aa, ab, ba, bb]"
(bb)*(a|b)*(bb)*,"positive example: [, abb, bba, bbaabb, bbabb, bbabbbb, bbbb, bbbbabb, bbbbb], negative example: [a, b, ab, ba, aa, bab, aba, aab, baa]"
(a+b|b+a)*,"positive example:[, aab, ab, abab, ba, bba],negative example:[a, b]"
(a|b)*(ab),"positive example: [aaab, aab, ab, bab], negative example: [a, b, ba, bba]"
(aa|ab|ba|ba)*,"positive example:[, aa, aaaa, ab, ba], negative example:[a, b, bb, aab, aba]"
(aa*b)*,"positive example: [, aaab, aab, aabaab, ab], negative example: [b, ba, aaaab, aabaa, bb]"
(a|((b|bb)+))*|a*,"positive example: ["""", ""a"", ""aa"", ""b"", ""bb""], negative example: [""c"", ""ab"", ""ba"", ""bbb"", ""aba""]"
0*(0*1*)*0*,"positive example:[, 00, 000, 00010, 001, 0010, 00100, 001010, 00110, 010], negative example:[1, 01, 011, 0110, 0111, 101, 110, 111]"
(a*)+b,"positive example:[aab, ab, b], negative example:[aa, a, ba]"
(0*(01)*1*0)*|(1*(10)*0*1)*,"positive example:["""", ""000110"", ""0010"", ""0010110"", ""00110"", ""0011000110"", ""001110"", ""010"", ""0110"", ""1001"", ""101"", ""110001"", ""11001"", ""1100111001"", ""1101"", ""1101001"", ""111001""],  
negative example:[""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""0101"", ""1010"", ""0011"", ""1100"", ""000111"", ""111000"", ""01010"", ""10101"", ""001100"", ""110011""]"
0*(0*1+)*0*,"positive example: [, 00, 000, 00010, 001, 0010, 00100, 001010, 00110, 010], negative example: [1, 01, 011, 0110, 0111, 101, 110, 111]"
(a|b)*(aaa)+,"positive example:[aaa, aaaa, aaaaa, aaaaaaa, baaa],negative example:[a]"
(a|b)*(aaa)*,"positive example:[, a, aaa, aaaa, aaaaa, aaaaaaa, baaa], negative example:[aa, ab, aba, baa, bba, bbb]"
(bb|aa|(ab|ba)*)*((aa)*|(bb)*|(ab)*|(ba)*)*,"positive example: [, aa, aaaa, abaa, ababaa, baaa, bb, bbaa, bbaaaa, bbab, bbabab, bbba, bbbaba, bbbb, bbbbaa, bbbbbb], negative example: [a, b, aba, abb, bab, baaab, abba, babaab, ababba, bbbaaab]"
(ab)*(ab|ba|aa|ab)*,"positive example: [, ab, abaa, abab, ababab, abba], negative example: [b, a, baab, baba, bba, aabba]"
([ab]*(baa)*[ab]*)*b,"positive example:[abaabb, b, baabb, bbaaab, bbaab, bbaabaabb, bbaabb, bbaabbb, bbaabbbaabb, bbb, bbbaabb],negative example:[a, aa, ab, aba, abaa, abab, abb, abba, ba, baaa, bab]"
0*(1+0+)*|1*(0+1+)*,"positive example: [, 0, 00, 0010, 01, 010, 0100, 01010, 0110, 1, 10, 1001, 101, 10101, 1011, 11, 1101], negative example: [2, 012, 102, 021, 120, 0002, 1112, 0102, 1012, 0012, 1102]"
(a|b)*,"positive example:[, a, aa, b, ab, ba, aab, bba, aabb, baba],negative example:[c, ac, bc, abc, aac, bbca, 1, @, a1b]"
(a|b)(a|b)+aaa*,"positive example: [aaaa, aaaaa, aaaaaa, abaa, abaaa, baaa, baaaa], negative example: [a, b, aa, ab, ba, bb, aaa, aba, abb, baa, bab, bba, bbb]"
0*|1*|1*(0*1*)*1+|0*(1*0*)*0+,"positive example:["""", ""0"", ""00"", ""000"", ""00100"", ""010"", ""0100"", ""01000"", ""010100"", ""011"", ""01100"", ""1"", ""100"", ""10011"", ""101"", ""101011"", ""1011"", ""10111"", ""11"", ""11011"", ""111""],  
negative example:[""01"", ""001"", ""0001"", ""10"", ""110"", ""1110"", ""0101"", ""0110"", ""1010"", ""1100""]"
b|(b|bbb|bbab|babb|a)*,"positive example:[, a, b, babb, bb, bbab, bbb], negative example:[ba, ab, aba, bba, aa, bab, bbba]"
1*0*01*0*,"positive example:[0, 0010, 1000, 100010, 1001, 10010, 100100, 100110, 1010, 110010],negative example:[1, 00, 11, 010, 101, 1100, 0110, 0001, 1110, 0101]"
0*|0((11*0)|0)*|1((00*1)|1)*,"positive example: [, 0, 00, 010, 0110, 0110110, 01110, 1, 10001, 1001, 1001001, 101, 11], negative example: [01, 10, 001, 110, 0001, 1110, 0101, 1010]"
((0*)1(0*))+,"positive example:[0010, 01, 010, 0100, 010010, 1, 10], negative example:[0, 00, 000, 11, 101, 110, 0011]"
a+|(a|b)*,"positive example:["""", ""a"", ""aa"", ""b""], negative example:[""ab"", ""ba"", ""aba"", ""aab""]"
b|(a*b*)*aaa,"positive example: [aaa, aaaa, aabaaa, abaaa, ababaaa, abbaaa, b, baaa], negative example: [aa, ab, aab, abb, ba, bba, bab, aabba]"
(a*ba*a*)*,"positive example:[, aabaa, aba, abaa, abaaa, abaaabaa, baa], negative example:[a, aa, aaa, ab, aaba, baba, bb]"
((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*,"positive example: [, aa, aaaa, aaaaaa, aabb, aabbbb, ab, abab, ba, baab, baabab, baba, bbaa, bbbbaa], negative example: [a, b, aba, bab, aab, bba, aaab, bbba, abba, baabba]"
(a)(a|b)*,"positive example:[a, aa, aaa, ab], negative example:[b, ba, bb, aba]"
(a|b)*b,"positive example: [aab, ab, b, bb], negative example: [aaa, aba, a, baab]"
[ab]*[baa][ab]*b,"positive example: [aabb, ab, abb, baab, bab, babb, babbb, bbabb, bbbb], negative example: [a, b, aa, ba, bba, baaa, abba, abab, baba]"
(a|ba*)+b,"positive example:[aab, ab, baab, bab, bb],negative example:[b]"
((ab)|(ba))*((a|b)(a|b))*,"positive example:[, aa, ab, abaa, abaaaa, abab, ababaa, abba, baaa], negative example:[a, b, aba, abb, baaab, baba, bba, bbb]"
(ab|aa|bb|ba)*(a+b)*,"positive example:[, aaab, ab, abaab, abab, ababab, baab, bbab],negative example:[abb]"
a+b*,"positive example:[a, aab, ab, abb],negative example:[b]"
((((a|b)a*b))|((a|b)a*ba))*,"positive example: [, aaab, aaaba, aab, aaba, aabaab, ab, aba, bab, baba], negative example: [baa, baaa, baaab, bb, bba, bbaa, bbb, abaa, abaaa, abba]"
0*1(11)*(0|1)*,"positive example:[001110, 010, 0111, 01110, 011100, 01111, 0111110, 1, 1110],negative example:[000, 111, 0110, 1010, 1100, 00100, 0100, 1001]"
(a?)|((a|b)a*b(a?))*,"positive example:[, a, aaaba, aab, aaba, aabaaaba, aba, baba],negative example:[aa, aabaa]"
a(a)*|(ab)*b*a*,"positive example: [, a, aa, aaa, aba, ababba, abb, abba, abbaa, abbba, ba], negative example: [b, bb, bbb, abab, ababab, abababa, abababab, aab, aaba, aabaa, aabab]"
a*(b+aaa*)*,"positive example: [, a, aaaa, aabaaa, abaa, abaaa, abaaaa, abaaabaaa, abbaaa, baaa], negative example: [ab, aaba, abaab, abab, baba, aaab, aabab, ababaa, baaab, ababaaa]"
(bb|aa|aabb|abab|abba|baba|bbaa|baab)*(aa|bb|ab|ba)*,"positive example: [, aa, aaaa, aabbaa, ababaa, abbaaa, baabaa, babaaa, bb, bbaa, bbaaaa, bbab, bbba, bbbb, bbbbaa], negative example: [a, b, aba, abb, baa, bbb, aab, bba, abbb, baaa, aaba, abaaa, babb, bbaab]"
(((a|b)+)+)aaa,"positive example:[aaaa, aaaaa, baaa],negative example:[aaa]"
((a|b)a*(b|ba))*,"positive example: [, aaab, aab, aaba, aabaab, ab, bab], negative example: [baa, bba, aaa, baba, abab, baaa]"
(a|b|bb)*,"positive example: [, a, aa, b, bb], negative example: [ab, ba, aab, bba, abb]"
(0*(1+0*1+)*0*)*,"positive example: [, 00, 001010, 010010, 0101, 01010, 010100, 0101001010, 010110, 01011010, 0110, 011010, 1010], negative example: [0010, 0100]"
((1)?(0)?)*,"positive example:["""", ""0"", ""1"", ""10"", ""100"", ""1010"", ""110""],negative example:[""01"", ""011"", ""001"", ""0101"", ""1100""]"
((ab)*(ba)*)*|abb*a*b*ba,"positive example:[, ab, ababba, abba, abbaabba, abbaba, abbabba, abbabbba, abbbabba, abbbba, ba],negative example:[a, b, aa, bb, aba, bab, baa, aab, bbb, aabb, ababab, babaab, abababa, bbbaaa, abababab]"
a|b*a*b,"positive example:[a, ab, b, baab, bab, bb, bbab],negative example:[aa, aba, abb, bba, bbba, aaa, bbbb]"
(a|b)*a(a|b)*|b*a*,"positive example: [, a, aa, aaa, aaaa, aab, b, ba, baa, bba], negative example: [ab, aba, abb, abaa, abab, abba, abbb, baba, babb, bbba]"
(a|bb*)*,"positive example:[, a, aa, b, bb, bbb], negative example:[ab, ba, aba, bab, bba]"
(a*)b((a*)|(b+(a*)+b))+(a*),"positive example:[aabaa, aba, abaa, abaaa, abbaaba, abbaba, abbba, abbbaba, b, baa, bbb],negative example:[ababa]"
0*|1*|(1*0+1+)*|(0*1+0+)*,"positive example:["""", ""0"", ""00"", ""0010"", ""01"", ""010"", ""0100"", ""010010"", ""0110"", ""1"", ""10"", ""1001"", ""101"", ""1011"", ""101101"", ""11"", ""1101""],  
negative example:[""001"", ""0101"", ""011"", ""100"", ""1010"", ""110"", ""1100"", ""111""]"
(ab(ab)*)*((a|b)(a|b))*,"positive example: [, aa, abaa, abab, ababaa, ababaaaa, ababab, abababaa, ababababaa, ababba],  
negative example: [a, b, aba, abb, baa, bab, bba, bbb, aab, aaaaab]"
aaa(a)*|(a|b)*baaa(a)*,"positive example: [aaa, aaaa, aaaaa, aabaaaa, abaaa, abaaaa, abaaaaa, baaa, baaaa, bbaaaa], negative example: [aa, aab, aba, abb, ba, bab, bba, bbb, aabaa, aabbaa]"
