Regex,Attempt Regex,ChatGPT Output
(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*,"positive example:[baa, aaa], negative example:[aa]"
a+b,[a]*[b],"positive example:[aab, b], negative example:[aa, abba]"
(ab|ba)*,(ab|ba)*(aa|bb)*(ab|ba)*,"positive example:[, abbaaabbabba], negative example:[aaabaaab]"
a+b,(a*b),"positive example:[aab, b], negative example:[aa, abba]"
(a|b)*baa(a|b)*b,a*b*baa*b*(a*bb*)*,"positive example: [abababab, baaa, aabbba], negative example: [bbab, aabab, bbaa]"
(ab|ba)*,((ab)*(ba)*)*(a|b)?,"positive example:[baabb, ab, a],negative example:[aa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b+a*)*,"positive example:[, bbab, ab],negative example:[a]"
1*(01*01*01*01*)*,(0|1)*,"positive example:["""", ""0"", ""1"", ""01""], negative example:[""2"", ""a"", ""10a"", ""0012""]"
(a|b)*baa(a|b)*b,[ab]*[b][aa][ab]*[b],"positive example:[babbb, bab, abbaabb],negative example:[abb]"
(a|b)(a|b)+aaa+,"(a|b)(a|b)(a|b)*(a{3,})*","positive example: [bab, abab, aa], negative example: [a, b, abba]"
(a|b)(a|b)+aaa+,"(a|b|aa|bb|ab|ba)*a{3,}","positive example:[aaa, baaa, aabaaa],negative example:[aa]"
0*10*(10*10*)*,((0|1)*),"positive example:[, 10, 01], negative example:[]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*,"positive example: ["""", ""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""000"", ""111"", ""010"", ""101"", ""0011"", ""1100"", ""0110"", ""1001""], negative example: [""2"", ""a"", ""0012"", ""11a"", ""0b1"", ""abc"", ""123"", ""01a0"", ""1b1"", ""0c0""]"
(ab|ba)*,(ab|ba)*(aabb+bbaa+ab+ba)*,"positive example:[aabbbbaaabbaaabbbbaaabba, baab, abbaaabbbbaaabba], negative example:[aabbbbaabba]"
a+b,(a*(b))*,"positive example: ["""", ""bb"", ""b""], negative example: [""a"", ""ab"", ""ba""]"
a+b,(a)+(b)*,"positive example:[aa, abb, a, ab, aab], negative example:[b, bb, ba, aba, baa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1)|(0*10*)|(1*01*))*,"positive example:[0, 11, """"], negative example:[1, 00, 010]"
0*10*(10*10*)*,(0*10*)*,"positive example:[, 11, 010], negative example:[0]"
(0(0*|1+0)*)|(1(1*|0+1)*),1?|0|1+(0*1*)*1+|0+(0*1*)*0+,"positive example:[0, , 01010, 10101, 1], negative example:[01,10]"
(a|b)(a|b)+aaa+,(a*b*)+a+a+a,"positive example: [babaaa], negative example: [aa]"
(a|b)(a|b)+aaa+,(a|b)*aaa,"positive example:[baaaa, aaa, abaaa], negative example:[aa, aba, bba]"
(a|(b*bb))*,a*|((a|b)*bb(a*b*)),"positive example: [, bb, aa, abbbab, babbaa], negative example: [b]"
(0|1)(0|1)*,(0*1+)*(1*0+)*,"positive example:["""", ""101"", ""01"", ""1"", ""10"", ""110"", ""001"", ""1110"", ""0001"", ""111""],  
negative example:[""2"", ""a"", ""0112"", ""1a0"", ""01a"", ""1102"", ""001a"", ""11102"", ""0001a""]"
(0(0*|1+0)*)|(1(1*|0+1)*),1*(0|1)*1*|0*(0|1)*0*,"positive example: [""1"", ""0"", ""11"", ""00"", ""101"", ""010"", ""1110"", ""0001"", ""11011"", ""00000"", ""111111"", ""000000"", ""101010"", ""010101"", """"], negative example: [""2"", ""a"", ""10a"", ""01b"", ""1112"", ""000a"", ""abc"", ""123"", ""1a0"", ""0b1""]"
(a|(b*bb))*,(a*(bb)*b*a*)*,"positive example:[bab, b, a, aa, bb, abba, aabbaa, bba, ab, baa], negative example:[aba, abb, bbb, aab, baba, aaabbb]"
(0*10*10*)*|0*,0*(0*1*)*0*,"positive example:[101, 1, 0, 00, 000, 01, 001, 10, 100, 0000, 010, 1000, 00000, 0010, 0100, 10000],  
negative example:[2, 11, 011, 110, 111, 0110, 1010, 1100, 1111, 01110, 10101, 11000, 11110]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*,"positive example:[, 10], negative example:[01, 001, 110]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba))*,"positive example:[, ababb, abbbababba], negative example:[abbabb]"
(ab|ba)*,((aa|bb|ab|ba)?)*,"positive example:[aaabbabb], negative example:[a]"
a+b,a*b,"positive example:[aab, ab, b], negative example:[aa, a, ba]"
(a*ba*b)*a*ba*,a*b(ba*b+|a*)*,"positive example:[aababab, b], negative example:[bb]"
(a|b)*(bab)(a|b)*,(a|b)*|(a|bab)*(b|aba)*,"positive example:[ba, abaa], negative example:[abb, baba]"
(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0+1+)*|0+(1+0+)*,"positive example: [01010, 10101, 010, 101], negative example: [01, 10]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa+,"positive example:[baaa, aabaaa], negative example:[aaa]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa*,"positive example:[baa, ababaa, babaa],negative example:[a]"
(a*ba*b)*a*ba*,((a|(bb))*b[a]*)*,"positive example:[, bab, aba], negative example:[bb, aab, bba]"
(ab|ba)*,(a|b)*(ab|ba|aa|ab)*,"positive example: [, abb],  
negative example: [baa, bba]"
0(0|1)*0,0|(0|1)*|0,"positive example:[, 10, 01], negative example:[0, 00, 000]"
(ab|ba)*,(ab|ba)*(aa|bb)?,"positive example:[ab, bb, abbaaa],negative example:[aaaa, a]"
(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))+(a*),"positive example: [babb, aababb], negative example: [bab]"
(a*ba*b)*a*ba*,a*(b(a*ba*b)*)*a*,"positive example:[, aababbbaa], negative example:[baba]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*(1+0+)*|1*(0+1+)*,"positive example:[00, 0, 110101, 1010, 1, 01], negative example:[0110, 010, 1001, 0011, 1100, 101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+|0+)*,"positive example:[, 10, 1, 0, 11, 00, 110, 001, 1010, 111000], negative example:[01, 1001, 0110, 101, 010, 110011, 0011, 1100]"
b*a*,(a+|b*a*)+,"positive example: [a, aa, b, bb, ab, ba, aab, baa, bba, abab], negative example: [c, ac, bc, abc, aabbc, xyz, 123, @#$, abcd, a1b2]"
(ab|ba)*,(aa|ab|ba|bb)*,"positive example:[, aaabbabb], negative example:[a]"
(a*ba*b)*a*ba*,(a|(ba*b))*b+a*,"positive example:[baa, ababba, b],negative example:[bab]"
(a*ba*b)*a*ba*,a*b+(bb*|a*)*,"positive example: [bab, aabab], negative example: [baa, abba]"
(a|b)(a|b)+aaa+,(a*|b*)*(a)(a)(a)(a*),"positive example: [""abaaa"", ""aaaa"", ""baaaa"", ""aa"", ""aaa""], negative example: [""ab"", ""ba"", ""bb"", ""aab"", ""bba""]"
(a|(b*bb))*,((b(b*))|a)*,"positive example:[ba, , a, b, bba, aa, ab, bbb], negative example:[c, bbac, abbaa, xyz, a1b]"
a+b,(a|b)*a*b,"positive example:[abb, b], negative example:[aa, abba]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba*)*,"positive example:[, ababb],negative example:[a]"
(a|(b*bb))*,((bb*)*a*)*,"positive example: ["""", ""a"", ""b"", ""bb"", ""aa"", ""ab"", ""bba"", ""bbba"", ""bbaa"", ""bbbaa""], negative example: [""ba"", ""baa"", ""bab"", ""bbab"", ""bbbaaaab""]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa)*,"positive example:[baba, abab, aa],negative example:[a, b, abba]"
b*a*,a+b*a*|b*a*,"positive example:[, bbaa, aabbaa, ab], negative example:[baba]"
(a*ba*b)*a*ba*,(a|b(bb)*)*,"positive example:[, ba, ab], negative example:[bbb, aab, bba]"
(a*ba*b)*a*ba*,(a*ba*b*)*,"positive example:[, bba, aba], negative example:[a]"
(ab|ba)*,(ab|ba)*(aa|bb)*,"positive example:[abbabbaa, ], negative example:[aaabaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1),"positive example:[101, 0110, 00, 10, 011, 1000, 0010, 01, 11, 1100, 11001, 00111],negative example:[1,1010,0,0101]"
(a|(b*bb))*,(b(b*)|a)*,"positive example:[ba, , aa], negative example:[bbba, abbb, baba]"
(a|(b*bb))*,(a*|(b*bb*)*)*,"positive example: ["""", ""a"", ""aa"", ""b"", ""bb"", ""bbb"", ""ab"", ""aab"", ""abb"", ""aabb"", ""ba"", ""bba"", ""bbba"", ""abab"", ""bbbb""], negative example: [""aba"", ""aaba"", ""abaa"", ""baa"", ""bab"", ""baba"", ""abbaa"", ""ababab""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)*(0*1*0*)*,"positive example: ["""", ""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""010"", ""101"", ""000111"", ""111000"", ""010101"", ""101010"", ""001100"", ""110011""], negative example: [""2"", ""a"", ""0112"", ""100a"", ""01a0"", ""10b1"", ""0011a"", ""1100b"", ""010x"", ""101y""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)+(0*1*0*),"positive example:[, 010101], negative example:[0, 1, 010, 101, 0011, 1100]"
(a|baa)*,(a)*(b|aa|a*)*,"positive example:[ba, , a, aa, b, aaa, ab, aab, baa, aaaa], negative example:[bb, aba, bba, aaba, abaa]"
a+b,(a|b)*,"positive example:[, a, b, aa, ab, ba, bb, aab, aba, bba], negative example:[c, ac, bc, abc, aac, bbc]"
(ab|ba)*,((a|b)(a|b))*,"positive example:[, aa, ab, ba, bb, aabb, abab, baba, bbaa], negative example:[a, b, aaa, aba, abb, baa, bab, bbb, aab, bba]"
a+b,[ab]*[a][b][ab]*,"positive example:[aaab, baabba, ab],negative example:[ba]"
(a*ba*b)*a*ba*,(a|b|bb)+,"positive example:[b, ab, a, bb, bba, abab], negative example:[c, aaab, bbb, x, baab, abba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)*(0|1)*(0|1)*,"positive example:[""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111""], negative example:[]"
a(a|b)a(a|b)*,a(a|b)+a(a|b)*,"positive example:[aaabb, aabab, aba],negative example:[aa]"
(a|b)*(bab)(a|b)*,(bab)*(a|b)*(bab)*,"positive example:["""", ""ab"", ""bab"", ""baba"", ""babab"", ""abab"", ""bababab"", ""a"", ""b"", ""aa"", ""bb"", ""ababab""], negative example:[""ba"", ""bba"", ""abba"", ""babba"", ""ababba"", ""babaab""]"
(a|(b*bb))*,(((b*bb*)|a)?)*,"positive example: ["""", ""a"", ""b"", ""bb"", ""ab"", ""ba"", ""aab"", ""bba"", ""bbb"", ""abab""], negative example: [""aa"", ""aaa"", ""aba"", ""abb"", ""baa"", ""bab"", ""baba"", ""bbaa"", ""abba"", ""abbb""]"
(a|baa)*,(a)*((b|aa)*a*)*,"positive example: [""a"", ""aa"", ""b"", ""ab"", ""ba"", ""aaa"", ""bab"", ""aab"", ""baa"", ""aaab""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bac"", ""abaac"", ""bbac"", ""aabbc"", ""ababac""]"
a+b,a+b+,"positive example:[ab, aab, aaab, aabb, aabbb], negative example:[abab, b, a, ba, baa]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*aaa*,"positive example:[bbbbaa, aaabaa, aaaa], negative example:[aa]"
(a|b)(a|b)+aaa+,"(a|b)*(a|b)*a{3,}","positive example:[aaa, aaaa, bbbaaa, ababaabaa], negative example:[aa, a, b, abab]"
(a*ba*b)*a*ba*,b*((a|b)*(a|b)*)*,"positive example: ["""", ""b"", ""bb"", ""a"", ""ab"", ""ba"", ""aa"", ""bbb"", ""aba"", ""aab"", ""bba"", ""bab"", ""abb"", ""aaa""], negative example: [""c"", ""bc"", ""abc"", ""bac"", ""aac"", ""ca"", ""cb"", ""cc"", ""bca"", ""acb""]"
(0|1)(0|1)*,(1|0)*|(0|1)*,"positive example: ["""", ""0"", ""1"", ""01"", ""10"", ""000"", ""111"", ""0101"", ""1010""], negative example: [""2"", ""a"", ""01a"", ""10b"", ""0012""]"
(a*ba*b)*a*ba*,(a|ab)*(a|ba)*(b|a)*,"positive example:[, bba, a, ab, aba, aa, abba, b, aab, baa], negative example:[abb, baba, abab, bbaba, aabb, baab]"
a+b,a*b+,"positive example:[bb, aab], negative example:[,bab]"
(a|baa)*,(a|b(aa*))*,"positive example:[, aba], negative example:[b]"
a+b,a*b*,"positive example:[, a, aa, b, bb, aab, abb, aabb],negative example:[bab, aba, ba, bbaa, abab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*1*,"positive example:[0, 1001011, 0010], negative example:[1, 000, 101010]"
(ab|ba)*,((ab)|(ba))*|(a|b)(a|b)*,"positive example: [, bba, aab, a], negative example: [aaab, babaab, abababa, bbaba]"
(a|(b*bb))*,(a|(b*bb*))*,"positive example:[, a, b, bb, ab, aab, bbb, abbb, bba], negative example:[ba, aba, baba, aaab, bbbba]"
(a|(b*bb))*,(ab|ba|b|a)*,"positive example: [, bbaa], negative example: []"
0*10*(10*10*)*,((0|1))*,"positive example:[, 10, 01], negative example:[2, 11a, 001b]"
(a|b)(a|b)+aaa+,(a|b)*(aaa),"positive example:[baaaa, aaa, abaaa], negative example:[aa, abaa, bba]"
(a|(b*bb))*,(bb)*(a|b)*(bb)*,"positive example:[, ab, bba, bbbb, abbb, bbab], negative example:[a, b, aa, aba, baba]"
(ab|ba)*,(a+b|b+a)*,"positive example:[, baab], negative example:[baa]"
a+b,(a|b)*(ab),"positive example:[baab, abab, ab], negative example:[a, b, aa, bb, bba]"
(ab|ba)*,(aa|ab|ba|ba)*,"positive example:[, aaab], negative example:[a]"
a+b,(aa*b)*,"positive example:[, abab, ab], negative example:[a, b, aa, aba]"
(a|(b*bb))*,(a|((b|bb)+))*|a*,"positive example: [b, ab, a, bb, bbb, aaa, abbb, baba], negative example: [c, ba, aab, bba, abab, baaa]"
0(0|1)*0,0*(0*1*)*0*,"positive example: [""101"", ""000"", ""001100"", ""111"", ""0"", ""00"", ""000111000""], negative example: [""2"", ""01a"", ""1102"", "" "", ""a"", ""b01""]"
a+b,(a*)+b,"positive example:[""b"", ""ab"", ""aab"", ""aaab"", ""aaaaab""], negative example:[""a"", ""ba"", ""aba"", ""aaba"", ""aaa""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01)*1*0)*|(1*(10)*0*1)*,"positive example: [10, 011, 100], negative example: [0, 1, 001]"
(0*10*10*)*|0*,0*(0*1+)*0*,"positive example:["""", ""10100"", ""1""], negative example:[""2"", ""01a"", ""1102""]"
(a|b)(a|b)+aaa+,(a|b)*(aaa)+,"positive example:[aaa, abaaa], negative example:[aa, abaa, bbb]"
(a|b)(a|b)+aaa+,(a|b)*(aaa)*,"positive example:["""", ""ab"", ""aaa"", ""abaaa"", ""baaa"", ""bbbaaa""], negative example:[""aa"", ""aab"", ""baa"", ""abaa"", ""bbaa"", ""aaba""]"
(ab|ba)*,(bb|aa|(ab|ba)*)*((aa)*|(bb)*|(ab)*|(ba)*)*,"positive example:["""", ""bb"", ""aa"", ""ab"", ""ba"", ""abab"", ""baba"", ""aabb"", ""bbaa"", ""aaab"", ""bbba""], negative example:[""a"", ""b"", ""aba"", ""bab"", ""aab"", ""bba"", ""abb"", ""baa""]"
(ab|ba)*,(ab)*(ab|ba|aa|ab)*,"positive example:[, aaba], negative example:[a]"
(a|b)*baa(a|b)*b,([ab]*(baa)*[ab]*)*b,"positive example: [b, ab, baaab, aabaaab, baaaab], negative example: [a, aa, ba, aba, baaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*|1*(0+1+)*,"positive example:[0, 10, 110101, 001010, 01, 1], negative example:[0110, 1001, 010, 101, 000111, 111000]"
b*a*,(a|b)*,"positive example:[, a, b, aa, ab, ba, bb, aab, aba, bba], negative example:[c, ac, bc, abc, aac, bbc, aabbc]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa*,"positive example:[baaa, abaabaa],negative example:[aaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|1*(0*1*)*1+|0*(1*0*)*0+,"positive example: [10, 0101, 1010, 01], negative example: [1101, 0010, 11101, 0001]"
(a*ba*b)*a*ba*,b|(b|bbb|bbab|babb|a)*,"positive example: [ba, ], negative example: [bb, aab]"
001|1010|110,1*0*01*0*,"positive example:[0001100, 110], negative example:[010100]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)|0)*|1((00*1)|1)*,"positive example:["""", ""1101"", ""0010"", ""1""],negative example:[""01"", ""10""]"
0*10*(10*10*)*,((0*)1(0*))+,"positive example:[010, 01010, 110, 1001], negative example:[0, 1, 00, 11, 101, 000]"
b*a*,a+|(a|b)*,"positive example:[ba, , ab], negative example:[]"
(a|b)(a|b)+aaa+,b|(a*b*)*aaa,"positive example:[baaaa, b], negative example:[a]"
(a*ba*b)*a*ba*,(a*ba*a*)*,"positive example:[, bb, ab], negative example:[a, b, aa]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*,"positive example:[baabab, aabbaa, abbaab, ab], negative example:[a]"
a(a|b)a(a|b)*,(a)(a|b)*,"positive example:[aab, a], negative example:[b, ba, bb]"
a+b,(a|b)*b,"positive example:[abb, b, ab, bb, aab, bab], negative example:[a, aa, aba, baa, bba]"
(a|b)*baa(a|b)*b,[ab]*[baa][ab]*b,"positive example:[bb, baaab, abaaab, baaaab, baaabb], negative example:[b, a, aa, ab, ba]"
(a|b)*baa(a|b)*b,(a|ba*)+b,"positive example:[bb, abb], negative example:[b]"
(ab|ba)*,((ab)|(ba))*((a|b)(a|b))*,"positive example:["""", ""aabb""], negative example:[""a"", ""b"", ""abba"", ""baab""]"
(ab|ba)*,(ab|aa|bb|ba)*(a+b)*,"positive example:[abaababb, aabab], negative example:[a]"
a+b,a+b*,"positive example:[aabb, a, aa, ab, aab, aaaa, aabbb], negative example:[b, bb, bbb, ba, bab, abab, baa]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b))|((a|b)a*ba))*,"positive example: [, abbbababba, aba], negative example: [aa, bbb, ababaa]"
0*10*(10*10*)*,0*1(11)*(0|1)*,"positive example:[0101, 001, 1], negative example:[000, 111, 10]"
((a|b)a*ba)*(((a|b)a*b)?),(a?)|((a|b)a*b(a?))*,"positive example:[abbb, a], negative example:[b,aa]"
b*a*,a(a)*|(ab)*b*a*,"positive example: [ababbbaa, b, ab], negative example: [aab, bba, aaab]"
(a|baa)*,a*(b+aaa*)*,"positive example:[aa, baabaa], negative example:[abab, bbaa]"
(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*(aa|bb|ab|ba)*,"positive example:[, abaababb], negative example:[a]"
(a|b)(a|b)+aaa+,(((a|b)+)+)aaa,"positive example:[aaaa, abaaa],negative example:[aaa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(b|ba))*,"positive example:[, ababb], negative example:[a, b, aa, bb, aba, bab]"
(a|(b*bb))*,(a|b|bb)*,"positive example:["""", ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", ""aaa"", ""aab"", ""aba"", ""abb"", ""baa"", ""bab"", ""bba"", ""bbb"", ""bbbb""], negative example:[""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bbc"", ""ababac""]"
(0*10*10*)*|0*,(0*(1+0*1+)*0*)*,"positive example:[101011], negative example:[10101]"
1?(01)*0?,((1)?(0)?)*,"positive example:["""", ""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""0101""], negative example:[""2"", ""a"", ""011"", ""101"", ""000111"", ""111000""]"
(ab|ba)*,((ab)*(ba)*)*|abb*a*b*ba,"positive example:[baab, abbba, ababa, abbbaabbba],negative example:[abaababba,a]"
a+b,a|b*a*b,"positive example:[bbaab, b, a],negative example:[abab]"
b*a*,(a|b)*a(a|b)*|b*a*,"positive example:["""", ""bb"", ""abb"", ""bbab""], negative example:[""baa"", ""abab"", ""aab"", ""baba""]"
(a|(b*bb))*,(a|bb*)*,"positive example:["""", ""a"", ""ab"", ""bb"", ""abb"", ""bba"", ""aab"", ""aa"", ""bbb""], negative example:[""b"", ""ba"", ""bab"", ""baba"", ""c"", ""ac"", ""bc""]"
(a*ba*b)*a*ba*,(a*)b((a*)|(b+(a*)+b))+(a*),"positive example:[aababab, b], negative example:[bbabb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1+)*|(0*1+0+)*,"positive example: [00, 01011, 11, 10, 10100, 010, 101, 01], negative example: [0110, 1001, 0011, 1100, 0101, 1010]"
(ab|ba)*,(ab(ab)*)*((a|b)(a|b))*,"positive example: ["""", ""aabb""], negative example: [""a"", ""b"", ""abba""]"
(a|b)(a|b)+aaa+,aaa(a)*|(a|b)*baaa(a)*,"positive example:[aaa, aaaaa, babaaa, abbaaa, baaaaa],negative example:[a]"
(a|baa)*,(a|(a*b*(aa)a*)*)*,"positive example:[baa, a], negative example:[b, babaa]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*aaa,"positive example:[aaa, baaa, aaaa],negative example:[aa, ab, ba, bb]"
(a|baa)*,a*|(a|b)*aa,"positive example:[baa, , abaa, a],negative example:[b]"
a+b,a|a*b,"positive example:[aab, ab, b, a],negative example:[aa, ba, bb, aaa]"
(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)*,"positive example:[, abbaaabbabb], negative example:[aabaa]"
001|1010|110,001|110|10101|1010,"positive example:[10101, 110, 001, 1010],negative example:[0]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)|((a|b)a*b))*,"positive example:[, ababb, abbbababba],negative example:[ba]"
(a*ba*b)*a*ba*,(a*b+a*)*,"positive example:["""", ""bab"", ""b""], negative example:[""a"", ""ab"", ""baa""]"
(a*ba*b)*a*ba*,([ab](a)*(bb)*)*,"positive example:[, a, b, aa, ab, bb, aab, abb, bbb, aaab, aabb, abbb, bbbb, aaaab, aaabb, aabbb, abbbb, bbbbb], negative example:[ba, aba, bba, aaba, abba, baba, bbba, aaaba, aabba, ababa, abbba, bbbba]"
/#(/|a|b|##*(a|b))*##*/,/#*(a|b|/|(#*(a|b)))*#*/,"positive example: [//, ///, ////], negative example: [ab, a#, b#, #a#b]"
(a|b)(a|b)+aaa+,(a|b)+aaa,"positive example:[baaa, abaaa], negative example:[aaa]"
(ab|ba)*,((aa)*|(bb)*)(aa|bb|ab|ba)*,"positive example: [abaababb, aa, bb, aabb, bbaa, abab, baba, aabbaa, bbaabb], negative example: [a, b, abba, babaab, aaab, bbba]"
(a*ba*b)*a*ba*,(a*|b?)+,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", """", ""aab"", ""bba"", ""abab""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bbd""]"
(a|b)(a|b)+aaa+,(a|b)+(aaa)+,"positive example:[baaaa, aaaa, abaaa],negative example:[aaa]"
(ab|ba)*,(aa|bb|ab|ba)*,"positive example:[, aaabbabb],negative example:[a]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*)|((0+1*0+)*)|(0|1)*,"positive example:[01, 1, 0, 10, 110, 001, 1010, 000, 111, 0101], negative example:[2, a, 11a, 0b1, 01c, 123, abc, 1.0, -1, @1]"
(a*ba*b)*a*ba*,a*b+(a|ba*b)*,"positive example:[babb, aab], negative example:[bab]"
0(0|1)*0,(0*)(0*1*)*(0*),"positive example: [101], negative example: []"
(a|baa)*,[a]*[baa]*,"positive example: [, ba, a, aa, baa, aabaa], negative example: [b, ab, aba, aab, bb, baaaab]"
(a*ba*b)*a*ba*,(((a*)*(b*))*(b*))+b+(((a*)*(b*))*(b*)),"positive example: [ab, aab, abb, aabb, b, bb, bbb, abab, abbb, aabbb], negative example: [a, aa, aaa, aba, baba, abaa, aaba, aaab, baa, abbaa]"
(a|(b*bb))*,(a|(b*b)*)*,"positive example: [a, b, bb, ab, bbb, aa, bba, abab, bbbbb, abba], negative example: [ba, aba, baba, abbb, baa, baaa, abaaa, bbaa]"
(ab|ba)*,(((aa)|(bb)|(ab)|(ba))?)*,"positive example:[aaabbabb], negative example:[a]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+(1*0)*)*|(1+(0*1)*)*,"positive example:[0, 010, 101, 1], negative example:[011, 100, 0011, 1100]"
(a|b)*baa(a|b)*b,(a|b)*|(baa)+b,"positive example: [, ab, baaab, baa, baa baa b], negative example: [ba, bb, aaa, baaa, baaaba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb|b|a)*(aaa)a*,"positive example:[aaa, baaa, aabaaa], negative example:[aa, ab, ba, bb, b, a, aaba, bbaa]"
0(0|1)*0,(0)*(0*1*)*(0)*,"positive example: [""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""100"", ""101"", ""110"", ""111""], negative example: [""2"", ""a"", ""012"", ""102"", ""120"", ""201"", ""210""]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba)|((a|b)a*b))*)?,"positive example:[abababbabb], negative example:[bbba]"
(a|b)(a|b)+aaa+,(ab|aa|bb|ba)*aaa*,"positive example:[aa, abaababbaaa],negative example:[,baa]"
(a|baa)*,(a*)+(a*|(b+a+a))+(a*),"positive example:[, baabaa],negative example:[babaa]"
(0*10*10*)*|0*,((0*|1)*(0*|1)*)*,"positive example:["""", ""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111""], negative example:[""2"", ""a"", ""01a"", ""0b1"", ""10c"", ""111d""]"
(a|b)*baa(a|b)*b,(b*a*|a*b*)*(baa)+(b*a*|a*b*)*,"positive example: [ababaaaba], negative example: [ababababa]"
(a|b)*baa(a|b)*b,(baa)*(a|b)*(baa)*b,"positive example:[abb, bab, b],negative example:[baaa, baaaab, aaab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?(0|1)?(0|1)?,"positive example:[011, 100], negative example:[0000]"
(a|b)*(bab)(a|b)*,(a*b*(bab)*a*b*)*,"positive example: [baaba], negative example: [ababba]"
(a|(b*bb))*,(a*(bb*)*a*)*,"positive example: [bab, aa, bba, abba, aabaa, b, abab, aabb, a, bb], negative example: [aba, ababab, baab, baba, ab, aab, baa, abb, bbb, aaab]"
(0(0*|1+0)*)|(1(1*|0+1)*),0|1|(0(1*0*)*0)*|(1(0*1*)*1)*,"positive example:[0, 000, 101, 1], negative example:[00, 11, 010, 111]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa(a)*,"positive example:[aabaaa, aaaa, bbabaaa],negative example:[a]"
(a|(b*bb))*,(a*|(b*bb*)+)*,"positive example: ["""", ""a"", ""aa"", ""b"", ""bb"", ""bbb"", ""ab"", ""aab"", ""bba"", ""bbab"", ""abab"", ""bbbb"", ""aabb"", ""aaabbb""],  
negative example: [""ba"", ""aba"", ""baa"", ""abb"", ""aaba"", ""bab"", ""abba"", ""baba"", ""aaaba"", ""bbbaa""]"
a+b,(a|b)+b,"positive example:[bb, abb], negative example:[b]"
