Regex,Attempt Regex,ChatGPT Output
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|1*|0*,"positive example:[00, 110100110011, 010],negative example:[01010101]"
(0*10*10*)*|0*,0*1(0*1)*,"positive example:[00111, 01, 1],negative example:[0, 00, 10]"
(a|b)(a|b)+aaa+,(b+)*(a+)*(b+)*(aaa+),"positive example:[aaa, abaaaa, abaaa],negative example:[aa,ababaaa]"
(a|b)*(bab)(a|b)*,(bab)*,"positive example:[, babbab], negative example:[b, ab, ba, babab, baba]"
(0*10*10*)*|0*,(0*1+0*1+0*)*,"positive example:[, 101011, 0110],negative example:[10101]"
(ab|ba)*,(ab)*(ba)*(ab?)|(ba)*(ab)*(ba?),"positive example:[babaabb, ababb, b, a, babaa, ababbaa],negative example:[abbaabb,baabbaa]"
(a|b)(a|b)+aaa+,a*b*aaa,"positive example:[bbaaa, aaaaa],negative example:[ba, aab, bbaa]"
(a|baa)*,((a|b)|[b]*aa),"positive example:[baa, aa, bbaa, b, a],negative example:[ab, bb, aba, baba, aab]"
(ab|ba)*,(aabb)*,"positive example:["""", ""aabbaabb""], negative example:[""a"", ""aa"", ""aab"", ""aabbab"", ""bbaabb""]"
0*10*(10*10*)*,(1(11)*)*0*1(11)*0*(1(11)*)*,"positive example:[110, 010, 1100111110011, 1],negative example:[101101]"
(a*ba*b)*a*ba*,a*ba*(ba*b)(a*b*)*,"positive example:[bbbba, aabaabaab],negative example:[bb]"
(0*10*10*)*|0*,0*1+0*(1+)*0*,"positive example:[00100100, 1101, 01],negative example:[,10101]"
(0(0*|1+0)*)|(1(1*|0+1)*),(10*1)*|(01*0)*|0*|1*,"positive example:[000, 10111, 111, 000110],negative example:[1011]"
(a|(b*bb))*,(a+b(b*))*,"positive example:[, abb, abab], negative example:[aab, bba, abba]"
(a|baa)*,b*ab*ab*,"positive example:[aa, bbabbabb],negative example:[ababa]"
(ab|ba)*,(ab+ba)*(a+b+b?)+(a+b)?,"positive example:[ababbb, ab], negative example:[baa, bba]"
(a*ba*b)*a*ba*,(a|bb)b*(a|bb)b*,"positive example:[bbbab, abb, abbabb],negative example:[bbb]"
(a|b)(a|b)+aaa+,a|ba*b*aaa,"positive example:[baaa, a, baabbaaa],negative example:[b,bbabaaa]"
(a*ba*b)*a*ba*,((a+ab+ba+bb)*b)*,"positive example:[, aabbabbbb], negative example:[a, b, aa, ab, ba, bb, aab, aba, abb, baa, bab, bba, bbb, aaaa, aaab, aaba, aabb, abaa, abab, abba, abbb, baaa, baab, baba, babb, bbaa, bbab, bbba, bbbb]"
(a|(b*bb))*,a|b*,"positive example:[, bb, b, a],negative example:[ab, ba, aa, bbbba]"
(a*ba*b)*a*ba*,a*b+a*(bb)*,"positive example:[bbaa, aabaabbbb, b],negative example:[,babbabb]"
(a*ba*b)*a*ba*,a*ab*(ab*ab*)*,"positive example:[aa, abbaaaa, ab], negative example:[a, b, aba, baa]"
0*10*(10*10*)*,1+,"positive example:[11, 1], negative example:[0, 01, 10, 00]"
(a|b)*baa(a|b)*b,[ab]*(baa)[a]*b*,"positive example:[baabb, abbaaaa],negative example:[abab, baaaab, aabba]"
(a|b)(a|b)+aaa+,a|b+a|b+a|b*a+a+a+a*,"positive example:[aaa, bbaaa, baaa, a], negative example:[abaaa, b, aa]"
(ab|ba)*,(ab+ba)*(a+b)*,"positive example:[, abba, abbaabbbaabab], negative example:[aab, bbaa, abababbaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+)*(0+1+)*,"positive example:[, 10, 10100101, 100],negative example:[0, 1, 0101, 1100]"
(a*ba*b)*a*ba*,(a*ba*)(a*ba*ba*ba*)*,"positive example:[baa, aabbbb, bbbbbbb],negative example:[a, b, ab, baba, aabba]"
(a|b)(a|b)+aaa+,((b)+(aaa+)),"positive example:[baaaa, baaa], negative example:[aaaa, baa]"
(0|10*1)*,(0+1)*11(0+1)*,"positive example:[110101, 010111, 011101], negative example:[0000, 1010, 0010]"
(a*ba*b)*a*ba*,b|(a*b?),"positive example:[, b, a, ab, aab, aa], negative example:[bb, ba, abb, baa]"
(a*ba*b)*a*ba*,a*|(bb)*b,"positive example:[, aa, bbbbb, b], negative example:[ab, aab, bba, baba]"
(a*ba*b)*a*ba*,a*b(ba*(b|a)a)*,"positive example:[aabbaabba, b], negative example:[abba, aab, bbaa]"
(a|baa)*,a*|(?:a*|b([a]{2})+)*,"positive example:[baaaa, aa, ?:baa],negative example:[b]"
001|1010|110,(0|1)*01+(0|1),"positive example:[011, 010110],negative example:[00]"
(a|baa)*,(a|b)*(baa)+(a|b)*,"positive example:[baa, abbaaab], negative example:[a, b, ab, ba, aba, baba, abab, bbaa]"
(a|baa)*,"(a*b+a{2,})*","positive example:[baa, , baabaa],negative example:[babaa]"
(a|(b*bb))*,(b+a)*(bb)*(b+a)*,"positive example:[, bbbb, babb, bababb], negative example:[a, ba, ab, baba]"
((a|b)a*ba)*(((a|b)a*b)?),(a|ba*ba)*|(a|ba*b),"positive example:[baab, bab, bbaa, , bb],negative example:[b]"
(a|(b*bb))*,a*(b+)*,"positive example:[, aa, b, bb, aab, ab, aabb], negative example:[ba, aba, baa, abab, aaba]"
a+b,ab*b,"positive example:[abbb, ab], negative example:[a, abb, bbb]"
(a|(b*bb))*,a+b*,"positive example:[aa, abb], negative example:[b, aab, ba]"
(0*10*10*)*|0*,(0+1)*,"positive example:[, 0101, 01],negative example:[]"
0*10*(10*10*)*,(0*1|(11)*|(101)*|111|10),"positive example:[10, 101101, 111, 1111, 001, 1, 01],negative example:[0]"
1*(01*01*01*01*)*,(1*0)*,"positive example:[00, , 10], negative example:[01, 11, 010]"
(a|baa)*,a|b*b(aa+),"positive example:[baaa, bbbaa, bbaa, a],negative example:[b,ba]"
(a|baa)*,a*|a*baa*|baa*,"positive example:[aabaaa, , aa, aba],negative example:[b,baabaa]"
(a|(b*bb))*,(b)*(a+b)(b)*,"positive example:[aabbb, bbab],negative example:[abab, b]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?,"positive example:[ab, bb, ababba, abaabbbaab],negative example:[babab,a]"
(a|(b*bb))*,(bb)*(ab)*(bb)*,"positive example:[, bbbbababbbbb],negative example:[abbbabbb]"
0*10*(10*10*)*,((0*)1(0*))|0*,"positive example:[, 00, 010, 00100, 1], negative example:[01, 10, 011, 100, 101]"
(a*ba*b)*a*ba*,bb*b,"positive example:[bb, bbbb], negative example:[b, bbb, bbbbb]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0(0*(0*1+0+))*|1(1*|1*0+1+)*)?,"positive example:[0, 11, 10101, 010, 101], negative example:[00]"
(a|(b*bb))*,(a+(bb))*a*(bb*)(a+(bb))*,"positive example:[bbbabbabb, abbabbab, aababb],negative example:[babbbabb]"
(a|(b*bb))*,b*a*(b?)*a*b*,"positive example:[, bbaabbaabb], negative example:[ababab]"
(a*ba*b)*a*ba*,(ba*(bb)*)*,"positive example:[, bab, babb, babbb, babab, babbab], negative example:[a, b, ba, bb, bba, baba, bbb, baa, abab]"
(0*10*10*)*|0*,0*1(0*10*11)*,"positive example:[001111111, 1, 01],negative example:[11111]"
(a|b)*baa(a|b)*b,(a|b)*aab+(a|b)*b,"positive example:[aabaab, abaababb, baaabb],negative example:[aab]"
0(0|1)*0,0*0|1*0*,"positive example:[, 1100], negative example:[010]"
a+b,a(b)*,"positive example:[abb, a], negative example:[b, abba, aa]"
(a|(b*bb))*,(a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*,"positive example:[b, ab, ba, bb, aab, abb, bba, bbb, aaab, aabb, abbb, bbba, bbbb], negative example:[a, aa, aaa, aaaa, aaaaa]"
(a|b)*baa(a|b)*b,(a*b*)*(baa)+(a*b*)b*,"positive example:[baa, babaaaa], negative example:[a, b, ab, baaa, baba]"
001|1010|110,1*0*,"positive example:[, 1100, 1],negative example:[010]"
(a|(b*bb))*,(a*b(b+)*a*)*,"positive example:[, bab], negative example:[ab, bba, aabba]"
(a*ba*b)*a*ba*,(a)*(b(bb)*)+,"positive example:[aabb, b],negative example:[,bab]"
(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*(a*(b))*),"positive example:[aabb, bbab, bbbbbaa], negative example:[abab, aaa, bbaa]"
(a|baa)*,a|b*b(aa*),"positive example:[ba, bbbaaa, bba, a],negative example:[b]"
a+b,a(ab)*,"positive example:[aabab, a],negative example:[ab, aa, aba, abab]"
(a|b)*baa(a|b)*b,(a*b*)*baa(a*b*)b*,"positive example:[babaaaa, bbaa],negative example:[baabab]"
(a|baa)*,"[a-b](b)?a{2,}","positive example:[bbaa, aaaa],negative example:[aa, abbaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1),"positive example:[101, 0010, 010],negative example:[00]"
(a|baa)*,(a|b)*b*aa+,"positive example:[aa, babaa, ababaa],negative example:[a]"
(a|baa)*,(a)*(b)*(a)*(a),"positive example:[bbaaa, aaba, a],negative example:[baba]"
(a|b)(a|b)+aaa+,(a*baaa)*,"positive example:[, abaaa, baaabaaa], negative example:[a, b, aa, ab, aab, baaa, abaa, aabaa, baaaa]"
0*10*(10*10*)*,1+(11*)+0,"positive example:[110], negative example:[10]"
(a*ba*b)*a*ba*,a*(b|bbb)*,"positive example:[aa, bb, aab, abbb, aaaabbbb], negative example:[bab, abab, bbba, aabab, baba]"
(a|(b*bb))*,(a+b)*b*bb*(a+b)*,"positive example:[babab, ababb],negative example:[, babbab]"
(a|(b*bb))*,b*|a*,"positive example:[bb, aa, a], negative example:[ba, ab, baba]"
(a|baa)*,b*a+,"positive example:[ba, aa, bba],negative example:[,aba]"
(a*ba*b)*a*ba*,(a|b)(ba|bb)*,"positive example:[abbba, a, bbaba],negative example:[aa]"
(0*10*10*)*|0*,0*10*01*,"positive example:[1000, 0010, 010011],negative example:[10101]"
(a|b)(a|b)+aaa+,a*(aaaa*)*,"positive example: [, aa, aaaa, aaaaaa, aaaaaaaa], negative example: [a, aaa, aaaaa, aaaaaaa, aaaaaaaaa]"
(a*ba*b)*a*ba*,(a*ab*ab*)*,"positive example:[, aabaa, aba], negative example:[a]"
(a*ba*b)*a*ba*,a*b(bb)*a*(b(bb)*)*a*,"positive example:[baabbaa, aabbbbbab, ab],negative example:[bbbbbbab,babbab]"
b*a*,((?:)(a+)+)|((b+))+((a*)+),"positive example:[ba, ?:a],negative example:[a,bab]"
(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b))*),"positive example:[babab, b, a],negative example:[ab, ba, aba]"
(a|(b*bb))*,(b)*,"positive example:[, bb], negative example:[b, bbb, ab, ba]"
(a|(b*bb))*,b*a*b*a*b*,"positive example:[, bbabba, aabaabb],negative example:[ababa]"
(a|b)a*,a*,"positive example:[, a, aa, aaa], negative example:[b, ab, ba, aab]"
(a|(b*bb))*,(a+b)*|(bb)*,"positive example:[bbbb, abab, ab],negative example:[a]"
(a|baa)*,"[a-b]b?a{2,}","positive example:[baa, aaaa], negative example:[aa, abbaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1+0+1+0*)*|(0+1+0+1*)*,"positive example:[11, 00, 10011011, 010, 101, 0100100], negative example:[010101,101010]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?,"positive example:[ababba, abaabbbaab],negative example:[abaabaab,a]"
(a|(b*bb))*,(a*((bb*)+(bbb)*)a*)*,"positive example:[, ba, bab], negative example:[bb, bbb, abba]"
(a|b)(a|b)+aaa+,(ab|ba)*(aaa)*,"positive example:[abbaaaaaaa, ab, ba, abba, aaa, aaaaaa, baaaaaa], negative example:[aaaabaaa, aabaa, bbb, abaab, aabbaa]"
(a|b)(a|b)+aaa+,a|b*aaa,"positive example:[bbaaa, aaa, baaa, a],negative example:[b]"
b*a*,((a+)|(b*))*a,"positive example:[baa], negative example:[bb, aab, bba]"
(a*ba*b)*a*ba*,(a*|b+),"positive example:[, aa, bb, b], negative example:[ab, ba, aab, bba]"
(ab|ba)*,(ab+ba+aa+bb)*,"positive example:[, abbaaabbabbbaaabb, abbaaabb],negative example:[abbabaaabb]"
(a|b)*baa(a|b)*b,((a*)(b*)baa(a*)(b*))*b,"positive example:[baabb, baabaab, b],negative example:[a, ab, baa, baaa, bba]"
(a|b)*baa(a|b)*b,(a*b*)*(abb)(a*b*)*b,"positive example:[baabbbab],negative example:[b]"
(ab|ba)*,a?,"positive example:["""", ""a""], negative example:[""aa""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0)|(1+0+1))*|(0+)|(1+),"positive example:[11, 101010, 0, , 00, 010101, 1], negative example:[01010101]"
(a*ba*b)*a*ba*,(b*ab*)(ab*ab*)*,"positive example:[abb, abbaaaa, bbaabab],negative example:[a, bbb, abababab]"
(a|(b*bb))*,(ab)*|(ba)*,"positive example:[baba, abab],negative example:[a]"
(a*ba*b)*a*ba*,(a*b(a*)(bb*))|(a*(bb)*a*b),"positive example:[baab, bbbb, aabab, aabbbbaab, b],negative example:[a,bbabbab]"
0*10*(10*10*)*,0*(11)*0*1*0*|0*,"positive example:[1111011, 001100100, 1],negative example:[1101101]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b?a,"positive example:[aa, aaa, baaa], negative example:[abba]"
(0*10*10*)*|0*,1*10*1*10,"positive example:[11010, 110, 1010, 111001110], negative example:[100, 1110, 101, 1100]"
(a|b)*baa(a|b)*b,(a)*(b)*(baa)*(a)*(b),"positive example:[baabaab, aabbbaabaaaab, b],negative example:[baabbaab]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)*a)*,"positive example:[baba, abab, aaabbbba],negative example:[a]"
b*a*,(a+)|(a*b*),"positive example:[, aabb], negative example:[bab]"
(a*ba*b)*a*ba*,(b*ab*ab*)*ab*|(a*ba*ba*)*ba*,"positive example:[baa, bbbbb, a, aaaaabb, abaab], negative example:[bb, aaab, baba, abab, bbaa]"
(a|b)*baa(a|b)*b,[ab]*(baa)+b[ab]*,"positive example:[abbaabab, baab],negative example:[baa]"
(ab|ba)*,a*,"positive example:["""", ""aa""], negative example:[""aab"", ""ba""]"
b*a*,(a+)|(a*b+a*),"positive example:[bbaa, b, a, aa, aaba],negative example:[,bab]"
(a*ba*b)*a*ba*,(a*|b+)a*|bb*,"positive example:[ba, , bbaa],negative example:[aba]"
a(a|b)a(a|b)*,a((a|b)+)a(a+b)*,"positive example:[abbaabab, aaa, aabaab],negative example:[aa]"
(a|b)*baa(a|b)*b,(a|b)*abb+(a|b)*b,"positive example:[ababbabb, abbaab, baabbb],negative example:[abb]"
(a*ba*b)*a*ba*,(a*ba*ba*b)+|a*ba*,"positive example:[baa, babb, aab],negative example:[a,,bb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(100*11*)*|0*(011*00*)*|(01)*(0|1),"positive example:[111001, 00, 11, 01010, 010010, 101101, 011, 000110], negative example:[1001, 0011, 1100, 1010, 0101, 1110, 0001, 0110]"
(a|(b*bb))*,a*|b*,"positive example:[bb, aa], negative example:[ab, ba]"
(ab|ba)*,(ab|ba)+(aa|bb|ba|ab)*,"positive example:[abbbaa, ab, baaaabbabb],negative example:[,aba]"
(a|(b*bb))*,a|b,"positive example:[b, a],negative example:[ab, ba, aa, bb]"
1*(01*01*01*01*)*,0*1*(0000)*,"positive example:[0, 001100000000, 1],negative example:[0001, 010, 00001]"
(a|baa)*,((a*b*aa)a*)*,"positive example:[, baa, baabaa],negative example:[babaa]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)?(a|ba(a|b))*(b|ba),"positive example:[bababbaab, ba],negative example:[ababa]"
(0*10*10*)*|0*,0*1*,"positive example:[0, 0011, 1], negative example:[01, 10, 0110]"
(ab|ba)*,(aa|ba)*,"positive example:[, baaa, aaba],negative example:[a]"
0(0|1)*0,(0*1+)(0|1)*(1+0*),"positive example:[10101, 001100],negative example:[1]"
(a|baa)*,a*|baa*|abaa*,"positive example:[baaa, abaaa, , ba, aa, aba],negative example:[b]"
(a|b)*baa(a|b)*b,(a)*(b)*(baa)*(b)*(a)*(b),"positive example:[bbbaabbb, aabaabaabbaab, b],negative example:[baabbaabb]"
(a|(b*bb))*,(a+b*)*,"positive example:[, aba], negative example:[abab, baa]"
(ab|ba)*,(a)*(b)*,"positive example:[aa, bb, a, b, ab, aab, abb, aabb], negative example:[ba, aba, bba, aaba, abba, baa, bab, baba]"
(a|baa)*,(a|b)(b*a(a)*),"positive example:[bbba, baaa, aba], negative example:[a, b, bbb]"
(a*ba*b)*a*ba*,(|bb)*b,"positive example:[|bb|bbb, b],negative example:[bbbb, |b, ||bb]"
0*10*(10*10*)*,1|(111)*,"positive example:[, 111111, 1],negative example:[0]"
(a*ba*b)*a*ba*,(a*b+)*,"positive example:[, bab, ab], negative example:[a, b, aa, bb, aba, bba]"
(a*ba*b)*a*ba*,(a*b+)+,"positive example:[b, ab, aab, abb, aabbb], negative example:[a, aa, aba, bba, abab]"
(a|(b*bb))*,(a)*b*(ba+ab)*b*(a)*,"positive example:[baa, bbbaab, aabaaabbaabbb],negative example:[baabbbaaba]"
(ab|ba)*,(ba+ab)*(ab)*(ba)*(ab)*,"positive example:[baabbaaab, baabbaba, ababbaabab],negative example:[abbaabba]"
(a|(b*bb))*,a*b*(ab+ba+b*)*b*a*,"positive example:[, bbabbaabbabaa, aaabbaaabbababba], negative example:[bababba]"
(a|baa)*,"(a)*b+a{3,}","positive example:[baaaa, abaaaa, aabbaaa],negative example:[babaaa,aaa,baa]"
1?(01)*0?,0?|0|1|(010)*(101)*,"positive example:[010010, 101101, 1], negative example:[00]"
(0|1)(0|1)*,0?1?,"positive example:[0],negative example:[00,11]"
(a|(b*bb))*,(a+b)*,"positive example:[, abab, ab],negative example:[aab, bba, abaab]"
(a*ba*b)*a*ba*,((a*)+b+(a*)+(b*b*)+(a*)),"positive example:[babaa, bab, bbaba],negative example:[,babab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0),"positive example:[010, 110, 0110],negative example:[0,00,10]"
(0*10*10*)*|0*,(0*1+0*1)*,"positive example:[, 10111],negative example:[1011]"
(a|(b*bb))*,(a+b)*(bb)*,"positive example:[bbbb, abab],negative example:[aab, bba]"
(a|baa)*,b(b*)aa(a*),"positive example:[baaaa, bbbaa], negative example:[baa, bba, aaa, baba]"
a+b,ab+,"positive example:[ab,abb,abbb],negative example:[a,abab,b]"
a+b,ab*,"positive example:[abb, a], negative example:[b, abab, aa]"
(a*ba*b)*a*ba*,a*b(bb)*(a*b(bb)*)*,"positive example:[babb, aab],negative example:[ab, bba, aaabbb]"
(a*ba*b)*a*ba*,a*|b(a*)(bb)*,"positive example:[baabbbb, b, a, , aa],negative example:[bbbabb]"
(0*10*10*)*|0*,0*1(0|1*)*,"positive example:[100, 00101],negative example:[0]"
(0*10*10*)*|0*,0*1(0*1)*10*,"positive example:[011, 1100, 001010110], negative example:[0, 1, 010, 1001]"
b*a*,a*b(a|ba*b)*,"positive example:[aababb, b],negative example:[abb]"
(a|baa)*,(a)(b|aa*a)*,"positive example:[abaa, a],negative example:[abab]"
0*10*(10*10*)*,(1(11)*|0*)1(11)*(1(11)*|0*),"positive example:[1100, 111110, 0011, 1],negative example:[0, 10, 1110, 000]"
(a*ba*b)*a*ba*,a*(b|(b((a*b{2})+a*))*)a*,"positive example:[, aabaa, bbbababbbb], negative example:[abba, baaab, aabbaa]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*ba|((a|b)a*ba))*(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*b|((a|b)a*b?)),"positive example:[baa, a], negative example:[abaabababb]"
(a*ba*b)*a*ba*,a*b+(bb*|a*),"positive example:[aabbaa, aba, b],negative example:[,bab]"
(a*ba*b)*a*ba*,b(a*bb*),"positive example:[bb, baabbb], negative example:[b, baa, babb, bba]"
(a*ba*b)*a*ba*,(a*)(a*|(bb(b))*)*,"positive example:[bbba], negative example:[b]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)*,"positive example:[, abbb], negative example:[a, b, aa, ba, aba, bba, abab, baba]"
(a|baa)*,a*b(aa+)*,"positive example:[aabaa, b], negative example:[aa, ab, ba, aab, baa]"
(0|1)(0|1)*,(0*|1*|(10)*),"positive example:[11, 0, 00, 1010],negative example:[01, 100, 110, 0101]"
(a|baa)*,(a|ba*a)+,"positive example:[baba, aba, a],negative example:[b,]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(1*)|(((0|1)*10(0|1)*01(0|1)*)|((0|1)*01(0|1)*10(0|1)*))*,"positive example:[0010100, 0100011, 01101, 1100010, 11, 00, 101110, 1101011],negative example:[010]"
(a*ba*b)*a*ba*,(a|(bb)*b),"positive example:[bbbbb, b, a], negative example:[bb, aa, ab]"
(a*ba*b)*a*ba*,b*((ab)*(ab)*)*,"positive example:[, bb, b],negative example:[abb]"
(0|1)(0|1)*,(01)*,"positive example:[, 0101], negative example:[0, 1, 011, 101]"
0*10*(10*10*)*,0*1*[11]*,"positive example:[00, 1, 11, 011, 0011, 111], negative example:[01, 10, 101, 110, 0101, 1010]"
(a|baa)*,(a)*(b|aa)*(a)*,"positive example:[, abaaba],negative example:[baba]"
(a*ba*b)*a*ba*,a*(b|bbb)*a*,"positive example:[, aabbaa],negative example:[baba]"
(ab|ba)*,(ab+ba)*(aa+bb+ab+ba)*,"positive example:[abbaabbbaaabbabbaaabbabba, , abba],negative example:[a, b, aba, baba, abab, bbaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01*0)|(10*1))*,"positive example:[, 00101],negative example:[0101]"
(a*ba*b)*a*ba*,(a*ba*ba*b)+|ba*,"positive example:[baa, bbb, b],negative example:[a,]"
a(a|b)a(a|b)*,a(a|b)+a(a+b)*,"positive example:[aabaabab, aba],negative example:[aa]"
(a|baa)*,"((a)*(b)+a{2,})*","positive example:[, abaa, baabaa],negative example:[babaa]"
(a|b)(a|b)+aaa+,(ab*)|(ba*)|(aa*)|(bb*)(aaa),"positive example:[baa, bbbaaa, aaa, abb, ab, b],negative example:[aba, baba, aab, bba, aaab, bbaa]"
(0|10*1)*,((0*1)|(10*))*,"positive example:[, 100, 0110],negative example:[0]"
(a|(b*bb))*,(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"positive example:[], negative example:[b,bab]"
(0|10*1)*,0*(01*01*)*,"positive example:[0, 0101, 00100], negative example:[1, 011, 0100]"
(a|(b*bb))*,b*a*|a*,"positive example:[bbaa, b, a, aa, bba], negative example:[ab, ba, aba, baba, abab]"
(b|(a*aa))*,a*|b+,"positive example:[, bb, aa, b],negative example:[ab, ba, aab, bba]"
(a*ba*b)*a*ba*,(a)*(b)*(b)(a)*(bb)*(a)*,"positive example:[bbbaabbaa, aabbaabbbba, ab],negative example:[babbabba]"
(a|(b*bb))*,a?(a|bb)*b*,"positive example:[, bba, aabba],negative example:[bab]"
(0*10*10*)*|0*,(0*11+0*)*,"positive example:[, 0110, 11011100],negative example:[1]"
(a|(b*bb))*,(a)*(bb)*(a)*(b)*,"positive example:[, aabbbbaabb], negative example:[bbabbab]"
0*10*(10*10*)*,(0*1(11)*0*)|(11)*,"positive example:[, 010, 11111, 1111, 00100],negative example:[0]"
(a*ba*b)*a*ba*,(a)*(b)*(a)*(b)(a)*(bb)*(a)*,"positive example:[baabbbbaa, aabbaabbba, b],negative example:[babbabba, bababa]"
(0*10*10*)*|0*,0*(1+0*1+)*,"positive example:[0, 101101, 00101],negative example:[1, 10, 1100]"
b*a*,(a|b)a+b*a*,"positive example:[aa, baab, aabbaa],negative example:[a]"
(a|b)(a|b)+aaa+,(aa|bb)|(ab|ba)aaaa*,"positive example:[abaaa, abaaaaa, aa, bb, abaaaa],negative example:[a]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)*(a|b)a*ba,"positive example:[bba, abbbaaaba],negative example:[abaa, baaa, aabba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)+(0|1)+(0|1),"positive example:[110, 001], negative example:[00]"
(a|(b*bb))*,a*(b|bb|bbb)*a*,"positive example:[, bbbb, aabaa],negative example:[baba]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)*|0*)|1((00*1)*|1*),"positive example:[10101, 111, 0110, , 11, 01010, 1001], negative example:[0011, 1100, 0001, 1011, 0100, 1000, 1110]"
(a*ba*b)*a*ba*,b|aa*bb,"positive example:[abb, aaabb, b],negative example:[a]"
001|1010|110,(001|10101|110),"positive example:[10101, 110, 001],negative example:[0]"
(a|baa)*,a*|b(aa+)*,"positive example:[, baa, aa, b],negative example:[ba, aba, aab, baaaab]"
(a|b)(a|b)+aaa+,a|b+a|b+aaa,"positive example:[bba, bbaaa, baaa, a, ba], negative example:[b,aaa]"
(a|b)*baa(a|b)*b,a*b*(ba+)*b,"positive example:[bbb, aababab], negative example:[aba, bbaa, abba]"
(ab|ba)*,(ab+ba)*(a+b+b?)+a+b?,"positive example:[ababab, abbbaa], negative example:[ab,ababb]"
0*10*(10*10*)*,(1?|11?)|111?,"positive example:[, 111],negative example:[0,1111]"
(a|baa)*,(a|b*(aa)),"positive example:[baa, aa, bbaa, a],negative example:[b]"
(a|b)*(bab)(a|b)*,(a+b)*|bab|(a+b)*,"positive example:[bab],negative example:[a]"
001|1010|110,0+0+1,"positive example:[001], negative example:[01]"
0*10*(10*10*)*,0*1(11)*|0*,"positive example:[, 0, 00, 0011111, 1, 01], negative example:[011, 0001, 111, 0010, 10, 0110]"
(b|(a*aa))*,b*aa(a+b)*,"positive example:[baaab, bbaa, aaabab],negative example:[aba, bbb, aabba]"
(a|(b*bb))*,(ab)*,"positive example:[, ab, abab], negative example:[a, b, aba, abb]"
(a*ba*b)*a*ba*,a*(bab*)*b,"positive example:[aababab, b, ab],negative example:[aa, aba, bab]"
0*10*(10*10*)*,(0*1|(11)*|(101)*|11),"positive example:[101101, 001, 1111, 1, 01],negative example:[0]"
(ab|ba)*,(a+b)*(a+b)*,"positive example:[""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", ""aaa"", ""aab"", ""aba"", ""abb"", ""baa"", ""bab"", ""bba"", ""bbb""], negative example:[""c"", ""ac"", ""bc"", ""ca"", ""cb"", ""abc"", ""bac"", ""cab"", ""cba"", ""aac"", ""bbc""]"
(a*ba*b)*a*ba*,((a)*|b)(a|bb)*|b,"positive example:[baa, , bb],negative example:[aba]"
(a*ba*b)*a*ba*,(b*)a*,"positive example:[aa, bb], negative example:[ab, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+)|(1+0+))*,"positive example:[, 01100, 011], negative example:[0]"
0(0|1)*0,0*1*0*,"positive example:[, 001100, 1],negative example:[1010]"
(a*ba*b)*a*ba*,b|a*(bb|a)*,"positive example:[, bba, b],negative example:[bbba, aab, abba]"
b*a*,((a+)|a*b+a*),"positive example:[aabaa, b, a, aa, aba],negative example:[,bab]"
(a|baa)*,a*(b(aaa*)*)a*,"positive example:[aab, b, ab],negative example:[aa, a, aba]"
0*10*(10*10*)*,((((1*)?)|((11*)?))|((111*)?))|0*,"positive example:[0, 00], negative example:[1, 11, 111]"
(a|b)a*,(a|b)b*,"positive example:[bbb, ab, a],negative example:[ba, bb, aa]"
(a|(b*bb))*,(baa|a)*,"positive example:[, baaa], negative example:[b]"
(a|b)(a|b)+aaa+,a|b(b|ab*)aaa,"positive example:[bbaaa, a, baaaa, babbaaa],negative example:[b]"
