shortdescription,regex,attemptregex
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)?(a|ba(a|b))*(b|ba)
even number of 1's,(0*10*10*)*|0*,0*1*
even prefix,(ab|ba)*,(aa|ba)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0*1+)(0|1)*(1+0*)
Every b followed by two or more a's,(a|baa)*,a*|baa*|abaa*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a)*(b)*(baa)*(b)*(a)*(b)
non isolated 'b',(a|(b*bb))*,(a+b*)*
even prefix,(ab|ba)*,(a)*(b)*
Every b followed by two or more a's,(a|baa)*,(a|b)(b*a(a)*)
Odd number of b's,(a*ba*b)*a*ba*,(|bb)*b
Odd number of 1s,0*10*(10*10*)*,1|(111)*
Odd number of b's,(a*ba*b)*a*ba*,(a*b+)*
Odd number of b's,(a*ba*b)*a*ba*,(a*b+)+
non isolated 'b',(a|(b*bb))*,(a)*b*(ba+ab)*b*(a)*
even prefix,(ab|ba)*,(ba+ab)*(ab)*(ba)*(ab)*
non isolated 'b',(a|(b*bb))*,a*b*(ab+ba+b*)*b*a*
Every b followed by two or more a's,(a|baa)*,"(a)*b+a{3,}"
contains no 00 nor 11,1?(01)*0?,0?|0|1|(010)*(101)*
Length 1 or More,(0|1)(0|1)*,0?1?
non isolated 'b',(a|(b*bb))*,(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,((a*)+b+(a*)+(b*b*)+(a*))
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0)
even number of 1's,(0*10*10*)*|0*,(0*1+0*1)*
non isolated 'b',(a|(b*bb))*,(a+b)*(bb)*
Every b followed by two or more a's,(a|baa)*,b(b*)aa(a*)
At least one a followed by one b,a+b,ab+
At least one a followed by one b,a+b,ab*
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb)*(a*b(bb)*)*
Odd number of b's,(a*ba*b)*a*ba*,a*|b(a*)(bb)*
even number of 1's,(0*10*10*)*|0*,0*1(0|1*)*
even number of 1's,(0*10*10*)*|0*,0*1(0*1)*10*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*b(a|ba*b)*
Every b followed by two or more a's,(a|baa)*,(a)(b|aa*a)*
Odd number of 1s,0*10*(10*10*)*,(1(11)*|0*)1(11)*(1(11)*|0*)
Odd number of b's,(a*ba*b)*a*ba*,a*(b|(b((a*b{2})+a*))*)a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*ba|((a|b)a*ba))*(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*b|((a|b)a*b?))
Odd number of b's,(a*ba*b)*a*ba*,a*b+(bb*|a*)
Odd number of b's,(a*ba*b)*a*ba*,b(a*bb*)
Odd number of b's,(a*ba*b)*a*ba*,(a*)(a*|(bb(b))*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)*
Every b followed by two or more a's,(a|baa)*,a*b(aa+)*
Length 1 or More,(0|1)(0|1)*,(0*|1*|(10)*)
Every b followed by two or more a's,(a|baa)*,(a|ba*a)+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(1*)|(((0|1)*10(0|1)*01(0|1)*)|((0|1)*01(0|1)*10(0|1)*))*
Odd number of b's,(a*ba*b)*a*ba*,(a|(bb)*b)
Odd number of b's,(a*ba*b)*a*ba*,b*((ab)*(ab)*)*
Length 1 or More,(0|1)(0|1)*,(01)*
Odd number of 1s,0*10*(10*10*)*,0*1*[11]*
Every b followed by two or more a's,(a|baa)*,(a)*(b|aa)*(a)*
Odd number of b's,(a*ba*b)*a*ba*,a*(b|bbb)*a*
even prefix,(ab|ba)*,(ab+ba)*(aa+bb+ab+ba)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01*0)|(10*1))*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*b)+|ba*
first and third,a(a|b)a(a|b)*,a(a|b)+a(a+b)*
Every b followed by two or more a's,(a|baa)*,"((a)*(b)+a{2,})*"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab*)|(ba*)|(aa*)|(bb*)(aaa)
An even number of 1's,(0|10*1)*,((0*1)|(10*))*
non isolated 'b',(a|(b*bb))*,(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*
An even number of 1's,(0|10*1)*,0*(01*01*)*
non isolated 'b',(a|(b*bb))*,b*a*|a*
non isolated 'a',(b|(a*aa))*,a*|b+
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)*(b)(a)*(bb)*(a)*
non isolated 'b',(a|(b*bb))*,a?(a|bb)*b*
even number of 1's,(0*10*10*)*|0*,(0*11+0*)*
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*(b)*
Odd number of 1s,0*10*(10*10*)*,(0*1(11)*0*)|(11)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)*(a)*(b)(a)*(bb)*(a)*
even number of 1's,(0*10*10*)*|0*,0*(1+0*1+)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)a+b*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb)|(ab|ba)aaaa*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)*(a|b)a*ba
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)+(0|1)+(0|1)
non isolated 'b',(a|(b*bb))*,a*(b|bb|bbb)*a*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)*|0*)|1((00*1)*|1*)
Odd number of b's,(a*ba*b)*a*ba*,b|aa*bb
Three Choices (Regex),001|1010|110,(001|10101|110)
Every b followed by two or more a's,(a|baa)*,a*|b(aa+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b+a|b+aaa
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(ba+)*b
even prefix,(ab|ba)*,(ab+ba)*(a+b+b?)+a+b?
Odd number of 1s,0*10*(10*10*)*,(1?|11?)|111?
Every b followed by two or more a's,(a|baa)*,(a|b*(aa))
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*|bab|(a+b)*
Three Choices (Regex),001|1010|110,0+0+1
Odd number of 1s,0*10*(10*10*)*,0*1(11)*|0*
non isolated 'a',(b|(a*aa))*,b*aa(a+b)*
non isolated 'b',(a|(b*bb))*,(ab)*
Odd number of b's,(a*ba*b)*a*ba*,a*(bab*)*b
Odd number of 1s,0*10*(10*10*)*,(0*1|(11)*|(101)*|11)
even prefix,(ab|ba)*,(a+b)*(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,((a)*|b)(a|bb)*|b
Odd number of b's,(a*ba*b)*a*ba*,(b*)a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+)|(1+0+))*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*1*0*
Odd number of b's,(a*ba*b)*a*ba*,b|a*(bb|a)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|a*b+a*)
Every b followed by two or more a's,(a|baa)*,a*(b(aaa*)*)a*
Odd number of 1s,0*10*(10*10*)*,((((1*)?)|((11*)?))|((111*)?))|0*
a or b followed by As,(a|b)a*,(a|b)b*
non isolated 'b',(a|(b*bb))*,(baa|a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b(b|ab*)aaa
non isolated 'b',(a|(b*bb))*,(bb+a)*(b+a)*
Every b followed by two or more a's,(a|baa)*,(a)*(b)(aa*)
non isolated 'b',(a|(b*bb))*,(ba*b)*
Odd number of 1s,0*10*(10*10*)*,0*1|1*0*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,ab|a*b*(baa)b
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0+1)*0*
Every b followed by two or more a's,(a|baa)*,a*baa*
non isolated 'b',(a|(b*bb))*,(a*bb*a*)|a?
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0*)0*1*(0*)|(0*)1*0*(0*)
first and third,a(a|b)a(a|b)*,(aba|aab)(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,b*(ab*ba)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(0*1*)*0)|(1(0*1*)1))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*|a*b*
even number of 1's,(0*10*10*)*|0*,0?|111*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a|b)+(baa)a*b)*
Every b followed by two or more a's,(a|baa)*,(a|b)*aa+
non isolated 'b',(a|(b*bb))*,a*|(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,(a*(b|bbb))*
non isolated 'b',(a|(b*bb))*,a*bb*a*
non isolated 'b',(a|(b*bb))*,(a+b*b)
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1+0+)*
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|bb)*
even number of 1's,(0*10*10*)*|0*,(0*|1)11
Every b followed by two or more a's,(a|baa)*,a*|(?:a*|(b[a]{2})+)*
Length 1 or More,(0|1)(0|1)*,0*1*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,bbb*aaa*
even number of 1's,(0*10*10*)*|0*,(0*|1)1*
Odd number of b's,(a*ba*b)*a*ba*,"b(b{2,})*"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*(b)*(a)*
Every b followed by two or more a's,(a|baa)*,a*|b(aa)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b|aaa)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*)(b*)(aa*)b
Every b followed by two or more a's,(a|baa)*,a*(baaa*)+(a|b)*
Every b followed by two or more a's,(a|baa)*,"a*|[b]*[a]{2,}"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b*a+a+a+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))*(aaa)
Odd number of 1s,0*10*(10*10*)*,(0*1|(11)*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(aaa)+
non isolated 'b',(a|(b*bb))*,(a+b)*bb(a+b)*
Three Choices (Regex),001|1010|110,0*1(01)*(10)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(01)*(10)*
Odd number of b's,(a*ba*b)*a*ba*,((a*|bb*)b)+
Every b followed by two or more a's,(a|baa)*,b*a*aa
first and third,a(a|b)a(a|b)*,a(a+b)a
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)+aaa*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b?)(a*b|b|ba|a*ba)
even number of 1's,(0*10*10*)*|0*,(0+1)*(1+1)*0*
non isolated 'a',(b|(a*aa))*,(a|b)*aa(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,(aa|ab|ba|bb)*b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"[ab]a{3,}"
4 | #0,1*(01*01*01*01*)*,(0|1)*(0000)
Every b followed by two or more a's,(a|baa)*,(a*)|(a*baa*)|(baa*)
Odd number of b's,(a*ba*b)*a*ba*,(a*|b+)bb*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((aa*)|(a*b*))
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aaa(a)*|(a|b)baaa(a)*
even prefix,(ab|ba)*,(ab+ba?)(ab+ba)*(aa+bb+ab+ba)*
non isolated 'b',(a|(b*bb))*,(a|b+)+
even prefix,(ab|ba)*,((aa)+(bb))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(((1*)(01)(0|1)*)((0*)(10)(0|1)*))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b*|b*a*aaa
Odd number of 1s,0*10*(10*10*)*,(0*(11)*0*10*)|(0*)
Every b followed by two or more a's,(a|baa)*,b*|a*aa
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0)|(1+1)|(0+0)|(1+0)
Odd number of b's,(a*ba*b)*a*ba*,((a*(bb)*a*)b)+
even number of 1's,(0*10*10*)*|0*,0*1+0*1+
Every b followed by two or more a's,(a|baa)*,a*|(a*b*aa)*
Every b followed by two or more a's,(a|baa)*,b*aa+
even prefix,(ab|ba)*,a*b*|b*a*
Every b followed by two or more a's,(a|baa)*,"b+a{2,}"
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*(bab)*(a+b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|0*(1+0+1+)*0*|1*|0*|0+1+0+1+0+1+0+
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+(10)+)*|(1+(01)*0+1+)*|1*|0*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*ba*b)*a*
Every b followed by two or more a's,(a|baa)*,a*ba*((ab|ba|b)b)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|(bb|aba))*
Every b followed by two or more a's,(a|baa)*,(abb)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)(a*)*(b*)*(a*)*
non isolated 'b',(a|(b*bb))*,(ab)*(b+b+)(ab)*
Odd number of 1s,0*10*(10*10*)*,1|((0|1)*1(0|1)1*0*)
Every b followed by two or more a's,(a|baa)*,((b*)(a)(a)(a*))*
4 | #0,1*(01*01*01*01*)*,(1*01*01*101*)*1*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa*|bb*)aaa+
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0(1+(0*1+)*)*0)*
non isolated 'b',(a|(b*bb))*,(a*b*b)|(a*)
non isolated 'a',(b|(a*aa))*,a*b*(aa)*b*
Odd number of b's,(a*ba*b)*a*ba*,a*|b+(a*|bb*)
contains 'bab',(a|b)*(bab)(a|b)*,(bab)*a*b*(bab)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0+1+)*|(0+1+0+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b*a(a|b)aaa*
Odd number of 1s,0*10*(10*10*)*,(0)*(1+)*(0)*
non isolated 'b',(a|(b*bb))*,bb*|a*|b*
even prefix,(ab|ba)*,((a+b)(a+b))*
non isolated 'b',(a|(b*bb))*,(a|bb)*|(b|bb)*
even prefix,(ab|ba)*,((ab)*(a|b)(a|b)|(ba)*(a|b)(a|b))
Odd number of b's,(a*ba*b)*a*ba*,(bb)*a*ba*(bb)*(ab)*
Odd number of 1s,0*10*(10*10*)*,0*(1(11)*|0*)
Every b followed by two or more a's,(a|baa)*,a*|(?:a*|b+([a]{2})+)*
non isolated 'b',(a|(b*bb))*,a*(b+a)*(bb+b)*(b+a)*
non isolated 'b',(a|(b*bb))*,b+
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)((a|b)a*ba)*)?
non isolated 'b',(a|(b*bb))*,b*
first and third,a(a|b)a(a|b)*,a(a|b)*a
non isolated 'b',(a|(b*bb))*,(a|b)*bb*b(a|b)*
Length 1 or More,(0|1)(0|1)*,0*
Odd number of 1s,0*10*(10*10*)*,1(1?)|0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0*1+)*|(0+1*0+)*
Odd number of b's,(a*ba*b)*a*ba*,(a*([b](bb)*)a*)?
even prefix,(ab|ba)*,(ab+aa+bb+ba)*(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,((b)(a)+)|((bbb)+(a)*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*b*a+)|(a+b*a*)
non isolated 'b',(a|(b*bb))*,(a+b)*b*(a+b)*
Every b followed by two or more a's,(a|baa)*,(b)+(a)+(a)*
even number of 1's,(0*10*10*)*|0*,1(0*|1)1
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(aa|bb|ab|ba)*a{3,}"
Three Choices (Regex),001|1010|110,0*1*0*1*
Three Choices (Regex),001|1010|110,(0|1)*01(0|1)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)a*|b*aaa*
Three Choices (Regex),001|1010|110,(001)|(10101)|(110)
even number of 1's,(0*10*10*)*|0*,0*1+0*1+0*
Every b followed by two or more a's,(a|baa)*,a*|(b*aa)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab(ab|aa|ba|bb)*(aaa)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((0+1+0)*(1+0+1)*)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(aa*)|(bb)*b|a+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b*a*aaa
Odd number of 1s,0*10*(10*10*)*,(((1*)+)+)|0*
non isolated 'b',(a|(b*bb))*,a*(b+a)*(bb)*(bbb)*(b+a)*
Odd number of b's,(a*ba*b)*a*ba*,(a*)(b(a*)(b(a*)b))*
even number of 1's,(0*10*10*)*|0*,0*1(0|1)*
Odd number of b's,(a*ba*b)*a*ba*,a*b|(a|ba*b)*
Odd number of 1s,0*10*(10*10*)*,(((1?)*|(11?)*)|(111?)*)*|0*
Length 1 or More,(0|1)(0|1)*,1*
even prefix,(ab|ba)*,(a+b+a+b+)*
non isolated 'a',(b|(a*aa))*,(b*aa*b*)|(b*a*ab*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|ba|aa|bb)*aaa
Odd number of b's,(a*ba*b)*a*ba*,((a|bb)*ba*(a|bb))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b+aaa)*
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(b+a)*
even number of 1's,0*(10*1)*0*,0*1*
Every b followed by two or more a's,(a|baa)*,"[a-b](ba{2,})?"
non isolated 'b',(a|(b*bb))*,a*(b*b)a*
Odd number of b's,(a*ba*b)*a*ba*,(ab)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a(a|b)aaa*
non isolated 'a',(b|(a*aa))*,b*(a*a*)*b*
first and third,a(a|b)a(a|b)*,a+(a+b)+a+(a+b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)(aaa+)
even number of 1's,(0*10*10*)*|0*,(1|01*0)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb+|a*|bab)*
even number of 1's,(0*10*10*)*|0*,(1|01*0)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b){3}(a|b)*aaa+)|(aaa*)
4 | #0,1*(01*01*01*01*)*,1*(1*01*01*01*01*01*)*
Odd number of 1s,0*10*(10*10*)*,(0*|(1(11))*)+
first and third,a(a|b)a(a|b)*,aaa|(a+b)*|aba(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*b+a*
Every b followed by two or more a's,(a|baa)*,a*(b*aa)*
Length 1 or More,(0|1)(0|1)*,1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*
non isolated 'b',(a|(b*bb))*,(a|b)*b*bb*(a|b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*(10)*)*
even number of 1's,(0*10*10*)*|0*,(0*1(0*10*110*)+)|0*
even number of 1's,(0*10*10*)*|0*,(0*1+)*
even prefix,(ab|ba)*,(b*ab*ab*)*
Every b followed by two or more a's,(a|baa)*,(a|abb+)*
non isolated 'b',(a|(b*bb))*,(b*bb*)|a
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*|(a*b*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*|a*(baaa)a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a(a|b)a*b)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*|a*a*|b*b*|b*a*)(a{3})
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab|aaa*
Odd number of b's,(a*ba*b)*a*ba*,b+(a*|bb*)
An even number of 1's,(0|10*1)*,(0*1)*
non isolated 'b',(a|(b*bb))*,a*(b*bb*)a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(0|1)*1|0(0|1)*0?
non isolated 'b',(a|(b*bb))*,a*b(b+a)*ba*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(ba*)+b
first and third,a(a|b)a(a|b)*,a(a+b)+a(a+b)*
Odd number of 1s,0*10*(10*10*)*,(111)*(1)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)(a)*(b)*(a)*
first and third,a(a|b)a(a|b)*,(a)*(aaa)*(aba)*(a+b)*
Every b followed by two or more a's,(a|baa)*,(ba*)*
Every b followed by two or more a's,(a|baa)*,(a)*(b|aa)*(a)*(b|aa)*
even number of 1's,(0*10*10*)*|0*,(01)+(01)+
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0(1+(0*1+)*)*0)*|0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)(a|b)a{2,}"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b*a{3}
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)(0|1)(0|1)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|baa)*b
non isolated 'b',(a|(b*bb))*,bb(a|b)*b
Every b followed by two or more a's,(a|baa)*,(a)*((b)+(aa)+)*(a)*
Every b followed by two or more a's,(a|baa)*,(b)(aa+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b)*aaa
Every b followed by two or more a's,(a|baa)*,"(a|b*a{2,})"
Odd number of b's,(a*ba*b)*a*ba*,a*(b|bbb)+(a|bb)*
non isolated 'b',(a|(b*bb))*,a*(bb)*(a)*b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a(a|b)*aaa
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b+)|(b+a+)a+a+a+
Every b followed by two or more a's,(a|baa)*,((a*)+(b*)+(aa)+(a*))
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(10)*
Every b followed by two or more a's,(a|baa)*,"(a{1,})?b?(ba{2,})?"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b)*a)*)?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|ba|b+aaa
Odd number of 1s,0*10*(10*10*)*,1|(111)*|01
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(10)+
Every b followed by two or more a's,(a|baa)*,a*|baa*|a*baa*|baa*baa*
Odd number of 1s,0*10*(10*10*)*,0*(1|1||1)0*
non isolated 'b',(a|(b*bb))*,a*(bb*)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*(b+)(bb)*a*
non isolated 'a',(b|(a*aa))*,(b*|ab+)*aa(a+b)*
non isolated 'b',(a|(b*bb))*,b(a+b)*b
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+(b*a*)+
Every b followed by two or more a's,(a|baa)*,((b)*(aa)[a]*)*
Every b followed by two or more a's,(a|baa)*,"[ab]*a{2,}"
Odd number of 1s,0*10*(10*10*)*,((((1*)?)|((11*)?))|((111*)?))*|0*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0+1+)*|(0+1+0+)*|0*|1*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*|b*)(aaa)a*
contains 'bab',(a|b)*(bab)(a|b)*,(a+b+bab)*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*(0*|1(11)*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((0|1)*(01)(0|1)*10(0|1))|((0|1)*(10)(0|1)*10(10)))*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)b*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0*|1*)0*
Odd number of 1s,0*10*(10*10*)*,(1?|11?)
At least one zero followed by 0 or more 1s,0+1*,0*1+
non isolated 'b',(a|(b*bb))*,(a)*(bb+a)*(b+a)*(a)*
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*(b)
Odd number of b's,(a*ba*b)*a*ba*,(a*)b(a*|bb*)
Odd number of b's,(a*ba*b)*a*ba*,ba*b|a*ba
Odd number of 1s,0*10*(10*10*)*,(0*)|(1|1|1)|(0*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b)*(b+aaa)
Odd number of 1s,0*10*(10*10*)*,0*1+|1*0*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(11*0*11*)*|(00*1*00*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)(a*b*)aaa(a)*
Odd number of b's,(a*ba*b)*a*ba*,b*(b*b*)
Odd number of b's,(a*ba*b)*a*ba*,a*(b+)bb*
non isolated 'a',(b|(a*aa))*,(b*aa(a+b)*)*
first and third,a(a|b)a(a|b)*,a|(a+b)|a|(a+b)*
even prefix,(ab|ba)*,(ab)+(aa|bb|ab|ba)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(01(0|1)*10)*
even number of 1's,(0*10*10*)*|0*,0*(1+1)*0*
non isolated 'a',(b|(a*aa))*,(b*a*aa+b*a*a+|b*)
contains 'bab',(a|b)*(bab)(a|b)*,a*|b*|(a|bab)*(b|aba)*
Odd number of 1s,0*10*(10*10*)*,0*1+0*1*
even prefix,(ab|ba)*,(a+b)*|(b+a)*
even number of 1's,(0*10*10*)*|0*,0*1(0*1+)*
Every b followed by two or more a's,(a|baa)*,((a)|(ba(a)*))
Odd number of b's,(a*ba*b)*a*ba*,(((a*)+b+(a*)+b+(a*))*)+b+(((a*)+b+(a*)+b+(a*))*)
Odd number of b's,(a*ba*b)*a*ba*,((a)(b))*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)
Every b followed by two or more a's,(a|baa)*,(b|aa)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(b|ab*b)*
Every b followed by two or more a's,(a|baa)*,(b*(aa)+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0+)|(1+0+1+))*|0*|1*
