Attempt Regex,DeepSeek Output
([a]*(b)(bba|abb|bab|bb|a*|baab)*),"positive example:[baabb, aababaabbabbb], negative example:[bb]"
(a|b)a*b(a|(a(a|b)a*b)*)?,"positive example:[ab, baabaaab, aaba], negative example:[abaa, a, abb]"
((a|b)a*ba)*((b|a)a*b),"positive example:[ab, ababbabaab], negative example:[a, b, aa, bb, aba, bab, abab, baba]"
(0*(11)*0*10*(11)*),"positive example:[10, 001111001001111, 1],negative example:[1101101]"
(bba*)+(a*bb),"positive example:[bbbb, bbaa, bba, aabb, bbaabb], negative example:[bb, a, b, aa, ab]"
(a|b)+(a|b)+aaaa(a)*,"positive example:[abaaaa, baaaaa],negative example:[aaaaa]"
(0*|(11)*)(0*|(11)*)*,"positive example:[0110], negative example:[1]"
(((1+0*1+)*)|((0+1*0+)*))?,"positive example:[101, 0110],negative example:[1, 0010100, 10101]"
(a)*(abb+bba+bb)*,"positive example:[aaabbbbabb, abbbbabbabbbbabb, a], negative example:[ab, baa, bbaa]"
(a|b)*(baa)+a*b+,"positive example:[baabb, abbaaaab, babaab], negative example:[baabab,baa]"
(a)*|(baa)+,"positive example:[, baa, aa, baabaa],negative example:[b]"
(a(bbb*))*,"positive example: [, abbabb, abbb], negative example: [a, ab, abbbb]"
(a+|b+)a*,"positive example:[ba, baa, a], negative example:[ab, bb, baaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100),"positive example:[000111, 1010111, 1010010, 00010, 100011, 111000, 10011, 111, 010011, 0001, 111101, 00100, 011100, 000010, 1010100, 000100, 10101, 110100, 111011, 11010, 10000, 100, 010101, 010000, 001011, 01, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 010110, 001000, 101010, 01000, 10, 001101, 101111, 0100, 11111, 1000, 110010, 00001, 011001, 011010, 1010001, 000001, 100000, 110001, 111110, 001, 0010, 001110, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 011111, 1],negative example:[0]"
(a*)baa+(a*),"positive example:[baa, aabaa], negative example:[ba, baabaa]"
(baa+)*a*(baa)*,"positive example:[, baaabaaa, aabaabaa],negative example:[abaaabaa]"
((aaa|bbb)|(aa|bb))+aaa,"positive example:[bbbaaa, bbaaa, aaaaa, aaabbaabbbaaa],negative example:[aaaa,aaa]"
(a*ba*ba*)*(ba|ab|b|baa),"positive example:[abbb, bbbbbaa, ab, ba],negative example:[bbbba]"
(a+)|(b*a+),"positive example:[ba, bbaa], negative example:[b, , aba]"
a*bb*aaa*(b|a)*b,"positive example:[bbbaab, baabab, aabbaabab],negative example:[bb]"
baa|a*,"positive example:[baa, , aa],negative example:[b]"
(0+(0*1*)*0+)|(1+(0*1*)*1+),"positive example:[01010, 10101], negative example:[1,0]"
a*|(bb)*|(bbb)*|a*,"positive example: [bbbb, bbbbbbbbb, aaa, aa, a, bbb, bbbbbb, """"], negative example: [b, bbbbb, ab, ba, aab, bba]"
(a*bab)*b,"positive example:[babbabb, b], negative example:[a, ab, aba, abab]"
(a(baa+)*)*,"positive example: ["""", ""a"", ""aba"", ""abaa"", ""abaaba"", ""abaabaa"", ""aa"", ""aaa"", ""aaba"", ""aabaa""], negative example: [""b"", ""ab"", ""ba"", ""bab"", ""abab"", ""abaaaab"", ""aab"", ""baa"", ""abaabab""]"
(0((0*1*)*)0)|(1((0*1*)*)1)?,"positive example:[0100, 000, 010, 111],negative example:[1, 0]"
(0+1+0+)*,"positive example:["""", ""01001100"", ""010""], negative example:[""011"", ""1001"", ""00110""]"
0*(10*10*)0*,"positive example:[11, 0101, 001001],negative example:[11010]"
(0+|0(1+0)*)|(1+|1(0+1)*),"positive example: [00, 11, 01010, 10101, 010, 101], negative example: [0, 1, 0110, 1001, 0011, 1100]"
a*b*(a*b*(baa)a*b*a*b*(b)),"positive example:[baaaabbabbb, baabaabaab, aabbabbbaab],negative example:[babaaabaaabbaab]"
0*(01)*0|1*(10)*1,"positive example:[11, 00, 0, 10101, 0001010, 111], negative example:[01, 10, 010, 101, 0011, 1100]"
a*(baa+)+|baa+,"positive example:[aabaa, baabaa],negative example:[a,ba]"
(a+bb)*a*(a+bb)*,"positive example: ["""", ""abbabbaa""], negative example: [""abbaaab"", ""bbbaa""]"
(a|b)*(baa)+b+,"positive example:[baab, babaabb, abbaabb],negative example:[b,baa]"
(a|(bb))*,"positive example:[, a, bb, aabb, bba, abba], negative example:[b, ab, bbb, aba, bab]"
(a|(baa+)),"positive example:[baa, baaa, a],negative example:[b,ba]"
aaa(a+b)*|aba(a+b)*,"positive example:[aaa, aaaab, abaabab, aaaabab, aba], negative example:[a]"
(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*),"positive example:[1101101, 010, 111, 00100, 011111, 1111100],negative example:[,0]"
"ba{3,}","positive example:[baaaa, baaa], negative example:[baa]"
(a*ba*b)*b,"positive example:[bbbbb, b], negative example:[a, aa, ab, aba]"
((baa)+)b,"positive example:[baab],negative example:[b]"
(01?)+(1?0)+,"positive example:[00, 001100], negative example:[01100110,0]"
a*(baa)*a*(baa)*a*,"positive example:[, baabaaaabaabaa, aabaaabaaaa], negative example:[baaabaaabaa]"
b(a|bb)*,"positive example:[babb, b], negative example:[bb]"
a*b*baaa*b+,"positive example:[abaaaab, aabbbaabb, bbaaab], negative example:[baabab,baa]"
((bb)*(a)*)*,"positive example: ["""", ""a"", ""bb"", ""bba"", ""bbbb"", ""bbaa"", ""bbbbaa"", ""abba"", ""bbabba""], negative example: [""ba"", ""baba"", ""abab"", ""bab"", ""aab"", ""baa"", ""bbabab""]"
0+((10)*(01)*|(01)*(10)*)0+,"positive example:[000101101000, 0101001010],negative example:[00110010,010,001001100]"
((0+1+)*0+)|((1+0+)*1+),"positive example:[0, 1001011, 010, 101, 0101100, 1],negative example:[00, 11, 0101, 1010, 000, 111]"
((a*bbb*a*)+a*)*,"positive example:["""", ""bbbbb""], negative example:[""a"", ""ab"", ""ba"", ""bb"", ""bbba""]"
(b*(aa)*)*,"positive example: ["""", ""aa"", ""bb"", ""aab"", ""bbaa"", ""aaaabb"", ""bbbb""], negative example: [""a"", ""baba"", ""ab"", ""ba"", ""aabaaab""]"
ab(aaa),"positive example: [""abaaa""], negative example: [""ab"", ""aba"", ""abaa"", ""abaaaa"", ""aabaaa""]"
(b)*baa(b|a)*b,"positive example:[bbbaab, bbaabab, baaaab],negative example:[ba, bbaa, bbaaba]"
0*1,"positive example:[001, 1], negative example:[000, 01]"
(a+b+)(a+b+)aaa(a)*,"positive example:[abaabbaaaa, abbabbaaa, ababaaaaa],negative example:[babaaa,aabbaaaa]"
(aa|bb+)aaa+,"positive example:[aaaaa, bbaaaa], negative example:[baaa, aaaa]"
(b*(aa))*,"positive example:["""", ""aaaa"", ""bbaa"", ""bbbbaa"", ""aabbaa""], negative example:[""a"", ""aaa"", ""ba"", ""aba"", ""bbab""]"
bb,"positive example: [""bb""], negative example: [""b"", ""bbb"", ""a"", ""bba"", ""bab""]"
(0*(11)+0*)*,"positive example:["""", ""11011"", ""0110""], negative example:[""0"", ""1"", ""010""]"
[a]*([b]{1}a{2}),"positive example:[baa, aabaa, abaa],negative example:[bbaa,baaa,ba,aa]"
(baaa*),"positive example:[baa, baaaa], negative example:[ba, baaaab, aa, aaaa]"
00|01|11|000|001|010|100|011|101|110|111,"positive example:[100, 111, 001, 101, 01, 11, 00, 000, 011, 110, 010], negative example:[0]"
0*1(10*1)*(0*|(11)*),"positive example:[0010, 1111100],negative example:[1111]"
(0*10*|(10*1)*1|1(10*1)*|1(11)0*|0*1(11)*),"positive example:[110111, 1101, 100, 0010, 101111, 0011111, 010, 1110, 11100], negative example:[0,111111]"
a*ba*ba*ba*,"positive example:[bbb, aabaabaabaa, bbaba],negative example:[bbabababa]"
(a*ba*ba*)*b,"positive example:[bbbbb, babab, b], negative example:[a, aa, ab]"
(a*)b(b(a*)b)*(a*),"positive example:[aabbbbbaa, b], negative example:[bbbabba]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110),"positive example:[00010, 100110, 1101, 10011, 10110, 111, 01000, 101010, 10, 101111, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 101100, 101001, 01110, 0111, 010, 1011, 1110, 11100, 11001, 100101, 00111, 1],negative example:[0]"
a*bba*bb,"positive example:[bbaabb, aabbbb, abbbb], negative example:[bb, aabbaa, bbaa]"
0*|(0+1+0+)*|(1+0+1+)*,"positive example:[0, 00, 10011011, 01001100, 010, 101], negative example:[1]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110),"positive example:[00010, 100011, 111000, 10011, 111, 0001, 111101, 00100, 10101, 110100, 111011, 10000, 11010, 100, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 01000, 101010, 10, 101111, 0100, 11111, 110010, 1000, 00001, 100000, 110001, 111110, 001, 0010, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 1],negative example:[0]"
"(a*[b]?a{2,})*","positive example:[, baabaa, aaa, baa, aabaa, aaaaa], negative example:[ab, a, b, aba, aaab, baaa]"
(a)*(bb)*(bab)*(b)(a)*(bb)*(bab)*,"positive example:[bbba, ab, babbabbaababbab, aabbbbbabbabbaabbbbbab],negative example:[bbabbbbab]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000),"positive example:[100, 111, 001, 01, 10, 010, 1011, 1110, 11111, 1000, 1],negative example:[0]"
(010|0110)*,"positive example:[, 0110010, 0100110],negative example:[0]"
(aa+|ab+|bb+|ba+)+aaa+,"positive example:[baaaa, bbaaa, aababbabaaaa, abaaa], negative example:[aaaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100),"positive example:[1101, 10110, 10011, 111, 10, 0100, 0001, 11111, 1000, 10101, 10000, 11010, 100, 001, 0010, 01, 0111, 010, 1110, 1011, 11100, 11001, 1],negative example:[0]"
bb+,"positive example:[bbb, bb], negative example:[b, bbbbb, abbb]"
(0*|1*)|((0+1+0+)*|(1+0+1+)*),"positive example: [00, 11, 0, 10011011, 01001100, 010, 101], negative example: [01, 10, 0011, 1100, 0101, 1010, 000111]"
(abab|bb|aa)*b,"positive example:[b, ababaabbb], negative example:[ab]"
0*10*10*(11)*,"positive example:[11001111, 1001, 001010],negative example:[111]"
(01+)*(010)(1+0)*|(10+)*(101)(0+1)*,"positive example:[010110110, 011011010, 101, 100100101001001], negative example:[0]"
"((a)*ba{2,})|a*","positive example:[, aa, baaa, aabaa],negative example:[b,ba]"
((a|b)a*ba)*|((a|b)a*b),"positive example:[baab, aab, ab, , ababba], negative example:[b]"
(0*)(10*1)*(0*),"positive example:[, 00111100],negative example:[110110]"
(a*)*(baa)*,"positive example:[baabaa, a, aa, baa, aaa, baaabaa], negative example:[b, ab, aba, aab, ba, baaaab]"
0*10*,"positive example:[010, 00100, 1], negative example:[00, 000, 11]"
(0(1*0)*)|(1(0*1)*),"positive example:[00, 0, 000, 010, 111, 101, 1], negative example:[011, 100, 110, 001, 11, 01, 10]"
a*b*baa(a|b)*b,"positive example:[aabbbaabab, bbaaabb, abaab],negative example:[aab, bba, abaa]"
a*(bb+bbb)*a*,"positive example:[, bbbbbb, aabbbbbaa], negative example:[bbbbbabbbbba]"
(aa|ab|ba|bb)aaa,"positive example:[bbaaa, aaaaa, abaaa, baaaa],negative example:[aaaa]"
b(bb)*(a)*,"positive example:[bbb, bbbbbaa, b], negative example:[bbba, a, bba]"
(0*)|((0*10*1)*),"positive example:[0, 00, 0101, 1111], negative example:[1]"
1((0|1)*1)*|0((0|1)*0)*,"positive example:[0, 010, 101, 1], negative example:[00, 11, 011, 100]"
(b*aa+b*)|(b*a+ab*)|b*|(b*aa+b*aa+b*)|(b*a+ab*aa+b*)|b*|(b*aa+b*a+ab*)|(b*a+ab*a+ab*)|b*,"positive example:[], negative example:[aaaababaab, aaaabab, abaaaa, a]"
a*(bb+)*a*|a*|(bb+)*a*(bb+)*|(bb+)*a*(bb+)a*,"positive example:[bbaabbbaa, bbbabbaa],negative example:[abbabba,b,abbabb]"
a*baa(a*),"positive example:[baa, baaaa, aabaaa], negative example:[aa, aba, baaaab]"
a*(ba*(bb)*)a*,"positive example:[aabbbbb, baabbaa, b],negative example:[bbbabb]"
(11)*|0(11)*|(11)*0,"positive example:[, 01111, 11110, 1111],negative example:[1]"
a*b+aa+b+,"positive example:[baab, aabbaaabb],negative example:[aab,baa,babaab,bab]"
a*|(baa)*,"positive example:[aa, baabaa], negative example:[b]"
(b(abb|bab|bba|a)*)|((abb|bab|bba|a)*b),"positive example:[bbbaa, bbaab, babaab, ab, ba, babbbabbbaa, bbaba, abbbabbbaab],negative example:[a]"
((a|b)(a|b))(a*|b*)aaa,"positive example:[bbaaaaa, aabbaaa], negative example:[ababaaa, bbaaab, aaabbaa]"
((a{2})|(b{2}))a*b*(a{3}),"positive example:[bbaaaaa, aabbaaa, aaaaaa],negative example:[bbbaaaa,baaa,aaaa]"
(ba)*,"positive example:[baba, ba, ], negative example:[b, a, bab, ab, baa]"
(a)*(bb+ab+b)*(bb+ba+a+bba)*(bb)*,"positive example:[aabbbabbbbabbbbbaabbabbbaabbabb, bbbb, abbbbaabba, bbabbb],negative example:[bbbabaabba]"
((a*bbb*a*)+(a*)+(bbb*))*,"positive example:[, abbbb], negative example:[bb, bbababb]"
a*bbb*a*|a*,"positive example:[bbbbaa, aabbb, , aa, bb],negative example:[b]"
b*a*(bab)(a|b)*,"positive example:[ababba, bbaabab, bbabaa],negative example:[ab]"
(0(1*0*1*)0),"positive example:[00, 01100110],negative example:[001010]"
((0((0|1)*1(0|1)*)0)|(1((0|1)*0(0|1)*)1))?,"positive example:[000100, 11011], negative example:[0,00,11,010101]"
a*b+aa+a*b+,"positive example:[baab, aabbaabb], negative example:[aabab,aab,baa,baabaab]"
(a)*(b)((a)*(bb))*,"positive example: [bbbbb, aababb, b], negative example: [a, aa, abaa]"
(a)*(baa)*(a)*,"positive example:[, aabaaaa, baabaa], negative example:[baaabaa]"
1*|0*|(1+(0*1*)1+)|(0+(1*0*)0+),"positive example:[0, 0010, 0110, 11001, 1001, 1],negative example:[01,10,01010]"
0*|(0*|11)*,"positive example:["""", ""0"", ""00"", ""11"", ""0011"", ""1100"", ""000"", ""1111""], negative example:[""1"", ""01"", ""10"", ""011"", ""101"", ""1101""]"
a*|a*bb,"positive example:[, aa, bb, abb, aabb],negative example:[b]"
(a|b)*baa(a|b)b,"positive example:[babaaab, baaab, abaabb], negative example:[abab, baaa, bbaab]"
bbb*aaaa*,"positive example:[bbbbaaa, bbaaaaa], negative example:[bbbaa, bbaaa, bbbaaaaa]"
(aa+|bb+|ba+|ab+)+aaa,"positive example:[abaaa, bbaaaaa, baaaa, aababbabaaa],negative example:[aaaa,aaa]"
(((a|b)(a*)ba)*)|((a|b)(a*)b),"positive example:[bab, aaab, ab, , ababba],negative example:[b]"
(b+aa+aaa)*,"positive example: [, baaaaaabaaaaa, baaaaa], negative example: [a, ab, bba, aaab, aaaa]"
a*b*(baa)+b,"positive example:[aabbbaab, baabaab, abaab],negative example:[b, baabbaab]"
(a*ba*ba*)*a*ba,"positive example:[bbbbba, aaba], negative example:[bba]"
(a|b)(baa)+b,"positive example:[abaab, bbaabaab],negative example:[ab]"
"((ba{2,}){1,2}|a{1,}){1,}","positive example:[baabaabaa, abaa, a],negative example:[b,]"
(a)*(baa)*a*(baa)*,"positive example:[baabaaaa, , aabaaabaabaa], negative example:[baaabaaabaa]"
(0|1)(0|1)(0|1),"positive example:[110, 001], negative example:[1111, 00]"
((0+(0|1)*0+)*)|((1+(0|1)*1+)*),"positive example:[100101, 010110], negative example:[0]"
a(a|b)+b,"positive example:[aab, aabb, abab],negative example:[ab]"
(aaa)|(aba)a*b*,"positive example:[aaa, abaaa, ababb],negative example:[a]"
aaa,"positive example: [""aaa""], negative example: [""aa"", ""aaaa"", ""aab"", ""baaa""]"
00|01|10|11|111|110|100|000|001|011|101,"positive example:[100, 111, 001, 101, 01, 11, 00, 10, 011, 000, 110],negative example:[0]"
b(abb|bab|bba|a)*|(abb|bab|bba|a)*b|(aba|baa|aab),"positive example:[bbbaa, bbaab, ab, aba, babaab, ba, babbbabbbaa, bbaba, abbbabbbaab],negative example:[a]"
(a)*(aa*)(bb)*b,"positive example:[abbbbb, ab], negative example:[abbabbb, b]"
((11)*10*),"positive example: [1111100, 1], negative example: [0, 1101]"
1+(0+1)*1*|0+(1+0)*0*,"positive example:[1010111, 0, 010, 101, 0101000, 1],negative example:[01,10]"
(a|bb|abab|bab|baba)*b(a|bb|abab|bab|baba)*,"positive example:[abbbabbbaabaabbbab, b], negative example:[bb]"
(a*(bbb*))*,"positive example:[, bbb, bbabb], negative example:[a, ab, bba]"
(0*(10*1)*0*1(10*1)*0*),"positive example:[0010101101, 1, 111001001111100],negative example:[11010101]"
(((a|b)a*b)|((a|b)a*ba)*),"positive example:[baab, aab, ab, , ababba], negative example:[b]"
(0*1|1(11)*|10*|1(101)*),"positive example:[10, 1101101, 100, 11111, 001, 01],negative example:[0]"
((11)*1),"positive example:[11111, 1], negative example:[11, 1111]"
0*|(11)+0*|0*(11)+|10*1|(1010)*|(0101)*,"positive example:[10101010, 111100, 101, 001111, 00, 011, 110, 1001, 01010101],negative example:[11011,1]"
a*b*(baa)a*b*b,"positive example:[bbbaaaab, aabaabbb], negative example:[baabaabb]"
0(0(0|1)*0)*0,"positive example:[000100, 00], negative example:[000, 010, 0]"
0|(010)*|(10101)*,"positive example:[0, 010010, 1010110101], negative example:[1]"
a*,"positive example:["""", ""a"", ""aa"", ""aaa""], negative example:[""b"", ""ab"", ""ba"", ""aab""]"
(a|b)+(baa)a*b,"positive example:[abbaab, babaab, abaaaab], negative example:[baab]"
0*|(11)+0*|0*(11)+,"positive example:[, 0, 00, 011, 110, 111100, 001111],negative example:[11011,1]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111),"positive example:[000111, 1010111, 00010, 1010010, 100011, 111000, 10011, 111, 1001111, 010011, 1011011, 0001, 111101, 00100, 011100, 000010, 1010100, 000100, 10101, 110100, 111011, 10000, 11010, 100, 1001001, 010101, 010000, 001011, 01, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 010110, 001000, 01000, 101010, 10, 101111, 001101, 1011110, 0100, 11111, 110010, 1000, 00001, 011001, 1010001, 011010, 000001, 100000, 110001, 111110, 001, 0010, 001110, 01101, 01011, 101100, 0111, 1011000, 1011101, 1001010, 1110, 11001, 100101, 011111, 1],negative example:[0]"
(baa)*a*,"positive example:[aa, baabaa], negative example:[ba, baaaab]"
(0*)|(((0+)1(0+))*),"positive example: [00, 010, 0100100], negative example: [1]"
a*b*bb,"positive example:[bb, abb, aabbbb], negative example:[a, b, ab, aab, aabb, abbb]"
a*b+ba*b+b,"positive example:[bbbabb, aabbaabb, abbbb],negative example:[bbb, bbababbbb]"
00*(0+1)*0*0,"positive example:[00, 00101000, 0010], negative example:[0]"
a*|(bb)*|a*(bb)*a*,"positive example:[bbaa, aabbbb], negative example:[b, bbabb]"
a+b+a+b+aaa+a,"positive example:[ababaaaaa, abbaabbaaaa],negative example:[aabbaaaaa,ababaaa,babaaaa]"
(a|b)*aaa(b)*,"positive example:[aaa, baaaabb, abaaab],negative example:[aa, bbaa, aabbb]"
(0*(0*10*10*)0*10*),"positive example:[101100, 10011, 111],negative example:[110101]"
a*b(a|(bb)|bab)*,"positive example:[aabababbb, b], negative example:[bb]"
(a)*(b)(aa)(a)*,"positive example: [baa, aabaaaa, abaaa], negative example: [a, b, aa, ab, aab, baaa, aabaa]"
(a*ba*b)*ba*,"positive example:[ababba, bbbbbaa, b], negative example:[a, aba, abab]"
(aaa(a*b*)*)+(aba(a*b*)*),"positive example:[aaabaababba],negative example:[aaa,aba]"
(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab),"positive example:[bbb, bbaab, babab, bbab, abaabbabbbba],negative example:[bbbb]"
(a)*bb(b)*,"positive example:[bb, abb, aabbbb], negative example:[a, b, ab, bba]"
(a+b)*(bab)(b+a)*,"positive example: [bab, ababbabbaba], negative example: [a, b, abab, baba]"
a*(b+b+)a*,"positive example:[bb, bbaa, aabba],negative example:[b,babb]"
0*1(10*1)*(0*(11)*),"positive example:[0100, 1100101111, 00111101, 1], negative example:[1110110]"
a*(bba*)*,"positive example:[aa, bbbb, a, bba, abba, aabbaa], negative example:[bb, aba, abab, aab, baa]"
a*((baa)*)+,"positive example:[, aa, aabaa, aabaabaa, baa, baabaa], negative example:[baaa, aba, aab, baaaabaa]"
(bb+|b+b)*a*(bb+|b+b)*a*,"positive example:[, aabbaa], negative example:[abbabba]"
(a*(b)((a)*bb)*(a)*),"positive example:[bbbbb, aabaa], negative example:[abab, bbaa]"
a*b,"positive example:[aab, b, ab, aaaaab], negative example:[aa, a, ba, bb]"
0(0*11*0)*(0?)|1(1*00*1)*(1?)|0*|1*,"positive example:[01010, 10101, 1101, 000, 111, 0010], negative example:[01000, 10111]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111),"positive example:[1101, 100, 111, 001, 0010, 01, 10, 0111, 0001, 010, 1000, 1011, 11111, 1110, 1],negative example:[0]"
0*((10*)|(10*)),"positive example:[001, 1], negative example:[0]"
(ba*bb)*|(bba*b)*|a*,"positive example: [babbbbb, aa, bbaabbbb], negative example: [b]"
(((a|b)a*ba)*(a|b)a*b)?,"positive example:[aababb, ababbaab],negative example:[abab]"
(ba+a+)*,"positive example:[baa, , baabaa],negative example:[babaa]"
((0*10*)(0*10*))*,"positive example:[, 011, 1111], negative example:[111]"
(00*)|(11*)|(11*0*11*)*|(00*1*00*)*,"positive example:[0, 010010, 101101, 101, 1],negative example:[01,01010,10101]"
a*b(a*b(a)*b(a)*)*,"positive example:[bbbbb, aab], negative example:[abab, baa]"
(a*|(baa)),"positive example:[baa, , aa],negative example:[b]"
a*(bbb*)*a*(bbb*)*a*,"positive example:[, aabbaabbaa], negative example:[bbabbabba]"
(a*baaa*)*,"positive example:[, baabaa], negative example:[a, b, aba, baaaab]"
(0|1)((0|1)+),"positive example:[00, 110, 001],negative example:[0]"
a*b(a|b{2})*,"positive example:[aababb, b], negative example:[abb]"
(a?)*(bb|bbb)*(a?)*,"positive example:[, aabbbbbaa], negative example:[bbabb]"
((bb)*a*)*,"positive example: [abb, bba, a, bb, bbaa, bbbba, ε], negative example: [ab, baba, baaab, abbb, aabba]"
(ba*ba*ba*)*,"positive example: [, bbba, bbbbbbbbb], negative example: [a, ba, baba]"
(a)*(ba*b)*b,"positive example:[aab, bbbbb], negative example:[aa, abba, aaba]"
0+0*|0+1*|1+0*|1+1*,"positive example: [011, 100, 01], negative example: [0, 1, 10]"
ab,"positive example: [""ab"", ""aba"", ""abb"", ""abc"", ""ab1"", ""ab ""], negative example: [""a"", ""b"", ""ba"", ""aa"", ""bb"", ""aab""]"
(a)*b((a*)(bb))*,"positive example:[aabbbbb, ab, b], negative example:[aa, aaa, bba]"
a*(baa)*a*,"positive example:[, aabaabaaaa], negative example:[baaabaaa]"
(a*|(bb)*)*b(a*|(bb)*)*,"positive example:[bbababb], negative example:[bb]"
((0)*1(0)*1(0)*)*,"positive example:[, 01010, 1111],negative example:[1]"
1|0|(01*0)*|(10*1)*,"positive example:[0, 100111, 010, 0000, 1],negative example:[000]"
(0(0*11*00*)*)|(1(1*00*11*)*)?,"positive example:[0, 01010, 1101, 0010, 1],negative example:[11]"
((0*011*100*)*)|((1*100*011*)*)|(0*)|(1*),"positive example: [11, 0, 00, 01100110, 10011001, 0011100, 1100011], negative example: [101, 010, 1101, 0010, 011010, 100101]"
a*bbb*,"positive example:[bb, aabbbb], negative example:[a, b, ab, ba, aab, bba]"
(0(0|1)*0)|(1(0|1)*1)?,"positive example:[00, 0100, 1011, 0010], negative example:[0]"
(a|aa|bb|bba|abb|bab|abab)*(b|ba|ab),"positive example:[b, babbbbababa], negative example:[bba]"
a*b(a*|bb|ba*b),"positive example:[bbaab, aabaa, bbab, b], negative example:[bb]"
((b)(a{2})a*)|(a*(b)(a{2})a*),"positive example:[aabaaa, abaaaa, abaa],negative example:[b,ba]"
(a|aa|bb|bba|abb|bab|abab)*(b(a)*|ba|ab|(b(a)*)),"positive example:[b, bbbababa], negative example:[bba]"
(0*(10*1)0*)*,"positive example:[, 0101, 1111],negative example:[111]"
(a)*(b)((a)*(bb)*)*,"positive example: [bbba, aaba], negative example: [abab, baaa]"
a*b|a*ba*(bb)*a*,"positive example:[ba, aabbbbb, baabbaa], negative example:[bbbabba, a]"
(a*|b*)baa+b,"positive example:[aabaaab, abaab, bbbaaab],negative example:[bab]"
1|11|(1*01*01*01*)*,"positive example:[, 11, 000000000, 1000, 1],negative example:[0, 0000]"
(aba)|(aaa),"positive example:[aaa, aba],negative example:[a]"
(b*|a+ab*|aa+b*)(b*|aa+b*|a+ab*)(b*|aa+b*|a+ab*),"positive example:[, bbaabaa], negative example:[a]"
"[ab]a{2,}","positive example:[aaa, baaa], negative example:[aa]"
0(0*11*0)*|1(1*00*1)*|0*|1*,"positive example: [11, 00, 01010, 10101, 1101, 0010], negative example: [0110, 1001, 0101, 1010, 0011, 1100]"
(a|bb)*(b)(a|bb)*,"positive example:[baa, abbababb, b],negative example:[bb]"
a?(a|bb)*,"positive example:[, a, bb, aabb, abba, bbaa, aa, bbbb], negative example:[b, ab, baa, aba, baba, bbb]"
